Date,iShares Edge MSCI Min Vol Japan_etf_Open_average,iShares Edge MSCI Min Vol Japan_etf_Open_max,iShares Edge MSCI Min Vol Japan_etf_Open_min,iShares Edge MSCI Min Vol Japan_etf_Open_volatility,iShares Edge MSCI Min Vol Japan_etf_Open_change,iShares Edge MSCI Min Vol Japan_etf_High_average,iShares Edge MSCI Min Vol Japan_etf_High_max,iShares Edge MSCI Min Vol Japan_etf_High_min,iShares Edge MSCI Min Vol Japan_etf_High_volatility,iShares Edge MSCI Min Vol Japan_etf_High_change,iShares Edge MSCI Min Vol Japan_etf_Low_average,iShares Edge MSCI Min Vol Japan_etf_Low_max,iShares Edge MSCI Min Vol Japan_etf_Low_min,iShares Edge MSCI Min Vol Japan_etf_Low_volatility,iShares Edge MSCI Min Vol Japan_etf_Low_change,iShares Edge MSCI Min Vol Japan_etf_Close_average,iShares Edge MSCI Min Vol Japan_etf_Close_max,iShares Edge MSCI Min Vol Japan_etf_Close_min,iShares Edge MSCI Min Vol Japan_etf_Close_volatility,iShares Edge MSCI Min Vol Japan_etf_Close_change
2016-01-03,55.47,55.47,55.47,0.0,0.0,55.49,55.49,55.49,0.0,0.0,54.85,54.85,54.85,0.0,0.0,55.09,55.09,55.09,0.0,0.0
2016-01-10,54.16,54.16,54.16,0.0,0.0,54.16,54.16,54.16,0.0,0.0,53.74,53.74,53.74,0.0,0.0,53.88,53.88,53.88,0.0,0.0
2016-01-17,53.4,53.4,53.4,0.0,0.0,54.09,54.09,54.09,0.0,0.0,53.36,53.36,53.36,0.0,0.0,54.06,54.06,54.06,0.0,0.0
2016-01-24,55.18,55.18,55.18,0.0,0.0,55.81,55.81,55.81,0.0,0.0,55.04,55.04,55.04,0.0,0.0,55.77,55.77,55.77,0.0,0.0
2016-01-31,55.48,55.48,55.48,0.0,0.0,55.48,55.48,55.48,0.0,0.0,54.75,54.75,54.75,0.0,0.0,54.75,54.75,54.75,0.0,0.0
2016-02-07,52.14,52.14,52.14,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2016-02-14,54.32,54.32,54.32,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.24,54.24,54.24,0.0,0.0,54.35,54.35,54.35,0.0,0.0
2016-02-21,56.13,56.13,56.13,0.0,0.0,56.26,56.26,56.26,0.0,0.0,55.72,55.72,55.72,0.0,0.0,55.83,55.83,55.83,0.0,0.0
2016-02-28,56.98,56.98,56.98,0.0,0.0,57.03,57.03,57.03,0.0,0.0,56.83,56.83,56.83,0.0,0.0,56.84,56.84,56.84,0.0,0.0
2016-03-06,56.58,56.58,56.58,0.0,0.0,56.81,56.81,56.81,0.0,0.0,56.51,56.51,56.51,0.0,0.0,56.81,56.81,56.81,0.0,0.0
2016-03-13,56.51,56.51,56.51,0.0,0.0,56.71,56.71,56.71,0.0,0.0,56.51,56.51,56.51,0.0,0.0,56.65,56.65,56.65,0.0,0.0
2016-03-20,56.8,56.8,56.8,0.0,0.0,56.8,56.8,56.8,0.0,0.0,56.72,56.72,56.72,0.0,0.0,56.79,56.79,56.79,0.0,0.0
2016-03-27,55.47,55.47,55.47,0.0,0.0,55.9,55.9,55.9,0.0,0.0,55.47,55.47,55.47,0.0,0.0,55.79,55.79,55.79,0.0,0.0
2016-04-03,57.27,57.27,57.27,0.0,0.0,57.28,57.28,57.28,0.0,0.0,57.11,57.11,57.11,0.0,0.0,57.28,57.28,57.28,0.0,0.0
2016-04-10,58.61,58.61,58.61,0.0,0.0,58.65,58.65,58.65,0.0,0.0,58.5,58.5,58.5,0.0,0.0,58.55,58.55,58.55,0.0,0.0
2016-04-17,59.64,59.64,59.64,0.0,0.0,59.64,59.64,59.64,0.0,0.0,59.42,59.42,59.42,0.0,0.0,59.54,59.54,59.54,0.0,0.0
2016-04-24,57.25,57.25,57.25,0.0,0.0,57.25,57.25,57.25,0.0,0.0,56.88,56.88,56.88,0.0,0.0,57.17,57.17,57.17,0.0,0.0
2016-05-01,58.02,58.02,58.02,0.0,0.0,58.12,58.12,58.12,0.0,0.0,57.87,57.87,57.87,0.0,0.0,58.02,58.02,58.02,0.0,0.0
2016-05-08,58.05,58.05,58.05,0.0,0.0,58.05,58.05,58.05,0.0,0.0,58.03,58.03,58.03,0.0,0.0,58.05,58.05,58.05,0.0,0.0
2016-05-15,57.81,57.81,57.81,0.0,0.0,57.88,57.88,57.88,0.0,0.0,57.79,57.79,57.79,0.0,0.0,57.84,57.84,57.84,0.0,0.0
2016-05-22,58.14,58.14,58.14,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.02,58.02,58.02,0.0,0.0,58.05,58.05,58.05,0.0,0.0
2016-05-29,58.46,58.46,58.46,0.0,0.0,58.49,58.49,58.49,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.48,58.48,58.48,0.0,0.0
2016-06-05,58.61,58.61,58.61,0.0,0.0,58.61,58.61,58.61,0.0,0.0,58.34,58.34,58.34,0.0,0.0,58.35,58.35,58.35,0.0,0.0
2016-06-12,57.3,57.3,57.3,0.0,0.0,57.79,57.79,57.79,0.0,0.0,57.3,57.3,57.3,0.0,0.0,57.65,57.65,57.65,0.0,0.0
2016-06-19,56.98,56.98,56.98,0.0,0.0,57.88,57.88,57.88,0.0,0.0,56.98,56.98,56.98,0.0,0.0,57.46,57.46,57.46,0.0,0.0
2016-06-26,59.16,59.16,59.16,0.0,0.0,59.2,59.2,59.2,0.0,0.0,59.01,59.01,59.01,0.0,0.0,59.08,59.08,59.08,0.0,0.0
2016-07-03,59.66,59.66,59.66,0.0,0.0,60.24,60.24,60.24,0.0,0.0,59.66,59.66,59.66,0.0,0.0,60.21,60.21,60.21,0.0,0.0
2016-07-10,59.36,59.36,59.36,0.0,0.0,59.37,59.37,59.37,0.0,0.0,59.3,59.3,59.3,0.0,0.0,59.3,59.3,59.3,0.0,0.0
2016-07-17,59.53,59.53,59.53,0.0,0.0,59.63,59.63,59.63,0.0,0.0,59.53,59.53,59.53,0.0,0.0,59.63,59.63,59.63,0.0,0.0
2016-07-24,60.31,60.31,60.31,0.0,0.0,60.55,60.55,60.55,0.0,0.0,60.31,60.31,60.31,0.0,0.0,60.49,60.49,60.49,0.0,0.0
2016-07-31,59.76,59.76,59.76,0.0,0.0,59.83,59.83,59.83,0.0,0.0,59.76,59.76,59.76,0.0,0.0,59.83,59.83,59.83,0.0,0.0
2016-08-07,60.63,60.63,60.63,0.0,0.0,60.63,60.63,60.63,0.0,0.0,60.43,60.43,60.43,0.0,0.0,60.43,60.43,60.43,0.0,0.0
2016-08-14,59.23,59.23,59.23,0.0,0.0,59.37,59.37,59.37,0.0,0.0,59.23,59.23,59.23,0.0,0.0,59.28,59.28,59.28,0.0,0.0
2016-08-21,59.93,59.93,59.93,0.0,0.0,59.93,59.93,59.93,0.0,0.0,59.37,59.37,59.37,0.0,0.0,59.48,59.48,59.48,0.0,0.0
2016-08-28,59.66,59.66,59.66,0.0,0.0,59.67,59.67,59.67,0.0,0.0,59.56,59.56,59.56,0.0,0.0,59.61,59.61,59.61,0.0,0.0
2016-09-04,59.85,59.85,59.85,0.0,0.0,59.86,59.86,59.86,0.0,0.0,59.49,59.49,59.49,0.0,0.0,59.49,59.49,59.49,0.0,0.0
2016-09-11,59.22,59.22,59.22,0.0,0.0,59.25,59.25,59.25,0.0,0.0,59.06,59.06,59.06,0.0,0.0,59.07,59.07,59.07,0.0,0.0
2016-09-18,61.79,61.79,61.79,0.0,0.0,61.79,61.79,61.79,0.0,0.0,61.79,61.79,61.79,0.0,0.0,61.79,61.79,61.79,0.0,0.0
2016-09-25,61.26,61.26,61.26,0.0,0.0,61.55,61.55,61.55,0.0,0.0,61.26,61.26,61.26,0.0,0.0,61.52,61.52,61.52,0.0,0.0
2016-10-02,60.02,60.02,60.02,0.0,0.0,60.02,60.02,60.02,0.0,0.0,60.02,60.02,60.02,0.0,0.0,60.02,60.02,60.02,0.0,0.0
2016-10-09,59.74,59.74,59.74,0.0,0.0,59.74,59.74,59.74,0.0,0.0,59.74,59.74,59.74,0.0,0.0,59.74,59.74,59.74,0.0,0.0
2016-10-16,60.36,60.36,60.36,0.0,0.0,60.56,60.56,60.56,0.0,0.0,60.36,60.36,60.36,0.0,0.0,60.55,60.55,60.55,0.0,0.0
2016-10-23,60.43,60.43,60.43,0.0,0.0,60.62,60.62,60.62,0.0,0.0,60.43,60.43,60.43,0.0,0.0,60.58,60.58,60.58,0.0,0.0
2016-10-30,60.3,60.3,60.3,0.0,0.0,60.3,60.3,60.3,0.0,0.0,60.16,60.16,60.16,0.0,0.0,60.16,60.16,60.16,0.0,0.0
2016-11-06,58.71,58.71,58.71,0.0,0.0,58.72,58.72,58.72,0.0,0.0,58.54,58.54,58.54,0.0,0.0,58.57,58.57,58.57,0.0,0.0
2016-11-13,58.15,58.15,58.15,0.0,0.0,58.22,58.22,58.22,0.0,0.0,58.05,58.05,58.05,0.0,0.0,58.08,58.08,58.08,0.0,0.0
2016-11-20,57.94,57.94,57.94,0.0,0.0,57.94,57.94,57.94,0.0,0.0,57.82,57.82,57.82,0.0,0.0,57.82,57.82,57.82,0.0,0.0
