Date,iShares MSCI Brazil CappedEtf_Open_average,iShares MSCI Brazil CappedEtf_Open_max,iShares MSCI Brazil CappedEtf_Open_min,iShares MSCI Brazil CappedEtf_Open_volatility,iShares MSCI Brazil CappedEtf_Open_change,iShares MSCI Brazil CappedEtf_High_average,iShares MSCI Brazil CappedEtf_High_max,iShares MSCI Brazil CappedEtf_High_min,iShares MSCI Brazil CappedEtf_High_volatility,iShares MSCI Brazil CappedEtf_High_change,iShares MSCI Brazil CappedEtf_Low_average,iShares MSCI Brazil CappedEtf_Low_max,iShares MSCI Brazil CappedEtf_Low_min,iShares MSCI Brazil CappedEtf_Low_volatility,iShares MSCI Brazil CappedEtf_Low_change,iShares MSCI Brazil CappedEtf_Close_average,iShares MSCI Brazil CappedEtf_Close_max,iShares MSCI Brazil CappedEtf_Close_min,iShares MSCI Brazil CappedEtf_Close_volatility,iShares MSCI Brazil CappedEtf_Close_change
2016-01-03,19.56,19.56,19.56,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.07,19.07,19.07,0.0,0.0,19.09,19.09,19.09,0.0,0.0
2016-01-10,18.25,18.25,18.25,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.03,18.03,18.03,0.0,0.0,18.33,18.33,18.33,0.0,0.0
2016-01-17,17.87,17.87,17.87,0.0,0.0,18.08,18.08,18.08,0.0,0.0,17.78,17.78,17.78,0.0,0.0,18.08,18.08,18.08,0.0,0.0
2016-01-24,19.04,19.04,19.04,0.0,0.0,19.85,19.85,19.85,0.0,0.0,18.97,18.97,18.97,0.0,0.0,19.83,19.83,19.83,0.0,0.0
2016-01-31,20.33,20.33,20.33,0.0,0.0,20.43,20.43,20.43,0.0,0.0,19.91,19.91,19.91,0.0,0.0,20.06,20.06,20.06,0.0,0.0
2016-02-07,19.23,19.23,19.23,0.0,0.0,19.38,19.38,19.38,0.0,0.0,19.12,19.12,19.12,0.0,0.0,19.34,19.34,19.34,0.0,0.0
2016-02-14,19.57,19.57,19.57,0.0,0.0,20.01,20.01,20.01,0.0,0.0,19.44,19.44,19.44,0.0,0.0,19.81,19.81,19.81,0.0,0.0
2016-02-21,20.6,20.6,20.6,0.0,0.0,20.62,20.62,20.62,0.0,0.0,19.89,19.89,19.89,0.0,0.0,20.01,20.01,20.01,0.0,0.0
2016-02-28,25.1,25.1,25.1,0.0,0.0,25.29,25.29,25.29,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.99,24.99,24.99,0.0,0.0
2016-03-06,25.94,25.94,25.94,0.0,0.0,26.32,26.32,26.32,0.0,0.0,25.89,25.89,25.89,0.0,0.0,26.16,26.16,26.16,0.0,0.0
2016-03-13,26.66,26.66,26.66,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.8,26.8,26.8,0.0,0.0
2016-03-20,25.3,25.3,25.3,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.68,25.68,25.68,0.0,0.0
2016-03-27,25.97,25.97,25.97,0.0,0.0,26.99,26.99,26.99,0.0,0.0,25.82,25.82,25.82,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2016-04-03,26.02,26.02,26.02,0.0,0.0,26.57,26.57,26.57,0.0,0.0,25.96,25.96,25.96,0.0,0.0,26.56,26.56,26.56,0.0,0.0
2016-04-10,28.41,28.41,28.41,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.59,28.59,28.59,0.0,0.0
2016-04-17,27.83,27.83,27.83,0.0,0.0,28.29,28.29,28.29,0.0,0.0,27.78,27.78,27.78,0.0,0.0,28.04,28.04,28.04,0.0,0.0
2016-04-24,29.78,29.78,29.78,0.0,0.0,29.96,29.96,29.96,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2016-05-01,27.46,27.46,27.46,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.36,27.36,27.36,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2016-05-08,28.63,28.63,28.63,0.0,0.0,28.81,28.81,28.81,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.8,27.8,27.8,0.0,0.0
2016-05-15,26.9,26.9,26.9,0.0,0.0,27.16,27.16,27.16,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2016-05-22,26.02,26.02,26.02,0.0,0.0,26.09,26.09,26.09,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2016-05-29,26.91,26.91,26.91,0.0,0.0,27.26,27.26,27.26,0.0,0.0,26.74,26.74,26.74,0.0,0.0,27.26,27.26,27.26,0.0,0.0
2016-06-05,27.75,27.75,27.75,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.21,27.21,27.21,0.0,0.0
2016-06-12,27.46,27.46,27.46,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.28,27.28,27.28,0.0,0.0,27.44,27.44,27.44,0.0,0.0
2016-06-19,27.66,27.66,27.66,0.0,0.0,28.31,28.31,28.31,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.79,27.79,27.79,0.0,0.0
2016-06-26,30.24,30.24,30.24,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.53,30.53,30.53,0.0,0.0
2016-07-03,30.12,30.12,30.12,0.0,0.0,30.48,30.48,30.48,0.0,0.0,29.94,29.94,29.94,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2016-07-10,31.9,31.9,31.9,0.0,0.0,32.14,32.14,32.14,0.0,0.0,31.68,31.68,31.68,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2016-07-17,32.5,32.5,32.5,0.0,0.0,32.98,32.98,32.98,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.86,32.86,32.86,0.0,0.0
2016-07-24,32.67,32.67,32.67,0.0,0.0,33.31,33.31,33.31,0.0,0.0,32.56,32.56,32.56,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2016-07-31,34.14,34.14,34.14,0.0,0.0,34.25,34.25,34.25,0.0,0.0,33.57,33.57,33.57,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2016-08-07,34.56,34.56,34.56,0.0,0.0,35.06,35.06,35.06,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.46,34.46,34.46,0.0,0.0
2016-08-14,34.1,34.1,34.1,0.0,0.0,34.53,34.53,34.53,0.0,0.0,33.85,33.85,33.85,0.0,0.0,34.49,34.49,34.49,0.0,0.0
2016-08-21,33.67,33.67,33.67,0.0,0.0,34.35,34.35,34.35,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2016-08-28,34.06,34.06,34.06,0.0,0.0,34.43,34.43,34.43,0.0,0.0,33.87,33.87,33.87,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2016-09-04,34.12,34.12,34.12,0.0,0.0,34.14,34.14,34.14,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2016-09-11,32.47,32.47,32.47,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.67,32.67,32.67,0.0,0.0
2016-09-18,34.2,34.2,34.2,0.0,0.0,34.42,34.42,34.42,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.87,33.87,33.87,0.0,0.0
2016-09-25,33.93,33.93,33.93,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2016-10-02,35.57,35.57,35.57,0.0,0.0,35.67,35.67,35.67,0.0,0.0,34.86,34.86,34.86,0.0,0.0,35.46,35.46,35.46,0.0,0.0
2016-10-09,36.24,36.24,36.24,0.0,0.0,36.49,36.49,36.49,0.0,0.0,35.91,35.91,35.91,0.0,0.0,36.05,36.05,36.05,0.0,0.0
2016-10-16,37.4,37.4,37.4,0.0,0.0,37.92,37.92,37.92,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2016-10-23,37.62,37.62,37.62,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.04,37.04,37.04,0.0,0.0,37.39,37.39,37.39,0.0,0.0
2016-10-30,35.53,35.53,35.53,0.0,0.0,36.11,36.11,36.11,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.36,35.36,35.36,0.0,0.0
2016-11-06,32.46,32.46,32.46,0.0,0.0,32.89,32.89,32.89,0.0,0.0,31.2,31.2,31.2,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2016-11-13,32.87,32.87,32.87,0.0,0.0,33.01,33.01,33.01,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.59,32.59,32.59,0.0,0.0
