Date,CNX_stock_Open_average,CNX_stock_Open_max,CNX_stock_Open_min,CNX_stock_Open_volatility,CNX_stock_Open_change,CNX_stock_High_average,CNX_stock_High_max,CNX_stock_High_min,CNX_stock_High_volatility,CNX_stock_High_change,CNX_stock_Low_average,CNX_stock_Low_max,CNX_stock_Low_min,CNX_stock_Low_volatility,CNX_stock_Low_change,CNX_stock_Close_average,CNX_stock_Close_max,CNX_stock_Close_min,CNX_stock_Close_volatility,CNX_stock_Close_change,CNX_stock_Volume_average,CNX_stock_Volume_max,CNX_stock_Volume_min,CNX_stock_Volume_volatility,CNX_stock_Volume_change
2016-01-03,6.52,7.1,6.09,1.0099999999999998,-0.41999999999999993,6.828,7.25,6.22,1.0300000000000002,-0.6900000000000004,6.288,6.72,5.96,0.7599999999999998,-0.33000000000000007,6.61,7.15,6.06,1.0900000000000007,-0.7400000000000002,9957677,12958001,7519430,5438571,3097497
2016-01-10,5.472,6.32,4.43,1.8900000000000006,-1.8900000000000006,5.526,6.44,4.46,1.9800000000000004,-1.9800000000000004,4.872,5.61,4.07,1.54,-1.54,5.066,5.84,4.16,1.6799999999999997,-1.6799999999999997,13208324,15673916,10592192,5081724,2334080
2016-01-17,4.3975,5.19,3.97,1.2200000000000002,0.96,4.95,5.63,4.35,1.2800000000000002,1.0599999999999996,4.21,4.76,3.79,0.9699999999999998,0.6499999999999995,4.6775,5.14,4.23,0.9099999999999993,0.8399999999999999,11373200,12995232,8898797,4096435,1398544
2016-01-24,5.372,5.96,4.89,1.0700000000000003,1.04,5.912,7.16,5.23,1.9299999999999997,1.9299999999999997,5.148,5.9,4.63,1.2700000000000005,1.1500000000000004,5.568,6.62,4.77,1.8500000000000005,1.8500000000000005,10848137,21642092,6502432,15139660,15139660
2016-01-31,6.8,7.17,6.37,0.7999999999999998,0.7999999999999998,7.4639999999999995,8.12,6.75,1.3699999999999992,0.9099999999999993,6.612,7.14,6.22,0.9199999999999999,0.8999999999999995,7.104,7.59,6.51,1.08,0.5899999999999999,11800669,13695852,9888294,3807558,-2124211
2016-02-07,6.686,7.41,5.79,1.62,-1.1100000000000003,6.88,7.61,6.15,1.46,-1.0700000000000003,6.102,6.89,5.61,1.2799999999999994,-0.9299999999999997,6.408,7.13,6.01,1.12,-0.6299999999999999,9908978,11934010,7547919,4386091,-3297127
2016-02-14,6.925,7.52,6.6,0.9199999999999999,0.3100000000000005,7.275,7.71,6.66,1.0499999999999998,0.4900000000000002,6.525,6.86,6.18,0.6800000000000006,0.2400000000000002,6.8925,7.4,6.56,0.8400000000000007,-0.020000000000000462,7828966,9309943,6259510,3050433,577301
2016-02-21,6.728,7.35,6.39,0.96,-0.17999999999999972,7.008,7.52,6.72,0.7999999999999998,-0.6000000000000005,6.336,6.71,6.06,0.6500000000000004,-0.41999999999999993,6.678,7.26,6.38,0.8799999999999999,-0.7199999999999998,8917419,14394001,7143322,7250679,-1112732
2016-02-28,7.718,8.78,7.13,1.6499999999999995,1.6499999999999995,8.318,9.59,7.29,2.3,2.3,7.452,8.55,6.76,1.790000000000001,1.790000000000001,8.008,8.82,7.2,1.62,1.62,24359675,72102616,10666448,61436168,5448636
2016-03-06,9.204,9.61,8.88,0.7299999999999986,0.6699999999999999,9.588,10.01,9.29,0.7200000000000006,0.27999999999999936,8.912,9.52,8.64,0.879999999999999,0.5800000000000001,9.332,9.76,8.72,1.0399999999999991,0.02999999999999936,8107916,14347666,5823023,8524643,-6498527
