Date,iShares Global Infrastructure_etf_Open_average,iShares Global Infrastructure_etf_Open_max,iShares Global Infrastructure_etf_Open_min,iShares Global Infrastructure_etf_Open_volatility,iShares Global Infrastructure_etf_Open_change,iShares Global Infrastructure_etf_High_average,iShares Global Infrastructure_etf_High_max,iShares Global Infrastructure_etf_High_min,iShares Global Infrastructure_etf_High_volatility,iShares Global Infrastructure_etf_High_change,iShares Global Infrastructure_etf_Low_average,iShares Global Infrastructure_etf_Low_max,iShares Global Infrastructure_etf_Low_min,iShares Global Infrastructure_etf_Low_volatility,iShares Global Infrastructure_etf_Low_change,iShares Global Infrastructure_etf_Close_average,iShares Global Infrastructure_etf_Close_max,iShares Global Infrastructure_etf_Close_min,iShares Global Infrastructure_etf_Close_volatility,iShares Global Infrastructure_etf_Close_change
2016-01-03,34.6,34.6,34.6,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.35,34.35,34.35,0.0,0.0
2016-01-10,33.51,33.51,33.51,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2016-01-17,34.41,34.41,34.41,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2016-01-24,35.43,35.43,35.43,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.89,35.89,35.89,0.0,0.0
2016-01-31,35.95,35.95,35.95,0.0,0.0,35.95,35.95,35.95,0.0,0.0,35.71,35.71,35.71,0.0,0.0,35.79,35.79,35.79,0.0,0.0
2016-02-07,34.63,34.63,34.63,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2016-02-14,35.8,35.8,35.8,0.0,0.0,35.93,35.93,35.93,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.93,35.93,35.93,0.0,0.0
2016-02-21,36.49,36.49,36.49,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.03,36.03,36.03,0.0,0.0
2016-02-28,37.17,37.17,37.17,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.02,37.02,37.02,0.0,0.0,37.3,37.3,37.3,0.0,0.0
2016-03-06,37.9,37.9,37.9,0.0,0.0,38.16,38.16,38.16,0.0,0.0,37.89,37.89,37.89,0.0,0.0,38.1,38.1,38.1,0.0,0.0
2016-03-13,38.78,38.78,38.78,0.0,0.0,38.84,38.84,38.84,0.0,0.0,38.62,38.62,38.62,0.0,0.0,38.64,38.64,38.64,0.0,0.0
2016-03-20,37.81,37.81,37.81,0.0,0.0,38.31,38.31,38.31,0.0,0.0,37.81,37.81,37.81,0.0,0.0,38.31,38.31,38.31,0.0,0.0
2016-03-27,38.67,38.67,38.67,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.86,38.86,38.86,0.0,0.0
2016-04-03,38.54,38.54,38.54,0.0,0.0,38.86,38.86,38.86,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.73,38.73,38.73,0.0,0.0
2016-04-10,39.17,39.17,39.17,0.0,0.0,39.36,39.36,39.36,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.27,39.27,39.27,0.0,0.0
2016-04-17,39.17,39.17,39.17,0.0,0.0,39.41,39.41,39.41,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.33,39.33,39.33,0.0,0.0
2016-04-24,39.93,39.93,39.93,0.0,0.0,39.99,39.99,39.99,0.0,0.0,39.73,39.73,39.73,0.0,0.0,39.97,39.97,39.97,0.0,0.0
2016-05-01,39.55,39.55,39.55,0.0,0.0,39.76,39.76,39.76,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.61,39.61,39.61,0.0,0.0
2016-05-08,39.69,39.69,39.69,0.0,0.0,39.82,39.82,39.82,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.54,39.54,39.54,0.0,0.0
