Date,SPDR S&P Emerging MarketsEtf_Open_average,SPDR S&P Emerging MarketsEtf_Open_max,SPDR S&P Emerging MarketsEtf_Open_min,SPDR S&P Emerging MarketsEtf_Open_volatility,SPDR S&P Emerging MarketsEtf_Open_change,SPDR S&P Emerging MarketsEtf_High_average,SPDR S&P Emerging MarketsEtf_High_max,SPDR S&P Emerging MarketsEtf_High_min,SPDR S&P Emerging MarketsEtf_High_volatility,SPDR S&P Emerging MarketsEtf_High_change,SPDR S&P Emerging MarketsEtf_Low_average,SPDR S&P Emerging MarketsEtf_Low_max,SPDR S&P Emerging MarketsEtf_Low_min,SPDR S&P Emerging MarketsEtf_Low_volatility,SPDR S&P Emerging MarketsEtf_Low_change,SPDR S&P Emerging MarketsEtf_Close_average,SPDR S&P Emerging MarketsEtf_Close_max,SPDR S&P Emerging MarketsEtf_Close_min,SPDR S&P Emerging MarketsEtf_Close_volatility,SPDR S&P Emerging MarketsEtf_Close_change
2016-01-03,24.34,24.34,24.34,0.0,0.0,24.34,24.34,24.34,0.0,0.0,23.96,23.96,23.96,0.0,0.0,23.96,23.96,23.96,0.0,0.0
2016-01-10,23.09,23.09,23.09,0.0,0.0,23.13,23.13,23.13,0.0,0.0,22.72,22.72,22.72,0.0,0.0,22.95,22.95,22.95,0.0,0.0
2016-01-17,23.47,23.47,23.47,0.0,0.0,23.59,23.59,23.59,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.5,23.5,23.5,0.0,0.0
2016-01-24,24.34,24.34,24.34,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.46,24.46,24.46,0.0,0.0
2016-01-31,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0,23.93,23.93,23.93,0.0,0.0,23.98,23.98,23.98,0.0,0.0
2016-02-07,23.26,23.26,23.26,0.0,0.0,23.42,23.42,23.42,0.0,0.0,23.16,23.16,23.16,0.0,0.0,23.41,23.41,23.41,0.0,0.0
2016-02-14,24.16,24.16,24.16,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.28,24.28,24.28,0.0,0.0
2016-02-21,24.46,24.46,24.46,0.0,0.0,24.48,24.48,24.48,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2016-02-28,26.13,26.13,26.13,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.33,26.33,26.33,0.0,0.0
2016-03-06,26.36,26.36,26.36,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.7,26.7,26.7,0.0,0.0
2016-03-13,27.24,27.24,27.24,0.0,0.0,27.46,27.46,27.46,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.34,27.34,27.34,0.0,0.0
2016-03-20,26.57,26.57,26.57,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.52,26.52,26.52,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2016-03-27,27.07,27.07,27.07,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.48,27.48,27.48,0.0,0.0
2016-04-03,26.9,26.9,26.9,0.0,0.0,26.93,26.93,26.93,0.0,0.0,26.82,26.82,26.82,0.0,0.0,26.82,26.82,26.82,0.0,0.0
2016-04-10,27.93,27.93,27.93,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.86,27.86,27.86,0.0,0.0
2016-04-17,27.93,27.93,27.93,0.0,0.0,27.93,27.93,27.93,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.82,27.82,27.82,0.0,0.0
2016-04-24,27.65,27.65,27.65,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.74,27.74,27.74,0.0,0.0
2016-05-01,26.62,26.62,26.62,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.53,26.53,26.53,0.0,0.0
