Date,ProShares Short MSCI Emerging Markets_etf_Open_average,ProShares Short MSCI Emerging Markets_etf_Open_max,ProShares Short MSCI Emerging Markets_etf_Open_min,ProShares Short MSCI Emerging Markets_etf_Open_volatility,ProShares Short MSCI Emerging Markets_etf_Open_change,ProShares Short MSCI Emerging Markets_etf_High_average,ProShares Short MSCI Emerging Markets_etf_High_max,ProShares Short MSCI Emerging Markets_etf_High_min,ProShares Short MSCI Emerging Markets_etf_High_volatility,ProShares Short MSCI Emerging Markets_etf_High_change,ProShares Short MSCI Emerging Markets_etf_Low_average,ProShares Short MSCI Emerging Markets_etf_Low_max,ProShares Short MSCI Emerging Markets_etf_Low_min,ProShares Short MSCI Emerging Markets_etf_Low_volatility,ProShares Short MSCI Emerging Markets_etf_Low_change,ProShares Short MSCI Emerging Markets_etf_Close_average,ProShares Short MSCI Emerging Markets_etf_Close_max,ProShares Short MSCI Emerging Markets_etf_Close_min,ProShares Short MSCI Emerging Markets_etf_Close_volatility,ProShares Short MSCI Emerging Markets_etf_Close_change
2016-01-03,31.49,31.49,31.49,0.0,0.0,32.06,32.06,32.06,0.0,0.0,31.4,31.4,31.4,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2016-01-10,33.13,33.13,33.13,0.0,0.0,33.55,33.55,33.55,0.0,0.0,32.95,32.95,32.95,0.0,0.0,33.17,33.17,33.17,0.0,0.0
2016-01-17,32.17,32.17,32.17,0.0,0.0,32.39,32.39,32.39,0.0,0.0,32.09,32.09,32.09,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2016-01-24,31.27,31.27,31.27,0.0,0.0,31.27,31.27,31.27,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2016-01-31,30.96,30.96,30.96,0.0,0.0,31.34,31.34,31.34,0.0,0.0,30.9,30.9,30.9,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2016-02-07,32.22,32.22,32.22,0.0,0.0,32.34,32.34,32.34,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2016-02-14,30.97,30.97,30.97,0.0,0.0,31.07,31.07,31.07,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.9,30.9,30.9,0.0,0.0
2016-02-21,30.52,30.52,30.52,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.52,30.52,30.52,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2016-02-28,28.66,28.66,28.66,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.37,28.37,28.37,0.0,0.0
2016-03-06,28.25,28.25,28.25,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.04,28.04,28.04,0.0,0.0
