Date,PowerShares S&P SmallCap Health Care_etf_Open_average,PowerShares S&P SmallCap Health Care_etf_Open_max,PowerShares S&P SmallCap Health Care_etf_Open_min,PowerShares S&P SmallCap Health Care_etf_Open_volatility,PowerShares S&P SmallCap Health Care_etf_Open_change,PowerShares S&P SmallCap Health Care_etf_High_average,PowerShares S&P SmallCap Health Care_etf_High_max,PowerShares S&P SmallCap Health Care_etf_High_min,PowerShares S&P SmallCap Health Care_etf_High_volatility,PowerShares S&P SmallCap Health Care_etf_High_change,PowerShares S&P SmallCap Health Care_etf_Low_average,PowerShares S&P SmallCap Health Care_etf_Low_max,PowerShares S&P SmallCap Health Care_etf_Low_min,PowerShares S&P SmallCap Health Care_etf_Low_volatility,PowerShares S&P SmallCap Health Care_etf_Low_change,PowerShares S&P SmallCap Health Care_etf_Close_average,PowerShares S&P SmallCap Health Care_etf_Close_max,PowerShares S&P SmallCap Health Care_etf_Close_min,PowerShares S&P SmallCap Health Care_etf_Close_volatility,PowerShares S&P SmallCap Health Care_etf_Close_change
2016-01-03,67.44,67.44,67.44,0.0,0.0,68.22,68.22,68.22,0.0,0.0,66.05,66.05,66.05,0.0,0.0,66.17,66.17,66.17,0.0,0.0
2016-01-10,63.12,63.12,63.12,0.0,0.0,64.73,64.73,64.73,0.0,0.0,63.02,63.02,63.02,0.0,0.0,64.73,64.73,64.73,0.0,0.0
2016-01-17,65.16,65.16,65.16,0.0,0.0,65.55,65.55,65.55,0.0,0.0,64.78,64.78,64.78,0.0,0.0,65.54,65.54,65.54,0.0,0.0
2016-01-24,62.24,62.24,62.24,0.0,0.0,63.87,63.87,63.87,0.0,0.0,62.24,62.24,62.24,0.0,0.0,63.87,63.87,63.87,0.0,0.0
2016-01-31,62.5,62.5,62.5,0.0,0.0,62.5,62.5,62.5,0.0,0.0,60.14,60.14,60.14,0.0,0.0,60.16,60.16,60.16,0.0,0.0
2016-02-07,58.26,58.26,58.26,0.0,0.0,58.68,58.68,58.68,0.0,0.0,57.61,57.61,57.61,0.0,0.0,58.53,58.53,58.53,0.0,0.0
2016-02-14,60.51,60.51,60.51,0.0,0.0,61.18,61.18,61.18,0.0,0.0,60.0,60.0,60.0,0.0,0.0,61.18,61.18,61.18,0.0,0.0
2016-02-21,62.88,62.88,62.88,0.0,0.0,62.88,62.88,62.88,0.0,0.0,62.88,62.88,62.88,0.0,0.0,62.88,62.88,62.88,0.0,0.0
2016-02-28,64.12,64.12,64.12,0.0,0.0,64.79,64.79,64.79,0.0,0.0,63.75,63.75,63.75,0.0,0.0,64.22,64.22,64.22,0.0,0.0
2016-03-06,64.17,64.17,64.17,0.0,0.0,65.32,65.32,65.32,0.0,0.0,64.17,64.17,64.17,0.0,0.0,65.32,65.32,65.32,0.0,0.0
2016-03-13,62.88,62.88,62.88,0.0,0.0,64.19,64.19,64.19,0.0,0.0,62.87,62.87,62.87,0.0,0.0,63.91,63.91,63.91,0.0,0.0
2016-03-20,62.87,62.87,62.87,0.0,0.0,63.24,63.24,63.24,0.0,0.0,62.28,62.28,62.28,0.0,0.0,62.99,62.99,62.99,0.0,0.0
2016-03-27,65.81,65.81,65.81,0.0,0.0,67.2,67.2,67.2,0.0,0.0,65.75,65.75,65.75,0.0,0.0,67.15,67.15,67.15,0.0,0.0
