Date,Global X China FinancialsEtf_Open_average,Global X China FinancialsEtf_Open_max,Global X China FinancialsEtf_Open_min,Global X China FinancialsEtf_Open_volatility,Global X China FinancialsEtf_Open_change,Global X China FinancialsEtf_High_average,Global X China FinancialsEtf_High_max,Global X China FinancialsEtf_High_min,Global X China FinancialsEtf_High_volatility,Global X China FinancialsEtf_High_change,Global X China FinancialsEtf_Low_average,Global X China FinancialsEtf_Low_max,Global X China FinancialsEtf_Low_min,Global X China FinancialsEtf_Low_volatility,Global X China FinancialsEtf_Low_change,Global X China FinancialsEtf_Close_average,Global X China FinancialsEtf_Close_max,Global X China FinancialsEtf_Close_min,Global X China FinancialsEtf_Close_volatility,Global X China FinancialsEtf_Close_change
2016-01-03,12.52,12.52,12.52,0.0,0.0,12.52,12.52,12.52,0.0,0.0,12.23,12.23,12.23,0.0,0.0,12.23,12.23,12.23,0.0,0.0
2016-01-10,11.42,11.42,11.42,0.0,0.0,11.49,11.49,11.49,0.0,0.0,11.23,11.23,11.23,0.0,0.0,11.44,11.44,11.44,0.0,0.0
2016-01-17,11.58,11.58,11.58,0.0,0.0,11.6,11.6,11.6,0.0,0.0,11.46,11.46,11.46,0.0,0.0,11.57,11.57,11.57,0.0,0.0
2016-01-24,11.52,11.52,11.52,0.0,0.0,11.64,11.64,11.64,0.0,0.0,11.51,11.51,11.51,0.0,0.0,11.63,11.63,11.63,0.0,0.0
2016-01-31,11.15,11.15,11.15,0.0,0.0,11.15,11.15,11.15,0.0,0.0,10.97,10.97,10.97,0.0,0.0,11.04,11.04,11.04,0.0,0.0
2016-02-07,10.58,10.58,10.58,0.0,0.0,10.67,10.67,10.67,0.0,0.0,10.5,10.5,10.5,0.0,0.0,10.65,10.65,10.65,0.0,0.0
2016-02-14,11.34,11.34,11.34,0.0,0.0,11.34,11.34,11.34,0.0,0.0,11.27,11.27,11.27,0.0,0.0,11.31,11.31,11.31,0.0,0.0
2016-02-21,11.27,11.27,11.27,0.0,0.0,11.27,11.27,11.27,0.0,0.0,11.18,11.18,11.18,0.0,0.0,11.2,11.2,11.2,0.0,0.0
2016-02-28,12.07,12.07,12.07,0.0,0.0,12.26,12.26,12.26,0.0,0.0,12.02,12.02,12.02,0.0,0.0,12.21,12.21,12.21,0.0,0.0
2016-03-06,12.0,12.0,12.0,0.0,0.0,12.17,12.17,12.17,0.0,0.0,12.0,12.0,12.0,0.0,0.0,12.16,12.16,12.16,0.0,0.0
2016-03-13,12.49,12.49,12.49,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.49,12.49,12.49,0.0,0.0,12.53,12.53,12.53,0.0,0.0
2016-03-20,12.05,12.05,12.05,0.0,0.0,12.15,12.15,12.15,0.0,0.0,12.05,12.05,12.05,0.0,0.0,12.15,12.15,12.15,0.0,0.0
2016-03-27,12.22,12.22,12.22,0.0,0.0,12.4,12.4,12.4,0.0,0.0,12.22,12.22,12.22,0.0,0.0,12.39,12.39,12.39,0.0,0.0
2016-04-03,12.12,12.12,12.12,0.0,0.0,12.19,12.19,12.19,0.0,0.0,12.0,12.0,12.0,0.0,0.0,12.07,12.07,12.07,0.0,0.0
2016-04-10,12.68,12.68,12.68,0.0,0.0,12.71,12.71,12.71,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.64,12.64,12.64,0.0,0.0
2016-04-17,12.6,12.6,12.6,0.0,0.0,12.62,12.62,12.62,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.5,12.5,12.5,0.0,0.0
