Date,INSG_stock_Open_average,INSG_stock_Open_max,INSG_stock_Open_min,INSG_stock_Open_volatility,INSG_stock_Open_change,INSG_stock_High_average,INSG_stock_High_max,INSG_stock_High_min,INSG_stock_High_volatility,INSG_stock_High_change,INSG_stock_Low_average,INSG_stock_Low_max,INSG_stock_Low_min,INSG_stock_Low_volatility,INSG_stock_Low_change,INSG_stock_Close_average,INSG_stock_Close_max,INSG_stock_Close_min,INSG_stock_Close_volatility,INSG_stock_Close_change,INSG_stock_Volume_average,INSG_stock_Volume_max,INSG_stock_Volume_min,INSG_stock_Volume_volatility,INSG_stock_Volume_change
2016-01-03,1.686,1.74,1.63,0.1100000000000001,-0.040000000000000036,1.71,1.74,1.67,0.07000000000000006,0.0,1.582,1.67,1.41,0.26,-0.18000000000000016,1.656,1.73,1.54,0.18999999999999995,-0.11999999999999988,394693,600168,233096,367072,271925
2016-01-10,1.45,1.59,1.17,0.42000000000000015,-0.42000000000000015,1.48,1.64,1.21,0.42999999999999994,-0.42999999999999994,1.274,1.44,0.99,0.44999999999999996,-0.31999999999999984,1.3719999999999999,1.52,1.21,0.31000000000000005,-0.31000000000000005,673137,2120190,188027,1932163,182531
2016-01-17,1.105,1.24,1.02,0.21999999999999997,-0.21999999999999997,1.155,1.3,1.07,0.22999999999999998,-0.18999999999999995,1.0150000000000001,1.12,0.97,0.15000000000000013,-0.13000000000000012,1.0625,1.16,1.0,0.15999999999999992,-0.06999999999999984,826475,1821422,411318,1410104,8658
2016-01-24,1.022,1.09,0.95,0.14000000000000012,-0.14000000000000012,1.092,1.14,1.03,0.10999999999999988,-0.05999999999999983,0.96,1.02,0.84,0.18000000000000005,-0.06000000000000005,1.018,1.08,0.93,0.15000000000000002,0.040000000000000036,292934,524661,167661,357000,-43931
2016-01-31,1.026,1.07,0.98,0.09000000000000008,-0.010000000000000009,1.056,1.07,1.01,0.06000000000000005,-0.010000000000000009,0.978,1.0,0.95,0.050000000000000044,0.020000000000000018,1.012,1.06,0.98,0.08000000000000007,0.030000000000000027,206546,273679,168621,105058,37431
2016-02-07,1.008,1.04,0.96,0.08000000000000007,0.030000000000000027,1.086,1.15,1.04,0.10999999999999988,0.09999999999999987,0.98,1.01,0.95,0.06000000000000005,0.06000000000000005,1.038,1.13,0.98,0.1499999999999999,0.1499999999999999,188266,256577,139372,117205,67510
2016-02-14,1.275,1.38,1.15,0.22999999999999998,0.18000000000000016,1.415,1.58,1.24,0.3400000000000001,0.3400000000000001,1.2425,1.32,1.13,0.19000000000000017,0.19000000000000017,1.3275000000000001,1.4,1.23,0.16999999999999993,0.13000000000000012,405786,608989,291918,317071,317071
2016-02-21,1.4916666666666667,1.65,1.34,0.30999999999999983,0.24,1.5783333333333334,1.7,1.41,0.29000000000000004,0.19999999999999996,1.4466666666666668,1.65,1.31,0.33999999999999986,0.33999999999999986,1.5333333333333332,1.65,1.36,0.2899999999999998,0.25,240836,435625,0,435625,-276485
2016-02-28,1.64,1.66,1.61,0.04999999999999982,-0.010000000000000009,1.686,1.75,1.65,0.10000000000000009,0.050000000000000044,1.576,1.61,1.56,0.050000000000000044,0.050000000000000044,1.652,1.7,1.62,0.07999999999999985,0.06000000000000005,310512,423931,191208,232723,232723
2016-03-06,1.64,1.71,1.53,0.17999999999999994,-0.17999999999999994,1.674,1.73,1.57,0.15999999999999992,-0.15999999999999992,1.578,1.67,1.5,0.16999999999999993,-0.16999999999999993,1.606,1.69,1.52,0.16999999999999993,-0.1399999999999999,220582,602091,88428,513663,-513663
