Date,VanEck Vectors High-Yield MunicipalEtf_Open_average,VanEck Vectors High-Yield MunicipalEtf_Open_max,VanEck Vectors High-Yield MunicipalEtf_Open_min,VanEck Vectors High-Yield MunicipalEtf_Open_volatility,VanEck Vectors High-Yield MunicipalEtf_Open_change,VanEck Vectors High-Yield MunicipalEtf_High_average,VanEck Vectors High-Yield MunicipalEtf_High_max,VanEck Vectors High-Yield MunicipalEtf_High_min,VanEck Vectors High-Yield MunicipalEtf_High_volatility,VanEck Vectors High-Yield MunicipalEtf_High_change,VanEck Vectors High-Yield MunicipalEtf_Low_average,VanEck Vectors High-Yield MunicipalEtf_Low_max,VanEck Vectors High-Yield MunicipalEtf_Low_min,VanEck Vectors High-Yield MunicipalEtf_Low_volatility,VanEck Vectors High-Yield MunicipalEtf_Low_change,VanEck Vectors High-Yield MunicipalEtf_Close_average,VanEck Vectors High-Yield MunicipalEtf_Close_max,VanEck Vectors High-Yield MunicipalEtf_Close_min,VanEck Vectors High-Yield MunicipalEtf_Close_volatility,VanEck Vectors High-Yield MunicipalEtf_Close_change
2016-01-03,62.12,62.12,62.12,0.0,0.0,62.3,62.3,62.3,0.0,0.0,62.1,62.1,62.1,0.0,0.0,62.22,62.22,62.22,0.0,0.0
2016-01-10,62.28,62.28,62.28,0.0,0.0,62.3,62.3,62.3,0.0,0.0,62.01,62.01,62.01,0.0,0.0,62.22,62.22,62.22,0.0,0.0
2016-01-17,62.22,62.22,62.22,0.0,0.0,62.24,62.24,62.24,0.0,0.0,62.08,62.08,62.08,0.0,0.0,62.2,62.2,62.2,0.0,0.0
2016-01-24,62.2,62.2,62.2,0.0,0.0,62.3,62.3,62.3,0.0,0.0,62.14,62.14,62.14,0.0,0.0,62.22,62.22,62.22,0.0,0.0
2016-01-31,62.32,62.32,62.32,0.0,0.0,62.32,62.32,62.32,0.0,0.0,62.06,62.06,62.06,0.0,0.0,62.28,62.28,62.28,0.0,0.0
2016-02-07,62.06,62.06,62.06,0.0,0.0,62.1,62.1,62.1,0.0,0.0,61.96,61.96,61.96,0.0,0.0,62.06,62.06,62.06,0.0,0.0
2016-02-14,62.34,62.34,62.34,0.0,0.0,62.48,62.48,62.48,0.0,0.0,62.3,62.3,62.3,0.0,0.0,62.4,62.4,62.4,0.0,0.0
2016-02-21,62.24,62.24,62.24,0.0,0.0,62.42,62.42,62.42,0.0,0.0,62.12,62.12,62.12,0.0,0.0,62.22,62.22,62.22,0.0,0.0
2016-02-28,61.96,61.96,61.96,0.0,0.0,62.04,62.04,62.04,0.0,0.0,61.85,61.85,61.85,0.0,0.0,61.94,61.94,61.94,0.0,0.0
2016-03-06,62.1,62.1,62.1,0.0,0.0,62.12,62.12,62.12,0.0,0.0,62.02,62.02,62.02,0.0,0.0,62.04,62.04,62.04,0.0,0.0
