Date,ATGE_stock_Open_average,ATGE_stock_Open_max,ATGE_stock_Open_min,ATGE_stock_Open_volatility,ATGE_stock_Open_change,ATGE_stock_High_average,ATGE_stock_High_max,ATGE_stock_High_min,ATGE_stock_High_volatility,ATGE_stock_High_change,ATGE_stock_Low_average,ATGE_stock_Low_max,ATGE_stock_Low_min,ATGE_stock_Low_volatility,ATGE_stock_Low_change,ATGE_stock_Close_average,ATGE_stock_Close_max,ATGE_stock_Close_min,ATGE_stock_Close_volatility,ATGE_stock_Close_change,ATGE_stock_Volume_average,ATGE_stock_Volume_max,ATGE_stock_Volume_min,ATGE_stock_Volume_volatility,ATGE_stock_Volume_change
2016-01-03,23.306,25.02,21.54,3.4800000000000004,-3.4800000000000004,23.458,25.16,21.76,3.3999999999999986,-3.3999999999999986,22.25,24.42,20.55,3.870000000000001,-3.870000000000001,22.66,24.88,21.19,3.6899999999999977,-3.6899999999999977,936536,1132275,803942,328333,101694
2016-01-10,21.919999999999998,22.24,21.38,0.8599999999999994,0.379999999999999,22.404,22.7,21.81,0.8900000000000006,0.8399999999999999,21.546,22.13,20.8,1.3299999999999983,1.129999999999999,22.088,22.6,20.94,1.6600000000000001,1.629999999999999,956118,1394671,562730,831941,224567
2016-01-17,22.7325,23.13,22.19,0.9399999999999977,0.2699999999999996,23.09,23.35,22.92,0.4299999999999997,0.4299999999999997,22.4525,22.96,21.87,1.0899999999999999,0.6000000000000014,22.865000000000002,23.33,22.6,0.7299999999999969,0.7299999999999969,698794,838024,573068,264956,-251057
2016-01-24,21.948,23.68,19.51,4.169999999999998,-3.7099999999999973,22.352,23.85,20.02,3.830000000000002,-3.400000000000002,20.7,23.22,18.76,4.459999999999997,-3.610000000000003,21.272,23.74,19.37,4.369999999999997,-3.360000000000003,2012286,5353767,592901,4760866,567480
2016-01-31,19.074,19.92,18.35,1.5700000000000003,-1.4199999999999982,19.442,20.15,18.36,1.7899999999999991,-1.4400000000000013,17.994,19.13,15.81,3.3199999999999985,-3.3199999999999985,18.63,19.84,17.03,2.8099999999999987,-2.1099999999999994,1627809,1902810,1203375,699435,658170
2016-02-07,17.14,17.65,16.8,0.8499999999999979,0.2099999999999973,17.668,18.4,17.25,1.1499999999999986,-0.9499999999999993,16.718,17.04,16.52,0.5199999999999996,0.03999999999999915,17.172,17.96,16.74,1.2200000000000024,-1.2200000000000024,1259891,1543068,1007757,535311,-76593
2016-02-14,17.9375,18.39,17.12,1.2699999999999996,1.2699999999999996,18.52,18.88,17.94,0.9399999999999977,0.9399999999999977,17.66,18.04,16.97,1.0700000000000003,0.8599999999999994,18.1075,18.44,17.92,0.5199999999999996,0.00999999999999801,758764,909924,654818,255106,-127506
2016-02-21,18.018,18.16,17.63,0.5300000000000011,0.05999999999999872,18.348,18.73,18.14,0.5899999999999999,-0.19000000000000128,17.692,18.02,17.38,0.6400000000000006,0.259999999999998,18.104,18.37,17.83,0.5400000000000027,0.2699999999999996,710271,980353,473530,506823,-351828
2016-02-28,18.874,19.76,18.33,1.4300000000000033,1.4300000000000033,19.222,19.8,18.59,1.2100000000000009,1.2100000000000009,18.522,19.16,18.16,1.0,1.0,19.018,19.64,18.26,1.379999999999999,1.3599999999999994,585236,883251,476816,406435,298701
2016-03-06,20.89,21.33,19.53,1.7999999999999972,1.6499999999999986,21.392,21.6,21.3,0.3000000000000007,0.10999999999999943,20.616,21.1,19.5,1.6000000000000014,1.5100000000000016,21.18,21.38,20.97,0.41000000000000014,0.129999999999999,716240,1097707,278166,819541,-819541
