Date,Consumer Staples Select Sector SPDREtf_Open_average,Consumer Staples Select Sector SPDREtf_Open_max,Consumer Staples Select Sector SPDREtf_Open_min,Consumer Staples Select Sector SPDREtf_Open_volatility,Consumer Staples Select Sector SPDREtf_Open_change,Consumer Staples Select Sector SPDREtf_High_average,Consumer Staples Select Sector SPDREtf_High_max,Consumer Staples Select Sector SPDREtf_High_min,Consumer Staples Select Sector SPDREtf_High_volatility,Consumer Staples Select Sector SPDREtf_High_change,Consumer Staples Select Sector SPDREtf_Low_average,Consumer Staples Select Sector SPDREtf_Low_max,Consumer Staples Select Sector SPDREtf_Low_min,Consumer Staples Select Sector SPDREtf_Low_volatility,Consumer Staples Select Sector SPDREtf_Low_change,Consumer Staples Select Sector SPDREtf_Close_average,Consumer Staples Select Sector SPDREtf_Close_max,Consumer Staples Select Sector SPDREtf_Close_min,Consumer Staples Select Sector SPDREtf_Close_volatility,Consumer Staples Select Sector SPDREtf_Close_change
2016-01-03,49.72,49.72,49.72,0.0,0.0,49.72,49.72,49.72,0.0,0.0,48.92,48.92,48.92,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2016-01-10,48.24,48.24,48.24,0.0,0.0,48.62,48.62,48.62,0.0,0.0,47.92,47.92,47.92,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2016-01-17,49.01,49.01,49.01,0.0,0.0,49.39,49.39,49.39,0.0,0.0,48.63,48.63,48.63,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2016-01-24,50.09,50.09,50.09,0.0,0.0,50.83,50.83,50.83,0.0,0.0,49.86,49.86,49.86,0.0,0.0,50.76,50.76,50.76,0.0,0.0
2016-01-31,49.8,49.8,49.8,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2016-02-07,49.67,49.67,49.67,0.0,0.0,50.08,50.08,50.08,0.0,0.0,49.44,49.44,49.44,0.0,0.0,50.07,50.07,50.07,0.0,0.0
2016-02-14,50.62,50.62,50.62,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2016-02-21,51.96,51.96,51.96,0.0,0.0,51.96,51.96,51.96,0.0,0.0,50.99,50.99,50.99,0.0,0.0,51.09,51.09,51.09,0.0,0.0
2016-02-28,51.8,51.8,51.8,0.0,0.0,52.17,52.17,52.17,0.0,0.0,51.6,51.6,51.6,0.0,0.0,52.04,52.04,52.04,0.0,0.0
2016-03-06,52.54,52.54,52.54,0.0,0.0,52.65,52.65,52.65,0.0,0.0,52.26,52.26,52.26,0.0,0.0,52.45,52.45,52.45,0.0,0.0
2016-03-13,52.81,52.81,52.81,0.0,0.0,52.86,52.86,52.86,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.65,52.65,52.65,0.0,0.0
