Date,ProShares Short Euro_etf_Open_average,ProShares Short Euro_etf_Open_max,ProShares Short Euro_etf_Open_min,ProShares Short Euro_etf_Open_volatility,ProShares Short Euro_etf_Open_change,ProShares Short Euro_etf_High_average,ProShares Short Euro_etf_High_max,ProShares Short Euro_etf_High_min,ProShares Short Euro_etf_High_volatility,ProShares Short Euro_etf_High_change,ProShares Short Euro_etf_Low_average,ProShares Short Euro_etf_Low_max,ProShares Short Euro_etf_Low_min,ProShares Short Euro_etf_Low_volatility,ProShares Short Euro_etf_Low_change,ProShares Short Euro_etf_Close_average,ProShares Short Euro_etf_Close_max,ProShares Short Euro_etf_Close_min,ProShares Short Euro_etf_Close_volatility,ProShares Short Euro_etf_Close_change
2016-01-03,43.69,43.69,43.69,0.0,0.0,43.69,43.69,43.69,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.63,43.63,43.63,0.0,0.0
2016-01-10,43.36,43.36,43.36,0.0,0.0,43.55,43.55,43.55,0.0,0.0,43.24,43.24,43.24,0.0,0.0,43.55,43.55,43.55,0.0,0.0
2016-01-17,43.87,43.87,43.87,0.0,0.0,44.01,44.01,44.01,0.0,0.0,43.87,43.87,43.87,0.0,0.0,44.01,44.01,44.01,0.0,0.0
2016-01-24,44.0,44.0,44.0,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2016-01-31,42.57,42.57,42.57,0.0,0.0,42.72,42.72,42.72,0.0,0.0,42.56,42.56,42.56,0.0,0.0,42.62,42.62,42.62,0.0,0.0
2016-02-07,42.18,42.18,42.18,0.0,0.0,42.26,42.26,42.26,0.0,0.0,42.18,42.18,42.18,0.0,0.0,42.21,42.21,42.21,0.0,0.0
2016-02-14,42.72,42.72,42.72,0.0,0.0,42.72,42.72,42.72,0.0,0.0,42.72,42.72,42.72,0.0,0.0,42.72,42.72,42.72,0.0,0.0
2016-02-21,43.33,43.33,43.33,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.33,43.33,43.33,0.0,0.0,43.4,43.4,43.4,0.0,0.0
2016-02-28,43.18,43.18,43.18,0.0,0.0,43.18,43.18,43.18,0.0,0.0,43.18,43.18,43.18,0.0,0.0,43.18,43.18,43.18,0.0,0.0
2016-03-06,42.48,42.48,42.48,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2016-03-13,41.99,41.99,41.99,0.0,0.0,42.1,42.1,42.1,0.0,0.0,41.99,41.99,41.99,0.0,0.0,42.1,42.1,42.1,0.0,0.0
2016-03-20,42.47,42.47,42.47,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2016-03-27,41.72,41.72,41.72,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.68,41.68,41.68,0.0,0.0,41.68,41.68,41.68,0.0,0.0
2016-04-03,41.71,41.71,41.71,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.64,41.64,41.64,0.0,0.0,41.64,41.64,41.64,0.0,0.0
2016-04-10,42.07,42.07,42.07,0.0,0.0,42.1,42.1,42.1,0.0,0.0,41.95,41.95,41.95,0.0,0.0,41.98,41.98,41.98,0.0,0.0
