Date,iShares iBoxx $ Investment Grade Corporate Bond_etf_Open_average,iShares iBoxx $ Investment Grade Corporate Bond_etf_Open_max,iShares iBoxx $ Investment Grade Corporate Bond_etf_Open_min,iShares iBoxx $ Investment Grade Corporate Bond_etf_Open_volatility,iShares iBoxx $ Investment Grade Corporate Bond_etf_Open_change,iShares iBoxx $ Investment Grade Corporate Bond_etf_High_average,iShares iBoxx $ Investment Grade Corporate Bond_etf_High_max,iShares iBoxx $ Investment Grade Corporate Bond_etf_High_min,iShares iBoxx $ Investment Grade Corporate Bond_etf_High_volatility,iShares iBoxx $ Investment Grade Corporate Bond_etf_High_change,iShares iBoxx $ Investment Grade Corporate Bond_etf_Low_average,iShares iBoxx $ Investment Grade Corporate Bond_etf_Low_max,iShares iBoxx $ Investment Grade Corporate Bond_etf_Low_min,iShares iBoxx $ Investment Grade Corporate Bond_etf_Low_volatility,iShares iBoxx $ Investment Grade Corporate Bond_etf_Low_change,iShares iBoxx $ Investment Grade Corporate Bond_etf_Close_average,iShares iBoxx $ Investment Grade Corporate Bond_etf_Close_max,iShares iBoxx $ Investment Grade Corporate Bond_etf_Close_min,iShares iBoxx $ Investment Grade Corporate Bond_etf_Close_volatility,iShares iBoxx $ Investment Grade Corporate Bond_etf_Close_change
2016-01-03,114.52,114.52,114.52,0.0,0.0,114.92,114.92,114.92,0.0,0.0,114.44,114.44,114.44,0.0,0.0,114.64,114.64,114.64,0.0,0.0
2016-01-10,114.34,114.34,114.34,0.0,0.0,114.49,114.49,114.49,0.0,0.0,113.98,113.98,113.98,0.0,0.0,114.14,114.14,114.14,0.0,0.0
2016-01-17,113.43,113.43,113.43,0.0,0.0,113.76,113.76,113.76,0.0,0.0,113.35,113.35,113.35,0.0,0.0,113.54,113.54,113.54,0.0,0.0
2016-01-24,114.22,114.22,114.22,0.0,0.0,114.22,114.22,114.22,0.0,0.0,113.9,113.9,113.9,0.0,0.0,114.15,114.15,114.15,0.0,0.0
2016-01-31,113.28,113.28,113.28,0.0,0.0,113.5,113.5,113.5,0.0,0.0,113.12,113.12,113.12,0.0,0.0,113.41,113.41,113.41,0.0,0.0
2016-02-07,113.67,113.67,113.67,0.0,0.0,113.83,113.83,113.83,0.0,0.0,113.17,113.17,113.17,0.0,0.0,113.49,113.49,113.49,0.0,0.0
2016-02-14,113.8,113.8,113.8,0.0,0.0,113.97,113.97,113.97,0.0,0.0,113.57,113.57,113.57,0.0,0.0,113.76,113.76,113.76,0.0,0.0
2016-02-21,114.66,114.66,114.66,0.0,0.0,114.96,114.96,114.96,0.0,0.0,114.57,114.57,114.57,0.0,0.0,114.93,114.93,114.93,0.0,0.0
2016-02-28,114.74,114.74,114.74,0.0,0.0,114.82,114.82,114.82,0.0,0.0,114.45,114.45,114.45,0.0,0.0,114.8,114.8,114.8,0.0,0.0
2016-03-06,116.3,116.3,116.3,0.0,0.0,116.38,116.38,116.38,0.0,0.0,115.97,115.97,115.97,0.0,0.0,116.22,116.22,116.22,0.0,0.0
2016-03-13,117.86,117.86,117.86,0.0,0.0,117.91,117.91,117.91,0.0,0.0,117.5,117.5,117.5,0.0,0.0,117.71,117.71,117.71,0.0,0.0
2016-03-20,118.26,118.26,118.26,0.0,0.0,118.26,118.26,118.26,0.0,0.0,117.8,117.8,117.8,0.0,0.0,117.89,117.89,117.89,0.0,0.0
2016-03-27,118.65,118.65,118.65,0.0,0.0,118.96,118.96,118.96,0.0,0.0,118.19,118.19,118.19,0.0,0.0,118.87,118.87,118.87,0.0,0.0
2016-04-03,119.38,119.38,119.38,0.0,0.0,119.39,119.39,119.39,0.0,0.0,119.14,119.14,119.14,0.0,0.0,119.21,119.21,119.21,0.0,0.0
2016-04-10,119.3,119.3,119.3,0.0,0.0,119.62,119.62,119.62,0.0,0.0,119.14,119.14,119.14,0.0,0.0,119.56,119.56,119.56,0.0,0.0
2016-04-17,119.91,119.91,119.91,0.0,0.0,119.91,119.91,119.91,0.0,0.0,119.55,119.55,119.55,0.0,0.0,119.66,119.66,119.66,0.0,0.0
2016-04-24,120.08,120.08,120.08,0.0,0.0,120.42,120.42,120.42,0.0,0.0,119.85,119.85,119.85,0.0,0.0,120.33,120.33,120.33,0.0,0.0
2016-05-01,120.05,120.05,120.05,0.0,0.0,120.05,120.05,120.05,0.0,0.0,119.69,119.69,119.69,0.0,0.0,119.84,119.84,119.84,0.0,0.0
