Date,iShares Residential Real Estate Capped_etf_Open_average,iShares Residential Real Estate Capped_etf_Open_max,iShares Residential Real Estate Capped_etf_Open_min,iShares Residential Real Estate Capped_etf_Open_volatility,iShares Residential Real Estate Capped_etf_Open_change,iShares Residential Real Estate Capped_etf_High_average,iShares Residential Real Estate Capped_etf_High_max,iShares Residential Real Estate Capped_etf_High_min,iShares Residential Real Estate Capped_etf_High_volatility,iShares Residential Real Estate Capped_etf_High_change,iShares Residential Real Estate Capped_etf_Low_average,iShares Residential Real Estate Capped_etf_Low_max,iShares Residential Real Estate Capped_etf_Low_min,iShares Residential Real Estate Capped_etf_Low_volatility,iShares Residential Real Estate Capped_etf_Low_change,iShares Residential Real Estate Capped_etf_Close_average,iShares Residential Real Estate Capped_etf_Close_max,iShares Residential Real Estate Capped_etf_Close_min,iShares Residential Real Estate Capped_etf_Close_volatility,iShares Residential Real Estate Capped_etf_Close_change
2016-01-03,63.32,63.32,63.32,0.0,0.0,63.32,63.32,63.32,0.0,0.0,62.33,62.33,62.33,0.0,0.0,62.41,62.41,62.41,0.0,0.0
2016-01-10,60.95,60.95,60.95,0.0,0.0,61.38,61.38,61.38,0.0,0.0,60.6,60.6,60.6,0.0,0.0,61.36,61.36,61.36,0.0,0.0
2016-01-17,60.74,60.74,60.74,0.0,0.0,62.03,62.03,62.03,0.0,0.0,60.74,60.74,60.74,0.0,0.0,61.77,61.77,61.77,0.0,0.0
2016-01-24,60.51,60.51,60.51,0.0,0.0,61.52,61.52,61.52,0.0,0.0,60.25,60.25,60.25,0.0,0.0,61.44,61.44,61.44,0.0,0.0
2016-01-31,61.14,61.14,61.14,0.0,0.0,61.14,61.14,61.14,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.74,59.74,59.74,0.0,0.0
2016-02-07,56.24,56.24,56.24,0.0,0.0,56.46,56.46,56.46,0.0,0.0,55.68,55.68,55.68,0.0,0.0,56.31,56.31,56.31,0.0,0.0
2016-02-14,58.43,58.43,58.43,0.0,0.0,59.66,59.66,59.66,0.0,0.0,58.43,58.43,58.43,0.0,0.0,59.34,59.34,59.34,0.0,0.0
2016-02-21,60.63,60.63,60.63,0.0,0.0,60.93,60.93,60.93,0.0,0.0,60.59,60.59,60.59,0.0,0.0,60.68,60.68,60.68,0.0,0.0
2016-02-28,62.84,62.84,62.84,0.0,0.0,62.84,62.84,62.84,0.0,0.0,62.33,62.33,62.33,0.0,0.0,62.64,62.64,62.64,0.0,0.0
2016-03-06,63.13,63.13,63.13,0.0,0.0,63.95,63.95,63.95,0.0,0.0,63.1,63.1,63.1,0.0,0.0,63.95,63.95,63.95,0.0,0.0
2016-03-13,66.2,66.2,66.2,0.0,0.0,66.25,66.25,66.25,0.0,0.0,65.55,65.55,65.55,0.0,0.0,65.58,65.58,65.58,0.0,0.0
2016-03-20,63.43,63.43,63.43,0.0,0.0,63.74,63.74,63.74,0.0,0.0,63.16,63.16,63.16,0.0,0.0,63.7,63.7,63.7,0.0,0.0
2016-03-27,65.9,65.9,65.9,0.0,0.0,66.01,66.01,66.01,0.0,0.0,65.52,65.52,65.52,0.0,0.0,65.91,65.91,65.91,0.0,0.0
2016-04-03,65.7,65.7,65.7,0.0,0.0,65.94,65.94,65.94,0.0,0.0,65.59,65.59,65.59,0.0,0.0,65.67,65.67,65.67,0.0,0.0
2016-04-10,64.23,64.23,64.23,0.0,0.0,64.86,64.86,64.86,0.0,0.0,63.97,63.97,63.97,0.0,0.0,64.69,64.69,64.69,0.0,0.0
2016-04-17,62.58,62.58,62.58,0.0,0.0,63.33,63.33,63.33,0.0,0.0,62.58,62.58,62.58,0.0,0.0,63.25,63.25,63.25,0.0,0.0
2016-04-24,62.96,62.96,62.96,0.0,0.0,62.96,62.96,62.96,0.0,0.0,62.0,62.0,62.0,0.0,0.0,62.67,62.67,62.67,0.0,0.0
2016-05-01,65.67,65.67,65.67,0.0,0.0,66.43,66.43,66.43,0.0,0.0,65.27,65.27,65.27,0.0,0.0,66.39,66.39,66.39,0.0,0.0
2016-05-08,66.06,66.06,66.06,0.0,0.0,66.06,66.06,66.06,0.0,0.0,65.53,65.53,65.53,0.0,0.0,65.78,65.78,65.78,0.0,0.0
