Date,SPDR S&P Global Natural ResourcesEtf_Open_average,SPDR S&P Global Natural ResourcesEtf_Open_max,SPDR S&P Global Natural ResourcesEtf_Open_min,SPDR S&P Global Natural ResourcesEtf_Open_volatility,SPDR S&P Global Natural ResourcesEtf_Open_change,SPDR S&P Global Natural ResourcesEtf_High_average,SPDR S&P Global Natural ResourcesEtf_High_max,SPDR S&P Global Natural ResourcesEtf_High_min,SPDR S&P Global Natural ResourcesEtf_High_volatility,SPDR S&P Global Natural ResourcesEtf_High_change,SPDR S&P Global Natural ResourcesEtf_Low_average,SPDR S&P Global Natural ResourcesEtf_Low_max,SPDR S&P Global Natural ResourcesEtf_Low_min,SPDR S&P Global Natural ResourcesEtf_Low_volatility,SPDR S&P Global Natural ResourcesEtf_Low_change,SPDR S&P Global Natural ResourcesEtf_Close_average,SPDR S&P Global Natural ResourcesEtf_Close_max,SPDR S&P Global Natural ResourcesEtf_Close_min,SPDR S&P Global Natural ResourcesEtf_Close_volatility,SPDR S&P Global Natural ResourcesEtf_Close_change
2016-01-03,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2016-01-10,28.46,28.46,28.46,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.08,28.08,28.08,0.0,0.0,28.42,28.42,28.42,0.0,0.0
2016-01-17,29.03,29.03,29.03,0.0,0.0,29.15,29.15,29.15,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2016-01-24,29.37,29.37,29.37,0.0,0.0,30.06,30.06,30.06,0.0,0.0,29.37,29.37,29.37,0.0,0.0,30.03,30.03,30.03,0.0,0.0
2016-01-31,30.73,30.73,30.73,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2016-02-07,29.75,29.75,29.75,0.0,0.0,30.3,30.3,30.3,0.0,0.0,29.64,29.64,29.64,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2016-02-14,31.27,31.27,31.27,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2016-02-21,31.96,31.96,31.96,0.0,0.0,32.06,32.06,32.06,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2016-02-28,34.17,34.17,34.17,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.17,34.17,34.17,0.0,0.0,34.57,34.57,34.57,0.0,0.0
2016-03-06,34.63,34.63,34.63,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.63,34.63,34.63,0.0,0.0,34.87,34.87,34.87,0.0,0.0
2016-03-13,36.24,36.24,36.24,0.0,0.0,36.24,36.24,36.24,0.0,0.0,35.8,35.8,35.8,0.0,0.0,35.92,35.92,35.92,0.0,0.0
2016-03-20,34.13,34.13,34.13,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2016-03-27,34.22,34.22,34.22,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.7,34.7,34.7,0.0,0.0
2016-04-03,34.52,34.52,34.52,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2016-04-10,36.62,36.62,36.62,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.49,36.49,36.49,0.0,0.0
2016-04-17,38.07,38.07,38.07,0.0,0.0,38.29,38.29,38.29,0.0,0.0,37.91,37.91,37.91,0.0,0.0,38.09,38.09,38.09,0.0,0.0
2016-04-24,38.7,38.7,38.7,0.0,0.0,39.01,39.01,39.01,0.0,0.0,38.46,38.46,38.46,0.0,0.0,38.77,38.77,38.77,0.0,0.0
2016-05-01,36.54,36.54,36.54,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.82,36.82,36.82,0.0,0.0
2016-05-08,36.28,36.28,36.28,0.0,0.0,36.41,36.41,36.41,0.0,0.0,35.88,35.88,35.88,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2016-05-15,36.2,36.2,36.2,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.06,36.06,36.06,0.0,0.0,36.2,36.2,36.2,0.0,0.0
2016-05-22,37.0,37.0,37.0,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.73,36.73,36.73,0.0,0.0,36.81,36.81,36.81,0.0,0.0
2016-05-29,36.98,36.98,36.98,0.0,0.0,37.2,37.2,37.2,0.0,0.0,36.84,36.84,36.84,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2016-06-05,37.29,37.29,37.29,0.0,0.0,37.48,37.48,37.48,0.0,0.0,36.94,36.94,36.94,0.0,0.0,37.05,37.05,37.05,0.0,0.0
2016-06-12,36.19,36.19,36.19,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.13,36.13,36.13,0.0,0.0,36.41,36.41,36.41,0.0,0.0
2016-06-19,35.87,35.87,35.87,0.0,0.0,36.45,36.45,36.45,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.7,35.7,35.7,0.0,0.0
2016-06-26,37.2,37.2,37.2,0.0,0.0,37.52,37.52,37.52,0.0,0.0,36.89,36.89,36.89,0.0,0.0,37.47,37.47,37.47,0.0,0.0
2016-07-03,37.16,37.16,37.16,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.16,37.16,37.16,0.0,0.0,37.47,37.47,37.47,0.0,0.0
2016-07-10,39.21,39.21,39.21,0.0,0.0,39.22,39.22,39.22,0.0,0.0,38.98,38.98,38.98,0.0,0.0,39.12,39.12,39.12,0.0,0.0
2016-07-17,38.48,38.48,38.48,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.49,38.49,38.49,0.0,0.0
2016-07-24,38.38,38.38,38.38,0.0,0.0,38.63,38.63,38.63,0.0,0.0,38.17,38.17,38.17,0.0,0.0,38.62,38.62,38.62,0.0,0.0
2016-07-31,38.47,38.47,38.47,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.58,38.58,38.58,0.0,0.0
2016-08-07,39.2,39.2,39.2,0.0,0.0,39.27,39.27,39.27,0.0,0.0,38.9,38.9,38.9,0.0,0.0,38.96,38.96,38.96,0.0,0.0
