Date,iShares US Aerospace & DefenseEtf_Open_average,iShares US Aerospace & DefenseEtf_Open_max,iShares US Aerospace & DefenseEtf_Open_min,iShares US Aerospace & DefenseEtf_Open_volatility,iShares US Aerospace & DefenseEtf_Open_change,iShares US Aerospace & DefenseEtf_High_average,iShares US Aerospace & DefenseEtf_High_max,iShares US Aerospace & DefenseEtf_High_min,iShares US Aerospace & DefenseEtf_High_volatility,iShares US Aerospace & DefenseEtf_High_change,iShares US Aerospace & DefenseEtf_Low_average,iShares US Aerospace & DefenseEtf_Low_max,iShares US Aerospace & DefenseEtf_Low_min,iShares US Aerospace & DefenseEtf_Low_volatility,iShares US Aerospace & DefenseEtf_Low_change,iShares US Aerospace & DefenseEtf_Close_average,iShares US Aerospace & DefenseEtf_Close_max,iShares US Aerospace & DefenseEtf_Close_min,iShares US Aerospace & DefenseEtf_Close_volatility,iShares US Aerospace & DefenseEtf_Close_change
2016-01-03,114.5,114.5,114.5,0.0,0.0,114.89,114.89,114.89,0.0,0.0,112.29,112.29,112.29,0.0,0.0,112.46,112.46,112.46,0.0,0.0
2016-01-10,109.04,109.04,109.04,0.0,0.0,109.38,109.38,109.38,0.0,0.0,107.54,107.54,107.54,0.0,0.0,109.05,109.05,109.05,0.0,0.0
2016-01-17,108.37,108.37,108.37,0.0,0.0,108.83,108.83,108.83,0.0,0.0,107.56,107.56,107.56,0.0,0.0,108.79,108.79,108.79,0.0,0.0
2016-01-24,107.27,107.27,107.27,0.0,0.0,109.42,109.42,109.42,0.0,0.0,107.1,107.1,107.1,0.0,0.0,109.42,109.42,109.42,0.0,0.0
2016-01-31,108.62,108.62,108.62,0.0,0.0,108.62,108.62,108.62,0.0,0.0,107.25,107.25,107.25,0.0,0.0,107.47,107.47,107.47,0.0,0.0
2016-02-07,103.73,103.73,103.73,0.0,0.0,104.25,104.25,104.25,0.0,0.0,102.88,102.88,102.88,0.0,0.0,104.12,104.12,104.12,0.0,0.0
2016-02-14,108.17,108.17,108.17,0.0,0.0,108.79,108.79,108.79,0.0,0.0,107.62,107.62,107.62,0.0,0.0,108.32,108.32,108.32,0.0,0.0
2016-02-21,112.54,112.54,112.54,0.0,0.0,113.04,113.04,113.04,0.0,0.0,112.18,112.18,112.18,0.0,0.0,112.4,112.4,112.4,0.0,0.0
2016-02-28,113.96,113.96,113.96,0.0,0.0,115.38,115.38,115.38,0.0,0.0,113.86,113.86,113.86,0.0,0.0,114.66,114.66,114.66,0.0,0.0
2016-03-06,113.81,113.81,113.81,0.0,0.0,115.0,115.0,115.0,0.0,0.0,113.81,113.81,113.81,0.0,0.0,114.65,114.65,114.65,0.0,0.0
2016-03-13,117.36,117.36,117.36,0.0,0.0,118.6,118.6,118.6,0.0,0.0,117.36,117.36,117.36,0.0,0.0,118.46,118.46,118.46,0.0,0.0
2016-03-20,116.61,116.61,116.61,0.0,0.0,116.91,116.91,116.91,0.0,0.0,115.47,115.47,115.47,0.0,0.0,116.32,116.32,116.32,0.0,0.0
2016-03-27,116.2,116.2,116.2,0.0,0.0,117.37,117.37,117.37,0.0,0.0,115.44,115.44,115.44,0.0,0.0,117.28,117.28,117.28,0.0,0.0
2016-04-03,117.9,117.9,117.9,0.0,0.0,118.48,118.48,118.48,0.0,0.0,117.01,117.01,117.01,0.0,0.0,117.31,117.31,117.31,0.0,0.0
2016-04-10,119.4,119.4,119.4,0.0,0.0,119.66,119.66,119.66,0.0,0.0,119.19,119.19,119.19,0.0,0.0,119.57,119.57,119.57,0.0,0.0
2016-04-17,120.15,120.15,120.15,0.0,0.0,120.96,120.96,120.96,0.0,0.0,120.06,120.06,120.06,0.0,0.0,120.73,120.73,120.73,0.0,0.0
2016-04-24,122.0,122.0,122.0,0.0,0.0,122.33,122.33,122.33,0.0,0.0,121.05,121.05,121.05,0.0,0.0,121.87,121.87,121.87,0.0,0.0
2016-05-01,121.39,121.39,121.39,0.0,0.0,122.4,122.4,122.4,0.0,0.0,121.39,121.39,121.39,0.0,0.0,122.4,122.4,122.4,0.0,0.0
2016-05-08,124.14,124.14,124.14,0.0,0.0,124.26,124.26,124.26,0.0,0.0,122.58,122.58,122.58,0.0,0.0,122.81,122.81,122.81,0.0,0.0
2016-05-15,122.84,122.84,122.84,0.0,0.0,123.44,123.44,123.44,0.0,0.0,122.6,122.6,122.6,0.0,0.0,123.34,123.34,123.34,0.0,0.0
2016-05-22,124.82,124.82,124.82,0.0,0.0,124.85,124.85,124.85,0.0,0.0,124.35,124.35,124.35,0.0,0.0,124.74,124.74,124.74,0.0,0.0
2016-05-29,124.99,124.99,124.99,0.0,0.0,125.27,125.27,125.27,0.0,0.0,124.11,124.11,124.11,0.0,0.0,124.99,124.99,124.99,0.0,0.0
2016-06-05,126.51,126.51,126.51,0.0,0.0,126.9,126.9,126.9,0.0,0.0,125.59,125.59,125.59,0.0,0.0,125.89,125.89,125.89,0.0,0.0
2016-06-12,124.32,124.32,124.32,0.0,0.0,124.55,124.55,124.55,0.0,0.0,123.49,123.49,123.49,0.0,0.0,124.06,124.06,124.06,0.0,0.0
2016-06-19,122.24,122.24,122.24,0.0,0.0,123.67,123.67,123.67,0.0,0.0,121.55,121.55,121.55,0.0,0.0,121.73,121.73,121.73,0.0,0.0
2016-06-26,125.01,125.01,125.01,0.0,0.0,125.77,125.77,125.77,0.0,0.0,124.66,124.66,124.66,0.0,0.0,125.17,125.17,125.17,0.0,0.0
2016-07-03,124.94,124.94,124.94,0.0,0.0,126.54,126.54,126.54,0.0,0.0,124.89,124.89,124.89,0.0,0.0,126.47,126.47,126.47,0.0,0.0
2016-07-10,128.07,128.07,128.07,0.0,0.0,128.34,128.34,128.34,0.0,0.0,127.84,127.84,127.84,0.0,0.0,128.09,128.09,128.09,0.0,0.0
2016-07-17,127.89,127.89,127.89,0.0,0.0,128.39,128.39,128.39,0.0,0.0,127.03,127.03,127.03,0.0,0.0,128.28,128.28,128.28,0.0,0.0
2016-07-24,128.79,128.79,128.79,0.0,0.0,129.73,129.73,129.73,0.0,0.0,128.36,128.36,128.36,0.0,0.0,129.51,129.51,129.51,0.0,0.0
2016-07-31,130.32,130.32,130.32,0.0,0.0,131.3,131.3,131.3,0.0,0.0,130.32,130.32,130.32,0.0,0.0,131.04,131.04,131.04,0.0,0.0
2016-08-07,131.2,131.2,131.2,0.0,0.0,131.43,131.43,131.43,0.0,0.0,130.88,130.88,130.88,0.0,0.0,131.27,131.27,131.27,0.0,0.0
2016-08-14,132.05,132.05,132.05,0.0,0.0,132.37,132.37,132.37,0.0,0.0,131.75,131.75,131.75,0.0,0.0,132.29,132.29,132.29,0.0,0.0
2016-08-21,132.04,132.04,132.04,0.0,0.0,132.27,132.27,132.27,0.0,0.0,130.55,130.55,130.55,0.0,0.0,131.1,131.1,131.1,0.0,0.0
2016-08-28,131.67,131.67,131.67,0.0,0.0,131.96,131.96,131.96,0.0,0.0,131.19,131.19,131.19,0.0,0.0,131.7,131.7,131.7,0.0,0.0
2016-09-04,130.35,130.35,130.35,0.0,0.0,130.88,130.88,130.88,0.0,0.0,127.78,127.78,127.78,0.0,0.0,127.78,127.78,127.78,0.0,0.0
2016-09-11,127.14,127.14,127.14,0.0,0.0,127.14,127.14,127.14,0.0,0.0,125.98,125.98,125.98,0.0,0.0,126.07,126.07,126.07,0.0,0.0
2016-09-18,129.67,129.67,129.67,0.0,0.0,129.84,129.84,129.84,0.0,0.0,129.25,129.25,129.25,0.0,0.0,129.45,129.45,129.45,0.0,0.0
2016-09-25,129.05,129.05,129.05,0.0,0.0,129.61,129.61,129.61,0.0,0.0,128.14,128.14,128.14,0.0,0.0,129.06,129.06,129.06,0.0,0.0
2016-10-02,128.59,128.59,128.59,0.0,0.0,128.59,128.59,128.59,0.0,0.0,126.79,126.79,126.79,0.0,0.0,127.61,127.61,127.61,0.0,0.0
2016-10-09,126.69,126.69,126.69,0.0,0.0,127.23,127.23,127.23,0.0,0.0,126.17,126.17,126.17,0.0,0.0,126.17,126.17,126.17,0.0,0.0
2016-10-16,126.23,126.23,126.23,0.0,0.0,126.75,126.75,126.75,0.0,0.0,125.67,125.67,125.67,0.0,0.0,126.64,126.64,126.64,0.0,0.0
2016-10-23,129.25,129.25,129.25,0.0,0.0,130.47,130.47,130.47,0.0,0.0,129.25,129.25,129.25,0.0,0.0,130.09,130.09,130.09,0.0,0.0
2016-10-30,127.83,127.83,127.83,0.0,0.0,128.9,128.9,128.9,0.0,0.0,127.72,127.72,127.72,0.0,0.0,127.82,127.82,127.82,0.0,0.0
2016-11-06,139.0,139.0,139.0,0.0,0.0,141.17,141.17,141.17,0.0,0.0,138.15,138.15,138.15,0.0,0.0,141.17,141.17,141.17,0.0,0.0
2016-11-13,140.41,140.41,140.41,0.0,0.0,140.42,140.42,140.42,0.0,0.0,139.7,139.7,139.7,0.0,0.0,140.07,140.07,140.07,0.0,0.0
2016-11-20,143.87,143.87,143.87,0.0,0.0,144.13,144.13,144.13,0.0,0.0,143.37,143.37,143.37,0.0,0.0,144.08,144.08,144.08,0.0,0.0
2016-11-27,143.96,143.96,143.96,0.0,0.0,144.35,144.35,144.35,0.0,0.0,143.54,143.54,143.54,0.0,0.0,143.99,143.99,143.99,0.0,0.0
2016-12-04,144.89,144.89,144.89,0.0,0.0,145.29,145.29,145.29,0.0,0.0,144.69,144.69,144.69,0.0,0.0,145.13,145.13,145.13,0.0,0.0
2016-12-11,141.44,141.44,141.44,0.0,0.0,143.27,143.27,143.27,0.0,0.0,141.44,141.44,141.44,0.0,0.0,141.71,141.71,141.71,0.0,0.0
2016-12-18,141.9,141.9,141.9,0.0,0.0,142.43,142.43,142.43,0.0,0.0,141.59,141.59,141.59,0.0,0.0,142.23,142.23,142.23,0.0,0.0
2016-12-25,141.77,141.77,141.77,0.0,0.0,141.79,141.79,141.79,0.0,0.0,140.3,140.3,140.3,0.0,0.0,140.52,140.52,140.52,0.0,0.0
2017-01-01,143.39,143.39,143.39,0.0,0.0,144.07,144.07,144.07,0.0,0.0,142.96,142.96,142.96,0.0,0.0,143.66,143.66,143.66,0.0,0.0
2017-01-08,142.15,142.15,142.15,0.0,0.0,142.76,142.76,142.76,0.0,0.0,141.93,141.93,141.93,0.0,0.0,142.44,142.44,142.44,0.0,0.0
2017-01-15,143.0,143.0,143.0,0.0,0.0,143.12,143.12,143.12,0.0,0.0,141.48,141.48,141.48,0.0,0.0,141.99,141.99,141.99,0.0,0.0
2017-01-22,143.2,143.2,143.2,0.0,0.0,144.52,144.52,144.52,0.0,0.0,142.99,142.99,142.99,0.0,0.0,143.36,143.36,143.36,0.0,0.0
2017-01-29,142.98,142.98,142.98,0.0,0.0,144.61,144.61,144.61,0.0,0.0,142.94,142.94,142.94,0.0,0.0,144.44,144.44,144.44,0.0,0.0
2017-02-05,146.32,146.32,146.32,0.0,0.0,147.7,147.7,147.7,0.0,0.0,146.21,146.21,146.21,0.0,0.0,147.63,147.63,147.63,0.0,0.0
2017-02-12,149.65,149.65,149.65,0.0,0.0,150.35,150.35,150.35,0.0,0.0,149.08,149.08,149.08,0.0,0.0,150.35,150.35,150.35,0.0,0.0
2017-02-19,149.21,149.21,149.21,0.0,0.0,150.52,150.52,150.52,0.0,0.0,148.85,148.85,148.85,0.0,0.0,150.52,150.52,150.52,0.0,0.0
2017-02-26,152.2,152.2,152.2,0.0,0.0,153.19,153.19,153.19,0.0,0.0,151.62,151.62,151.62,0.0,0.0,151.85,151.85,151.85,0.0,0.0
2017-03-05,151.37,151.37,151.37,0.0,0.0,151.37,151.37,151.37,0.0,0.0,149.55,149.55,149.55,0.0,0.0,150.39,150.39,150.39,0.0,0.0
2017-03-12,151.2,151.2,151.2,0.0,0.0,152.96,152.96,152.96,0.0,0.0,151.06,151.06,151.06,0.0,0.0,152.52,152.52,152.52,0.0,0.0
2017-03-19,148.79,148.79,148.79,0.0,0.0,148.89,148.89,148.89,0.0,0.0,146.69,146.69,146.69,0.0,0.0,147.22,147.22,147.22,0.0,0.0
2017-03-26,149.46,149.46,149.46,0.0,0.0,149.46,149.46,149.46,0.0,0.0,148.72,148.72,148.72,0.0,0.0,148.72,148.72,148.72,0.0,0.0
2017-04-02,150.09,150.09,150.09,0.0,0.0,150.23,150.23,150.23,0.0,0.0,148.5,148.5,148.5,0.0,0.0,149.58,149.58,149.58,0.0,0.0
2017-04-09,148.28,148.28,148.28,0.0,0.0,148.86,148.86,148.86,0.0,0.0,147.7,147.7,147.7,0.0,0.0,147.71,147.71,147.71,0.0,0.0
2017-04-16,150.62,150.62,150.62,0.0,0.0,151.78,151.78,151.78,0.0,0.0,150.62,150.62,150.62,0.0,0.0,151.37,151.37,151.37,0.0,0.0
2017-04-23,154.75,154.75,154.75,0.0,0.0,154.99,154.99,154.99,0.0,0.0,153.46,153.46,153.46,0.0,0.0,153.76,153.76,153.76,0.0,0.0
2017-04-30,153.49,153.49,153.49,0.0,0.0,154.46,154.46,154.46,0.0,0.0,153.23,153.23,153.23,0.0,0.0,154.46,154.46,154.46,0.0,0.0
2017-05-07,153.33,153.33,153.33,0.0,0.0,153.43,153.43,153.43,0.0,0.0,152.69,152.69,152.69,0.0,0.0,152.88,152.88,152.88,0.0,0.0
2017-05-14,151.59,151.59,151.59,0.0,0.0,153.62,153.62,153.62,0.0,0.0,151.5,151.5,151.5,0.0,0.0,153.15,153.15,153.15,0.0,0.0
2017-05-21,157.56,157.56,157.56,0.0,0.0,158.0,158.0,158.0,0.0,0.0,157.41,157.41,157.41,0.0,0.0,157.57,157.57,157.57,0.0,0.0
2017-05-28,158.53,158.53,158.53,0.0,0.0,160.62,160.62,160.62,0.0,0.0,158.53,158.53,158.53,0.0,0.0,159.51,159.51,159.51,0.0,0.0
2017-06-04,157.92,157.92,157.92,0.0,0.0,158.76,158.76,158.76,0.0,0.0,157.42,157.42,157.42,0.0,0.0,158.05,158.05,158.05,0.0,0.0
2017-06-11,158.78,158.78,158.78,0.0,0.0,159.16,159.16,159.16,0.0,0.0,158.02,158.02,158.02,0.0,0.0,158.4,158.4,158.4,0.0,0.0
2017-06-18,157.08,157.08,157.08,0.0,0.0,157.97,157.97,157.97,0.0,0.0,156.8,156.8,156.8,0.0,0.0,157.67,157.67,157.67,0.0,0.0
2017-06-25,156.6,156.6,156.6,0.0,0.0,157.96,157.96,157.96,0.0,0.0,156.36,156.36,156.36,0.0,0.0,157.35,157.35,157.35,0.0,0.0
2017-07-02,159.01,159.01,159.01,0.0,0.0,160.84,160.84,160.84,0.0,0.0,159.0,159.0,159.0,0.0,0.0,160.43,160.43,160.43,0.0,0.0
2017-07-09,162.24,162.24,162.24,0.0,0.0,163.32,163.32,163.32,0.0,0.0,162.24,162.24,162.24,0.0,0.0,163.03,163.03,163.03,0.0,0.0
2017-07-16,163.31,163.31,163.31,0.0,0.0,164.1,164.1,164.1,0.0,0.0,162.8,162.8,162.8,0.0,0.0,164.02,164.02,164.02,0.0,0.0
2017-07-23,164.05,164.05,164.05,0.0,0.0,165.72,165.72,165.72,0.0,0.0,164.0,164.0,164.0,0.0,0.0,165.67,165.67,165.67,0.0,0.0
2017-07-30,168.34,168.34,168.34,0.0,0.0,168.65,168.65,168.65,0.0,0.0,166.97,166.97,166.97,0.0,0.0,167.96,167.96,167.96,0.0,0.0
2017-08-06,167.38,167.38,167.38,0.0,0.0,168.29,168.29,168.29,0.0,0.0,166.83,166.83,166.83,0.0,0.0,167.3,167.3,167.3,0.0,0.0
2017-08-13,165.74,165.74,165.74,0.0,0.0,166.2,166.2,166.2,0.0,0.0,164.9,164.9,164.9,0.0,0.0,165.61,165.61,165.61,0.0,0.0
2017-08-20,167.5,167.5,167.5,0.0,0.0,167.95,167.95,167.95,0.0,0.0,166.9,166.9,166.9,0.0,0.0,166.98,166.98,166.98,0.0,0.0
2017-08-27,171.45,171.45,171.45,0.0,0.0,171.5,171.5,171.5,0.0,0.0,170.5,170.5,170.5,0.0,0.0,170.5,170.5,170.5,0.0,0.0
