Date,iShares Global 100_etf_Open_average,iShares Global 100_etf_Open_max,iShares Global 100_etf_Open_min,iShares Global 100_etf_Open_volatility,iShares Global 100_etf_Open_change,iShares Global 100_etf_High_average,iShares Global 100_etf_High_max,iShares Global 100_etf_High_min,iShares Global 100_etf_High_volatility,iShares Global 100_etf_High_change,iShares Global 100_etf_Low_average,iShares Global 100_etf_Low_max,iShares Global 100_etf_Low_min,iShares Global 100_etf_Low_volatility,iShares Global 100_etf_Low_change,iShares Global 100_etf_Close_average,iShares Global 100_etf_Close_max,iShares Global 100_etf_Close_min,iShares Global 100_etf_Close_volatility,iShares Global 100_etf_Close_change
2016-01-03,34.51,34.51,34.51,0.0,0.0,34.56,34.56,34.56,0.0,0.0,33.87,33.87,33.87,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2016-01-10,33.33,33.33,33.33,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.26,33.26,33.26,0.0,0.0
2016-01-17,33.67,33.67,33.67,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2016-01-24,33.9,33.9,33.9,0.0,0.0,34.52,34.52,34.52,0.0,0.0,33.9,33.9,33.9,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2016-01-31,33.85,33.85,33.85,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.45,33.45,33.45,0.0,0.0
2016-02-07,32.83,32.83,32.83,0.0,0.0,33.13,33.13,33.13,0.0,0.0,32.7,32.7,32.7,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2016-02-14,33.72,33.72,33.72,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.83,33.83,33.83,0.0,0.0
2016-02-21,34.12,34.12,34.12,0.0,0.0,34.2,34.2,34.2,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2016-02-28,34.99,34.99,34.99,0.0,0.0,35.21,35.21,35.21,0.0,0.0,34.88,34.88,34.88,0.0,0.0,35.08,35.08,35.08,0.0,0.0
2016-03-06,35.4,35.4,35.4,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.39,35.39,35.39,0.0,0.0,35.62,35.62,35.62,0.0,0.0
2016-03-13,36.01,36.01,36.01,0.0,0.0,36.02,36.02,36.02,0.0,0.0,35.87,35.87,35.87,0.0,0.0,35.94,35.94,35.94,0.0,0.0
