Date,Guggenheim CurrencyShares Canadian Dollar_etf_Open_average,Guggenheim CurrencyShares Canadian Dollar_etf_Open_max,Guggenheim CurrencyShares Canadian Dollar_etf_Open_min,Guggenheim CurrencyShares Canadian Dollar_etf_Open_volatility,Guggenheim CurrencyShares Canadian Dollar_etf_Open_change,Guggenheim CurrencyShares Canadian Dollar_etf_High_average,Guggenheim CurrencyShares Canadian Dollar_etf_High_max,Guggenheim CurrencyShares Canadian Dollar_etf_High_min,Guggenheim CurrencyShares Canadian Dollar_etf_High_volatility,Guggenheim CurrencyShares Canadian Dollar_etf_High_change,Guggenheim CurrencyShares Canadian Dollar_etf_Low_average,Guggenheim CurrencyShares Canadian Dollar_etf_Low_max,Guggenheim CurrencyShares Canadian Dollar_etf_Low_min,Guggenheim CurrencyShares Canadian Dollar_etf_Low_volatility,Guggenheim CurrencyShares Canadian Dollar_etf_Low_change,Guggenheim CurrencyShares Canadian Dollar_etf_Close_average,Guggenheim CurrencyShares Canadian Dollar_etf_Close_max,Guggenheim CurrencyShares Canadian Dollar_etf_Close_min,Guggenheim CurrencyShares Canadian Dollar_etf_Close_volatility,Guggenheim CurrencyShares Canadian Dollar_etf_Close_change
2016-01-03,70.38,70.38,70.38,0.0,0.0,70.38,70.38,70.38,0.0,0.0,70.11,70.11,70.11,0.0,0.0,70.13,70.13,70.13,0.0,0.0
2016-01-10,68.55,68.55,68.55,0.0,0.0,68.78,68.78,68.78,0.0,0.0,68.16,68.16,68.16,0.0,0.0,68.26,68.26,68.26,0.0,0.0
2016-01-17,70.13,70.13,70.13,0.0,0.0,70.26,70.26,70.26,0.0,0.0,70.01,70.01,70.01,0.0,0.0,70.11,70.11,70.11,0.0,0.0
2016-01-24,70.9,70.9,70.9,0.0,0.0,70.99,70.99,70.99,0.0,0.0,70.3,70.3,70.3,0.0,0.0,70.8,70.8,70.8,0.0,0.0
2016-01-31,71.93,71.93,71.93,0.0,0.0,71.94,71.94,71.94,0.0,0.0,71.29,71.29,71.29,0.0,0.0,71.29,71.29,71.29,0.0,0.0
2016-02-07,71.11,71.11,71.11,0.0,0.0,71.74,71.74,71.74,0.0,0.0,71.1,71.1,71.1,0.0,0.0,71.52,71.52,71.52,0.0,0.0
2016-02-14,71.69,71.69,71.69,0.0,0.0,72.02,72.02,72.02,0.0,0.0,71.67,71.67,71.67,0.0,0.0,72.01,72.01,72.01,0.0,0.0
2016-02-21,73.32,73.32,73.32,0.0,0.0,73.4,73.4,73.4,0.0,0.0,73.12,73.12,73.12,0.0,0.0,73.37,73.37,73.37,0.0,0.0
2016-02-28,73.93,73.93,73.93,0.0,0.0,74.45,74.45,74.45,0.0,0.0,73.88,73.88,73.88,0.0,0.0,74.44,74.44,74.44,0.0,0.0
2016-03-06,74.8,74.8,74.8,0.0,0.0,75.26,75.26,75.26,0.0,0.0,74.8,74.8,74.8,0.0,0.0,74.93,74.93,74.93,0.0,0.0
