Date,First Trust Intl Multi-Asset Diversified IncEtf_Open_average,First Trust Intl Multi-Asset Diversified IncEtf_Open_max,First Trust Intl Multi-Asset Diversified IncEtf_Open_min,First Trust Intl Multi-Asset Diversified IncEtf_Open_volatility,First Trust Intl Multi-Asset Diversified IncEtf_Open_change,First Trust Intl Multi-Asset Diversified IncEtf_High_average,First Trust Intl Multi-Asset Diversified IncEtf_High_max,First Trust Intl Multi-Asset Diversified IncEtf_High_min,First Trust Intl Multi-Asset Diversified IncEtf_High_volatility,First Trust Intl Multi-Asset Diversified IncEtf_High_change,First Trust Intl Multi-Asset Diversified IncEtf_Low_average,First Trust Intl Multi-Asset Diversified IncEtf_Low_max,First Trust Intl Multi-Asset Diversified IncEtf_Low_min,First Trust Intl Multi-Asset Diversified IncEtf_Low_volatility,First Trust Intl Multi-Asset Diversified IncEtf_Low_change,First Trust Intl Multi-Asset Diversified IncEtf_Close_average,First Trust Intl Multi-Asset Diversified IncEtf_Close_max,First Trust Intl Multi-Asset Diversified IncEtf_Close_min,First Trust Intl Multi-Asset Diversified IncEtf_Close_volatility,First Trust Intl Multi-Asset Diversified IncEtf_Close_change
2016-01-03,15.51,15.51,15.51,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.33,15.33,15.33,0.0,0.0
2016-01-10,14.65,14.65,14.65,0.0,0.0,14.65,14.65,14.65,0.0,0.0,14.19,14.19,14.19,0.0,0.0,14.44,14.44,14.44,0.0,0.0
2016-01-17,14.6,14.6,14.6,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.53,14.53,14.53,0.0,0.0
2016-01-24,15.23,15.23,15.23,0.0,0.0,15.26,15.26,15.26,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.26,15.26,15.26,0.0,0.0
2016-01-31,15.16,15.16,15.16,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.08,15.08,15.08,0.0,0.0,15.08,15.08,15.08,0.0,0.0
2016-02-07,14.95,14.95,14.95,0.0,0.0,14.96,14.96,14.96,0.0,0.0,14.86,14.86,14.86,0.0,0.0,14.9,14.9,14.9,0.0,0.0
2016-02-14,15.35,15.35,15.35,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.35,15.35,15.35,0.0,0.0
2016-02-21,15.54,15.54,15.54,0.0,0.0,15.54,15.54,15.54,0.0,0.0,15.19,15.19,15.19,0.0,0.0,15.28,15.28,15.28,0.0,0.0
2016-02-28,15.89,15.89,15.89,0.0,0.0,16.11,16.11,16.11,0.0,0.0,15.89,15.89,15.89,0.0,0.0,16.0,16.0,16.0,0.0,0.0
2016-03-06,16.4,16.4,16.4,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.4,16.4,16.4,0.0,0.0
2016-03-13,17.06,17.06,17.06,0.0,0.0,17.06,17.06,17.06,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.66,16.66,16.66,0.0,0.0
2016-03-20,16.34,16.34,16.34,0.0,0.0,16.42,16.42,16.42,0.0,0.0,16.34,16.34,16.34,0.0,0.0,16.39,16.39,16.39,0.0,0.0
