Date,iShares TIPS Bond_etf_Open_average,iShares TIPS Bond_etf_Open_max,iShares TIPS Bond_etf_Open_min,iShares TIPS Bond_etf_Open_volatility,iShares TIPS Bond_etf_Open_change,iShares TIPS Bond_etf_High_average,iShares TIPS Bond_etf_High_max,iShares TIPS Bond_etf_High_min,iShares TIPS Bond_etf_High_volatility,iShares TIPS Bond_etf_High_change,iShares TIPS Bond_etf_Low_average,iShares TIPS Bond_etf_Low_max,iShares TIPS Bond_etf_Low_min,iShares TIPS Bond_etf_Low_volatility,iShares TIPS Bond_etf_Low_change,iShares TIPS Bond_etf_Close_average,iShares TIPS Bond_etf_Close_max,iShares TIPS Bond_etf_Close_min,iShares TIPS Bond_etf_Close_volatility,iShares TIPS Bond_etf_Close_change
2016-01-03,110.13,110.13,110.13,0.0,0.0,110.43,110.43,110.43,0.0,0.0,110.11,110.11,110.11,0.0,0.0,110.39,110.39,110.39,0.0,0.0
2016-01-10,110.52,110.52,110.52,0.0,0.0,110.65,110.65,110.65,0.0,0.0,110.21,110.21,110.21,0.0,0.0,110.24,110.24,110.24,0.0,0.0
2016-01-17,109.77,109.77,109.77,0.0,0.0,110.07,110.07,110.07,0.0,0.0,109.77,109.77,109.77,0.0,0.0,109.95,109.95,109.95,0.0,0.0
2016-01-24,111.41,111.41,111.41,0.0,0.0,111.55,111.55,111.55,0.0,0.0,111.22,111.22,111.22,0.0,0.0,111.4,111.4,111.4,0.0,0.0
2016-01-31,111.48,111.48,111.48,0.0,0.0,111.62,111.62,111.62,0.0,0.0,111.32,111.32,111.32,0.0,0.0,111.39,111.39,111.39,0.0,0.0
2016-02-07,111.84,111.84,111.84,0.0,0.0,112.14,112.14,112.14,0.0,0.0,111.45,111.45,111.45,0.0,0.0,111.6,111.6,111.6,0.0,0.0
2016-02-14,111.33,111.33,111.33,0.0,0.0,111.59,111.59,111.59,0.0,0.0,111.18,111.18,111.18,0.0,0.0,111.35,111.35,111.35,0.0,0.0
2016-02-21,112.23,112.23,112.23,0.0,0.0,112.47,112.47,112.47,0.0,0.0,112.17,112.17,112.17,0.0,0.0,112.38,112.38,112.38,0.0,0.0
2016-02-28,112.86,112.86,112.86,0.0,0.0,112.99,112.99,112.99,0.0,0.0,112.37,112.37,112.37,0.0,0.0,112.57,112.57,112.57,0.0,0.0
2016-03-06,112.19,112.19,112.19,0.0,0.0,112.19,112.19,112.19,0.0,0.0,111.84,111.84,111.84,0.0,0.0,112.05,112.05,112.05,0.0,0.0
2016-03-13,113.65,113.65,113.65,0.0,0.0,113.78,113.78,113.78,0.0,0.0,113.18,113.18,113.18,0.0,0.0,113.52,113.52,113.52,0.0,0.0
2016-03-20,113.27,113.27,113.27,0.0,0.0,113.5,113.5,113.5,0.0,0.0,113.12,113.12,113.12,0.0,0.0,113.12,113.12,113.12,0.0,0.0
2016-03-27,114.79,114.79,114.79,0.0,0.0,114.88,114.88,114.88,0.0,0.0,114.41,114.41,114.41,0.0,0.0,114.73,114.73,114.73,0.0,0.0
2016-04-03,114.99,114.99,114.99,0.0,0.0,114.99,114.99,114.99,0.0,0.0,114.73,114.73,114.73,0.0,0.0,114.86,114.86,114.86,0.0,0.0
2016-04-10,113.94,113.94,113.94,0.0,0.0,114.42,114.42,114.42,0.0,0.0,113.88,113.88,113.88,0.0,0.0,114.33,114.33,114.33,0.0,0.0
2016-04-17,114.0,114.0,114.0,0.0,0.0,114.09,114.09,114.09,0.0,0.0,113.82,113.82,113.82,0.0,0.0,113.82,113.82,113.82,0.0,0.0
2016-04-24,114.72,114.72,114.72,0.0,0.0,115.09,115.09,115.09,0.0,0.0,114.54,114.54,114.54,0.0,0.0,114.88,114.88,114.88,0.0,0.0
2016-05-01,115.02,115.02,115.02,0.0,0.0,115.02,115.02,115.02,0.0,0.0,114.58,114.58,114.58,0.0,0.0,114.65,114.65,114.65,0.0,0.0
2016-05-08,115.06,115.06,115.06,0.0,0.0,115.28,115.28,115.28,0.0,0.0,114.96,114.96,114.96,0.0,0.0,115.25,115.25,115.25,0.0,0.0
2016-05-15,114.2,114.2,114.2,0.0,0.0,114.35,114.35,114.35,0.0,0.0,114.09,114.09,114.09,0.0,0.0,114.09,114.09,114.09,0.0,0.0
2016-05-22,114.51,114.51,114.51,0.0,0.0,114.8,114.8,114.8,0.0,0.0,114.25,114.25,114.25,0.0,0.0,114.31,114.31,114.31,0.0,0.0
2016-05-29,115.2,115.2,115.2,0.0,0.0,115.26,115.26,115.26,0.0,0.0,115.0,115.0,115.0,0.0,0.0,115.06,115.06,115.06,0.0,0.0
2016-06-05,115.85,115.85,115.85,0.0,0.0,116.0,116.0,116.0,0.0,0.0,115.74,115.74,115.74,0.0,0.0,115.81,115.81,115.81,0.0,0.0
2016-06-12,115.72,115.72,115.72,0.0,0.0,115.73,115.73,115.73,0.0,0.0,115.24,115.24,115.24,0.0,0.0,115.39,115.39,115.39,0.0,0.0
2016-06-19,115.77,115.77,115.77,0.0,0.0,116.09,116.09,116.09,0.0,0.0,115.62,115.62,115.62,0.0,0.0,115.78,115.78,115.78,0.0,0.0
2016-06-26,117.0,117.0,117.0,0.0,0.0,117.4,117.4,117.4,0.0,0.0,116.65,116.65,116.65,0.0,0.0,117.06,117.06,117.06,0.0,0.0
2016-07-03,117.4,117.4,117.4,0.0,0.0,117.55,117.55,117.55,0.0,0.0,117.17,117.17,117.17,0.0,0.0,117.55,117.55,117.55,0.0,0.0
2016-07-10,116.33,116.33,116.33,0.0,0.0,116.44,116.44,116.44,0.0,0.0,116.22,116.22,116.22,0.0,0.0,116.41,116.41,116.41,0.0,0.0
2016-07-17,115.97,115.97,115.97,0.0,0.0,116.19,116.19,116.19,0.0,0.0,115.66,115.66,115.66,0.0,0.0,116.08,116.08,116.08,0.0,0.0
2016-07-24,116.95,116.95,116.95,0.0,0.0,117.08,117.08,117.08,0.0,0.0,116.83,116.83,116.83,0.0,0.0,116.9,116.9,116.9,0.0,0.0
2016-07-31,115.86,115.86,115.86,0.0,0.0,115.96,115.96,115.96,0.0,0.0,115.64,115.64,115.64,0.0,0.0,115.71,115.71,115.71,0.0,0.0
2016-08-07,116.28,116.28,116.28,0.0,0.0,116.34,116.34,116.34,0.0,0.0,116.08,116.08,116.08,0.0,0.0,116.09,116.09,116.09,0.0,0.0
2016-08-14,116.0,116.0,116.0,0.0,0.0,116.06,116.06,116.06,0.0,0.0,115.76,115.76,115.76,0.0,0.0,115.99,115.99,115.99,0.0,0.0
2016-08-21,116.48,116.48,116.48,0.0,0.0,116.76,116.76,116.76,0.0,0.0,115.62,115.62,115.62,0.0,0.0,115.7,115.7,115.7,0.0,0.0
2016-08-28,115.68,115.68,115.68,0.0,0.0,115.69,115.69,115.69,0.0,0.0,115.34,115.34,115.34,0.0,0.0,115.59,115.59,115.59,0.0,0.0
2016-09-04,115.34,115.34,115.34,0.0,0.0,115.35,115.35,115.35,0.0,0.0,115.08,115.08,115.08,0.0,0.0,115.08,115.08,115.08,0.0,0.0
2016-09-11,115.1,115.1,115.1,0.0,0.0,115.11,115.11,115.11,0.0,0.0,114.84,114.84,114.84,0.0,0.0,114.95,114.95,114.95,0.0,0.0
2016-09-18,116.06,116.06,116.06,0.0,0.0,116.3,116.3,116.3,0.0,0.0,115.97,115.97,115.97,0.0,0.0,116.22,116.22,116.22,0.0,0.0
2016-09-25,116.51,116.51,116.51,0.0,0.0,116.58,116.58,116.58,0.0,0.0,116.24,116.24,116.24,0.0,0.0,116.49,116.49,116.49,0.0,0.0
2016-10-02,115.78,115.78,115.78,0.0,0.0,115.87,115.87,115.87,0.0,0.0,115.45,115.45,115.45,0.0,0.0,115.65,115.65,115.65,0.0,0.0
2016-10-09,115.4,115.4,115.4,0.0,0.0,115.7,115.7,115.7,0.0,0.0,115.4,115.4,115.4,0.0,0.0,115.43,115.43,115.43,0.0,0.0
2016-10-16,116.21,116.21,116.21,0.0,0.0,116.21,116.21,116.21,0.0,0.0,115.97,115.97,115.97,0.0,0.0,116.13,116.13,116.13,0.0,0.0
2016-10-23,115.55,115.55,115.55,0.0,0.0,115.74,115.74,115.74,0.0,0.0,115.47,115.47,115.47,0.0,0.0,115.64,115.64,115.64,0.0,0.0
2016-10-30,115.71,115.71,115.71,0.0,0.0,115.91,115.91,115.91,0.0,0.0,115.63,115.63,115.63,0.0,0.0,115.89,115.89,115.89,0.0,0.0
2016-11-06,114.73,114.73,114.73,0.0,0.0,114.74,114.74,114.74,0.0,0.0,114.19,114.19,114.19,0.0,0.0,114.25,114.25,114.25,0.0,0.0
2016-11-13,113.65,113.65,113.65,0.0,0.0,113.71,113.71,113.71,0.0,0.0,113.13,113.13,113.13,0.0,0.0,113.32,113.32,113.32,0.0,0.0
2016-11-20,113.43,113.43,113.43,0.0,0.0,113.45,113.45,113.45,0.0,0.0,113.0,113.0,113.0,0.0,0.0,113.12,113.12,113.12,0.0,0.0
2016-11-27,113.18,113.18,113.18,0.0,0.0,113.45,113.45,113.45,0.0,0.0,112.91,112.91,112.91,0.0,0.0,112.95,112.95,112.95,0.0,0.0
2016-12-04,113.3,113.3,113.3,0.0,0.0,113.34,113.34,113.34,0.0,0.0,112.69,112.69,112.69,0.0,0.0,112.8,112.8,112.8,0.0,0.0
2016-12-11,111.28,111.28,111.28,0.0,0.0,111.37,111.37,111.37,0.0,0.0,110.9,110.9,110.9,0.0,0.0,111.09,111.09,111.09,0.0,0.0
2016-12-18,112.34,112.34,112.34,0.0,0.0,112.57,112.57,112.57,0.0,0.0,112.34,112.34,112.34,0.0,0.0,112.42,112.42,112.42,0.0,0.0
2016-12-25,112.76,112.76,112.76,0.0,0.0,113.2,113.2,113.2,0.0,0.0,112.75,112.75,112.75,0.0,0.0,113.17,113.17,113.17,0.0,0.0
2017-01-01,113.58,113.58,113.58,0.0,0.0,113.7,113.7,113.7,0.0,0.0,113.42,113.42,113.42,0.0,0.0,113.45,113.45,113.45,0.0,0.0
2017-01-08,113.99,113.99,113.99,0.0,0.0,114.11,114.11,114.11,0.0,0.0,113.66,113.66,113.66,0.0,0.0,113.98,113.98,113.98,0.0,0.0
2017-01-15,113.72,113.72,113.72,0.0,0.0,113.86,113.86,113.86,0.0,0.0,113.49,113.49,113.49,0.0,0.0,113.71,113.71,113.71,0.0,0.0
2017-01-22,113.95,113.95,113.95,0.0,0.0,114.05,114.05,114.05,0.0,0.0,113.85,113.85,113.85,0.0,0.0,113.97,113.97,113.97,0.0,0.0
2017-01-29,114.17,114.17,114.17,0.0,0.0,114.35,114.35,114.35,0.0,0.0,113.65,113.65,113.65,0.0,0.0,113.83,113.83,113.83,0.0,0.0
2017-02-05,114.16,114.16,114.16,0.0,0.0,114.29,114.29,114.29,0.0,0.0,114.07,114.07,114.07,0.0,0.0,114.2,114.2,114.2,0.0,0.0
