Date,PRKStock_Open_average,PRKStock_Open_max,PRKStock_Open_min,PRKStock_Open_volatility,PRKStock_Open_change,PRKStock_High_average,PRKStock_High_max,PRKStock_High_min,PRKStock_High_volatility,PRKStock_High_change,PRKStock_Low_average,PRKStock_Low_max,PRKStock_Low_min,PRKStock_Low_volatility,PRKStock_Low_change,PRKStock_Close_average,PRKStock_Close_max,PRKStock_Close_min,PRKStock_Close_volatility,PRKStock_Close_change,PRKStock_Volume_average,PRKStock_Volume_max,PRKStock_Volume_min,PRKStock_Volume_volatility,PRKStock_Volume_change
2016-01-03,87.29,89.8,85.45,4.349999999999994,-4.349999999999994,87.544,89.8,85.74,4.060000000000002,-4.060000000000002,86.19200000000001,87.84,83.67,4.170000000000002,-3.4099999999999966,86.492,88.32,83.67,4.6499999999999915,-4.019999999999996,7042,14837,2583,12254,-5224
2016-01-10,84.816,86.49,82.53,3.9599999999999937,-2.6700000000000017,85.59,86.49,83.65,2.839999999999989,-2.239999999999995,83.888,85.43,82.0,3.430000000000007,-2.719999999999999,84.75200000000001,86.0,83.59,2.4099999999999966,-2.25,8874,13118,5709,7409,6330
2016-01-17,83.84,84.58,82.5,2.0799999999999983,-0.519999999999996,84.4925,84.83,84.22,0.6099999999999994,0.25,82.8175,83.59,81.7,1.8900000000000006,0.5799999999999983,83.86,84.83,83.11,1.7199999999999989,1.7199999999999989,7387,9049,5918,3131,500
2016-01-24,83.502,84.74,81.6,3.1400000000000006,0.23999999999999488,85.102,88.11,83.6,4.510000000000005,3.6099999999999994,82.606,84.74,81.4,3.339999999999989,3.239999999999995,84.078,88.11,81.5,6.609999999999999,6.609999999999999,8277,16079,4674,11405,8481
2016-01-31,85.79,87.57,84.54,3.029999999999987,-3.029999999999987,85.88,87.57,84.54,3.029999999999987,-3.029999999999987,84.052,86.11,82.64,3.469999999999999,-3.469999999999999,84.83800000000001,86.76,82.64,4.1200000000000045,-4.1200000000000045,8957,18155,5887,12268,12268
2016-02-07,82.182,83.1,81.0,2.0999999999999943,-0.46999999999999886,83.502,84.21,81.48,2.7299999999999898,0.1799999999999926,81.714,82.5,79.75,2.75,-0.46999999999999886,82.744,84.02,81.2,2.819999999999993,0.4399999999999977,5639,7830,3922,3908,-3590
2016-02-14,84.005,84.92,82.78,2.1400000000000006,-2.1400000000000006,84.5025,85.44,83.68,1.759999999999991,-1.1899999999999977,83.3025,84.58,82.49,2.0900000000000034,-1.7999999999999972,84.015,85.3,82.83,2.469999999999999,-1.1700000000000017,7470,11955,3552,8403,-513
2016-02-21,84.2,85.0,82.5,2.5,-0.010000000000005116,84.928,85.8,83.97,1.8299999999999983,0.46999999999999886,83.394,84.6,81.9,2.6999999999999886,0.14999999999999147,84.446,85.65,83.01,2.6400000000000006,0.8400000000000034,7495,10306,4286,6020,-1900
2016-02-28,86.53399999999999,88.13,85.19,2.9399999999999977,2.6799999999999926,87.432,88.45,85.8,2.6500000000000057,2.6500000000000057,86.228,88.04,84.3,3.740000000000009,3.740000000000009,87.066,88.04,85.19,2.8500000000000085,2.8500000000000085,9377,14641,5652,8989,-8605
2016-03-06,88.742,89.45,87.93,1.519999999999996,1.519999999999996,89.358,90.0,88.7,1.2999999999999972,0.21999999999999886,88.086,88.85,87.78,1.0699999999999932,0.9199999999999875,88.79,90.0,87.79,2.2099999999999937,0.21999999999999886,5786,8642,4592,4050,3220
