Date,FlexShares Morningstar Emerging Markets Factors TiEtf_Open_average,FlexShares Morningstar Emerging Markets Factors TiEtf_Open_max,FlexShares Morningstar Emerging Markets Factors TiEtf_Open_min,FlexShares Morningstar Emerging Markets Factors TiEtf_Open_volatility,FlexShares Morningstar Emerging Markets Factors TiEtf_Open_change,FlexShares Morningstar Emerging Markets Factors TiEtf_High_average,FlexShares Morningstar Emerging Markets Factors TiEtf_High_max,FlexShares Morningstar Emerging Markets Factors TiEtf_High_min,FlexShares Morningstar Emerging Markets Factors TiEtf_High_volatility,FlexShares Morningstar Emerging Markets Factors TiEtf_High_change,FlexShares Morningstar Emerging Markets Factors TiEtf_Low_average,FlexShares Morningstar Emerging Markets Factors TiEtf_Low_max,FlexShares Morningstar Emerging Markets Factors TiEtf_Low_min,FlexShares Morningstar Emerging Markets Factors TiEtf_Low_volatility,FlexShares Morningstar Emerging Markets Factors TiEtf_Low_change,FlexShares Morningstar Emerging Markets Factors TiEtf_Close_average,FlexShares Morningstar Emerging Markets Factors TiEtf_Close_max,FlexShares Morningstar Emerging Markets Factors TiEtf_Close_min,FlexShares Morningstar Emerging Markets Factors TiEtf_Close_volatility,FlexShares Morningstar Emerging Markets Factors TiEtf_Close_change
2016-01-03,38.89,38.89,38.89,0.0,0.0,39.06,39.06,39.06,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.41,38.41,38.41,0.0,0.0
2016-01-10,36.84,36.84,36.84,0.0,0.0,37.11,37.11,37.11,0.0,0.0,36.36,36.36,36.36,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2016-01-17,37.24,37.24,37.24,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.09,37.09,37.09,0.0,0.0,37.47,37.47,37.47,0.0,0.0
2016-01-24,38.21,38.21,38.21,0.0,0.0,38.91,38.91,38.91,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.9,38.9,38.9,0.0,0.0
2016-01-31,38.3,38.3,38.3,0.0,0.0,38.38,38.38,38.38,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2016-02-07,37.16,37.16,37.16,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.05,37.05,37.05,0.0,0.0,37.55,37.55,37.55,0.0,0.0
2016-02-14,38.66,38.66,38.66,0.0,0.0,38.71,38.71,38.71,0.0,0.0,38.46,38.46,38.46,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2016-02-21,38.49,38.49,38.49,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.23,38.23,38.23,0.0,0.0,38.35,38.35,38.35,0.0,0.0
2016-02-28,41.54,41.54,41.54,0.0,0.0,42.0,42.0,42.0,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.58,41.58,41.58,0.0,0.0
2016-03-06,42.15,42.15,42.15,0.0,0.0,42.52,42.52,42.52,0.0,0.0,41.97,41.97,41.97,0.0,0.0,42.44,42.44,42.44,0.0,0.0
2016-03-13,43.53,43.53,43.53,0.0,0.0,43.59,43.59,43.59,0.0,0.0,43.06,43.06,43.06,0.0,0.0,43.06,43.06,43.06,0.0,0.0
2016-03-20,42.23,42.23,42.23,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.21,42.21,42.21,0.0,0.0,42.46,42.46,42.46,0.0,0.0
2016-03-27,43.19,43.19,43.19,0.0,0.0,43.66,43.66,43.66,0.0,0.0,42.8,42.8,42.8,0.0,0.0,43.66,43.66,43.66,0.0,0.0
2016-04-03,42.88,42.88,42.88,0.0,0.0,43.09,43.09,43.09,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.8,42.8,42.8,0.0,0.0
2016-04-10,44.63,44.63,44.63,0.0,0.0,44.63,44.63,44.63,0.0,0.0,44.48,44.48,44.48,0.0,0.0,44.53,44.53,44.53,0.0,0.0
2016-04-17,44.76,44.76,44.76,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.33,44.33,44.33,0.0,0.0,44.69,44.69,44.69,0.0,0.0
2016-04-24,44.2,44.2,44.2,0.0,0.0,44.29,44.29,44.29,0.0,0.0,43.83,43.83,43.83,0.0,0.0,44.07,44.07,44.07,0.0,0.0
2016-05-01,42.58,42.58,42.58,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.4,42.4,42.4,0.0,0.0,42.62,42.62,42.62,0.0,0.0
2016-05-08,42.52,42.52,42.52,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.03,42.03,42.03,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2016-05-15,41.43,41.43,41.43,0.0,0.0,42.18,42.18,42.18,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2016-05-22,42.69,42.69,42.69,0.0,0.0,42.69,42.69,42.69,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.51,42.51,42.51,0.0,0.0
2016-05-29,43.3,43.3,43.3,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.15,43.15,43.15,0.0,0.0,43.46,43.46,43.46,0.0,0.0
