Date,PowerShares S&P SmallCap UtilitiesEtf_Open_average,PowerShares S&P SmallCap UtilitiesEtf_Open_max,PowerShares S&P SmallCap UtilitiesEtf_Open_min,PowerShares S&P SmallCap UtilitiesEtf_Open_volatility,PowerShares S&P SmallCap UtilitiesEtf_Open_change,PowerShares S&P SmallCap UtilitiesEtf_High_average,PowerShares S&P SmallCap UtilitiesEtf_High_max,PowerShares S&P SmallCap UtilitiesEtf_High_min,PowerShares S&P SmallCap UtilitiesEtf_High_volatility,PowerShares S&P SmallCap UtilitiesEtf_High_change,PowerShares S&P SmallCap UtilitiesEtf_Low_average,PowerShares S&P SmallCap UtilitiesEtf_Low_max,PowerShares S&P SmallCap UtilitiesEtf_Low_min,PowerShares S&P SmallCap UtilitiesEtf_Low_volatility,PowerShares S&P SmallCap UtilitiesEtf_Low_change,PowerShares S&P SmallCap UtilitiesEtf_Close_average,PowerShares S&P SmallCap UtilitiesEtf_Close_max,PowerShares S&P SmallCap UtilitiesEtf_Close_min,PowerShares S&P SmallCap UtilitiesEtf_Close_volatility,PowerShares S&P SmallCap UtilitiesEtf_Close_change
2016-01-03,40.78,40.78,40.78,0.0,0.0,40.78,40.78,40.78,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.48,40.48,40.48,0.0,0.0
2016-01-10,40.27,40.27,40.27,0.0,0.0,47.1,47.1,47.1,0.0,0.0,39.75,39.75,39.75,0.0,0.0,40.1,40.1,40.1,0.0,0.0
2016-01-17,39.95,39.95,39.95,0.0,0.0,40.65,40.65,40.65,0.0,0.0,39.95,39.95,39.95,0.0,0.0,40.65,40.65,40.65,0.0,0.0
2016-01-24,42.06,42.06,42.06,0.0,0.0,42.44,42.44,42.44,0.0,0.0,41.86,41.86,41.86,0.0,0.0,42.44,42.44,42.44,0.0,0.0
2016-01-31,42.72,42.72,42.72,0.0,0.0,42.72,42.72,42.72,0.0,0.0,42.27,42.27,42.27,0.0,0.0,42.29,42.29,42.29,0.0,0.0
2016-02-07,42.33,42.33,42.33,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.17,42.17,42.17,0.0,0.0,42.33,42.33,42.33,0.0,0.0
2016-02-14,42.89,42.89,42.89,0.0,0.0,42.9,42.9,42.9,0.0,0.0,42.62,42.62,42.62,0.0,0.0,42.76,42.76,42.76,0.0,0.0
2016-02-21,42.79,42.79,42.79,0.0,0.0,42.79,42.79,42.79,0.0,0.0,42.79,42.79,42.79,0.0,0.0,42.79,42.79,42.79,0.0,0.0
2016-02-28,43.56,43.56,43.56,0.0,0.0,43.56,43.56,43.56,0.0,0.0,42.77,42.77,42.77,0.0,0.0,43.51,43.51,43.51,0.0,0.0
2016-03-06,43.83,43.83,43.83,0.0,0.0,43.83,43.83,43.83,0.0,0.0,43.54,43.54,43.54,0.0,0.0,43.66,43.66,43.66,0.0,0.0
2016-03-13,45.96,45.96,45.96,0.0,0.0,45.96,45.96,45.96,0.0,0.0,43.76,43.76,43.76,0.0,0.0,43.84,43.84,43.84,0.0,0.0
2016-03-20,43.99,43.99,43.99,0.0,0.0,43.99,43.99,43.99,0.0,0.0,43.51,43.51,43.51,0.0,0.0,43.89,43.89,43.89,0.0,0.0
2016-03-27,44.96,44.96,44.96,0.0,0.0,45.38,45.38,45.38,0.0,0.0,44.69,44.69,44.69,0.0,0.0,45.31,45.31,45.31,0.0,0.0
2016-04-03,44.32,44.32,44.32,0.0,0.0,44.32,44.32,44.32,0.0,0.0,44.15,44.15,44.15,0.0,0.0,44.15,44.15,44.15,0.0,0.0
2016-04-10,44.13,44.13,44.13,0.0,0.0,44.54,44.54,44.54,0.0,0.0,44.13,44.13,44.13,0.0,0.0,44.52,44.52,44.52,0.0,0.0
2016-04-17,43.59,43.59,43.59,0.0,0.0,43.97,43.97,43.97,0.0,0.0,43.59,43.59,43.59,0.0,0.0,43.93,43.93,43.93,0.0,0.0
2016-04-24,43.88,43.88,43.88,0.0,0.0,44.24,44.24,44.24,0.0,0.0,43.71,43.71,43.71,0.0,0.0,44.21,44.21,44.21,0.0,0.0
2016-05-01,44.53,44.53,44.53,0.0,0.0,45.0,45.0,45.0,0.0,0.0,44.44,44.44,44.44,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2016-05-08,45.34,45.34,45.34,0.0,0.0,45.44,45.44,45.44,0.0,0.0,45.24,45.24,45.24,0.0,0.0,45.36,45.36,45.36,0.0,0.0
2016-05-15,44.18,44.18,44.18,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.46,44.46,44.46,0.0,0.0
2016-05-22,45.1,45.1,45.1,0.0,0.0,45.28,45.28,45.28,0.0,0.0,45.02,45.02,45.02,0.0,0.0,45.28,45.28,45.28,0.0,0.0
2016-05-29,46.01,46.01,46.01,0.0,0.0,46.26,46.26,46.26,0.0,0.0,46.01,46.01,46.01,0.0,0.0,46.09,46.09,46.09,0.0,0.0
2016-06-05,46.82,46.82,46.82,0.0,0.0,47.16,47.16,47.16,0.0,0.0,46.82,46.82,46.82,0.0,0.0,47.08,47.08,47.08,0.0,0.0
