Date,SPDR S&P Metals & Mining_etf_Open_average,SPDR S&P Metals & Mining_etf_Open_max,SPDR S&P Metals & Mining_etf_Open_min,SPDR S&P Metals & Mining_etf_Open_volatility,SPDR S&P Metals & Mining_etf_Open_change,SPDR S&P Metals & Mining_etf_High_average,SPDR S&P Metals & Mining_etf_High_max,SPDR S&P Metals & Mining_etf_High_min,SPDR S&P Metals & Mining_etf_High_volatility,SPDR S&P Metals & Mining_etf_High_change,SPDR S&P Metals & Mining_etf_Low_average,SPDR S&P Metals & Mining_etf_Low_max,SPDR S&P Metals & Mining_etf_Low_min,SPDR S&P Metals & Mining_etf_Low_volatility,SPDR S&P Metals & Mining_etf_Low_change,SPDR S&P Metals & Mining_etf_Close_average,SPDR S&P Metals & Mining_etf_Close_max,SPDR S&P Metals & Mining_etf_Close_min,SPDR S&P Metals & Mining_etf_Close_volatility,SPDR S&P Metals & Mining_etf_Close_change
2016-01-03,14.36,14.36,14.36,0.0,0.0,14.36,14.36,14.36,0.0,0.0,13.81,13.81,13.81,0.0,0.0,13.84,13.84,13.84,0.0,0.0
2016-01-10,12.28,12.28,12.28,0.0,0.0,12.28,12.28,12.28,0.0,0.0,11.98,11.98,11.98,0.0,0.0,12.22,12.22,12.22,0.0,0.0
2016-01-17,12.7,12.7,12.7,0.0,0.0,12.78,12.78,12.78,0.0,0.0,12.17,12.17,12.17,0.0,0.0,12.33,12.33,12.33,0.0,0.0
2016-01-24,12.99,12.99,12.99,0.0,0.0,13.91,13.91,13.91,0.0,0.0,12.96,12.96,12.96,0.0,0.0,13.91,13.91,13.91,0.0,0.0
2016-01-31,14.88,14.88,14.88,0.0,0.0,15.25,15.25,15.25,0.0,0.0,14.68,14.68,14.68,0.0,0.0,15.01,15.01,15.01,0.0,0.0
2016-02-07,14.61,14.61,14.61,0.0,0.0,15.26,15.26,15.26,0.0,0.0,14.42,14.42,14.42,0.0,0.0,15.25,15.25,15.25,0.0,0.0
2016-02-14,15.76,15.76,15.76,0.0,0.0,15.88,15.88,15.88,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.49,15.49,15.49,0.0,0.0
2016-02-21,16.06,16.06,16.06,0.0,0.0,16.32,16.32,16.32,0.0,0.0,15.9,15.9,15.9,0.0,0.0,16.0,16.0,16.0,0.0,0.0
2016-02-28,18.92,18.92,18.92,0.0,0.0,19.87,19.87,19.87,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.96,18.96,18.96,0.0,0.0
2016-03-06,19.62,19.62,19.62,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.52,19.52,19.52,0.0,0.0
2016-03-13,20.9,20.9,20.9,0.0,0.0,21.48,21.48,21.48,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.91,20.91,20.91,0.0,0.0
2016-03-20,19.34,19.34,19.34,0.0,0.0,20.15,20.15,20.15,0.0,0.0,19.22,19.22,19.22,0.0,0.0,20.13,20.13,20.13,0.0,0.0
2016-03-27,20.02,20.02,20.02,0.0,0.0,20.59,20.59,20.59,0.0,0.0,19.74,19.74,19.74,0.0,0.0,20.58,20.58,20.58,0.0,0.0
2016-04-03,20.13,20.13,20.13,0.0,0.0,20.63,20.63,20.63,0.0,0.0,20.03,20.03,20.03,0.0,0.0,20.57,20.57,20.57,0.0,0.0
2016-04-10,21.9,21.9,21.9,0.0,0.0,22.66,22.66,22.66,0.0,0.0,21.8,21.8,21.8,0.0,0.0,22.46,22.46,22.46,0.0,0.0
2016-04-17,23.28,23.28,23.28,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.17,23.17,23.17,0.0,0.0
2016-04-24,24.56,24.56,24.56,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.22,24.22,24.22,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2016-05-01,22.45,22.45,22.45,0.0,0.0,23.14,23.14,23.14,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.76,22.76,22.76,0.0,0.0
