Date,ASTC_stock_Open_average,ASTC_stock_Open_max,ASTC_stock_Open_min,ASTC_stock_Open_volatility,ASTC_stock_Open_change,ASTC_stock_High_average,ASTC_stock_High_max,ASTC_stock_High_min,ASTC_stock_High_volatility,ASTC_stock_High_change,ASTC_stock_Low_average,ASTC_stock_Low_max,ASTC_stock_Low_min,ASTC_stock_Low_volatility,ASTC_stock_Low_change,ASTC_stock_Close_average,ASTC_stock_Close_max,ASTC_stock_Close_min,ASTC_stock_Close_volatility,ASTC_stock_Close_change,ASTC_stock_Volume_average,ASTC_stock_Volume_max,ASTC_stock_Volume_min,ASTC_stock_Volume_volatility,ASTC_stock_Volume_change
2016-01-03,7.28,8.25,6.9,1.3499999999999996,0.9500000000000002,7.8498,9.2,7.15,2.049999999999999,1.8999999999999995,6.930000000000001,7.0,6.9,0.09999999999999964,-0.09999999999999964,7.25,7.8,6.9,0.8999999999999995,0.14999999999999947,20986,59758,1752,58006,50428
2016-01-10,6.86,7.2,6.4,0.7999999999999998,-0.7999999999999998,7.0488,7.349,6.4,0.9489999999999998,-0.9489999999999998,6.3578,6.8,5.601,1.1989999999999998,-1.1989999999999998,6.5434,6.91,5.907,1.0030000000000001,-1.0030000000000001,11377,17846,4665,13181,4111
2016-01-17,6.1375,6.4,6.0,0.40000000000000036,0.15000000000000036,6.4247499999999995,6.45,6.35,0.10000000000000053,-0.10000000000000053,5.8767499999999995,6.1,5.657,0.4429999999999996,0.4429999999999996,6.25,6.45,6.0,0.4500000000000002,-0.15000000000000036,6597,8474,4641,3833,-3833
2016-01-24,6.19,6.5,5.6,0.9000000000000004,0.25,6.5200000000000005,6.75,6.25,0.5,0.20000000000000018,5.77,6.05,5.6,0.4500000000000002,0.39999999999999947,6.0,6.25,5.65,0.5999999999999996,0.5999999999999996,9057,16778,3616,13162,-3375
2016-01-31,6.1502,6.45,5.85,0.6000000000000005,-0.25,6.29,6.45,6.0,0.4500000000000002,-0.4500000000000002,5.7654,6.0,5.56,0.4400000000000004,-0.25100000000000033,6.02,6.2,5.75,0.4500000000000002,-0.2999999999999998,3983,8644,1178,7466,385
2016-02-07,5.7,6.1,5.35,0.75,0.0,5.8998,6.2,5.75,0.4500000000000002,-0.04999999999999982,5.4,5.65,5.25,0.40000000000000036,0.09999999999999964,5.648,5.79,5.5,0.29000000000000004,0.10000000000000053,9037,17750,2754,14996,-6035
2016-02-14,6.05,6.5,5.7,0.7999999999999998,0.5499999999999998,6.51225,6.699,6.45,0.24899999999999967,0.0,5.6875,6.05,5.5,0.5499999999999998,0.5499999999999998,6.1530000000000005,6.4,5.8,0.6000000000000005,-0.35000000000000053,14888,33431,4131,29300,-13043
2016-02-21,6.88,7.25,6.4,0.8499999999999996,0.09999999999999964,7.2392,7.495,6.85,0.6450000000000005,-0.6450000000000005,6.553,7.0,6.35,0.6500000000000004,-0.015000000000000568,6.86,7.05,6.6,0.4500000000000002,-0.40000000000000036,7377,8924,4107,4817,10
2016-02-28,7.1,7.45,6.7,0.75,0.39999999999999947,7.34,7.5,6.75,0.75,0.75,6.9004,7.1,6.65,0.4499999999999993,0.4499999999999993,7.069,7.35,6.65,0.6999999999999993,0.5,7790,12578,2386,10192,7392
2016-03-06,9.06,11.6,7.0,4.6,4.6,11.02,15.75,7.4,8.35,4.8,8.755,11.15,6.725,4.425000000000001,4.075000000000001,9.85,11.9,7.2,4.7,4.05,480326,2165724,4044,2161680,64800
2016-03-13,9.78,11.3,9.0,2.3000000000000007,-2.3000000000000007,10.03,11.4,9.4,2.0,-2.0,8.879999999999999,9.0,8.7,0.3000000000000007,0.3000000000000007,9.3896,9.75,9.05,0.6999999999999993,-0.34999999999999964,30704,62996,11257,51739,-51739
