Date,ProShares S&P 500 ex EnergyEtf_Open_average,ProShares S&P 500 ex EnergyEtf_Open_max,ProShares S&P 500 ex EnergyEtf_Open_min,ProShares S&P 500 ex EnergyEtf_Open_volatility,ProShares S&P 500 ex EnergyEtf_Open_change,ProShares S&P 500 ex EnergyEtf_High_average,ProShares S&P 500 ex EnergyEtf_High_max,ProShares S&P 500 ex EnergyEtf_High_min,ProShares S&P 500 ex EnergyEtf_High_volatility,ProShares S&P 500 ex EnergyEtf_High_change,ProShares S&P 500 ex EnergyEtf_Low_average,ProShares S&P 500 ex EnergyEtf_Low_max,ProShares S&P 500 ex EnergyEtf_Low_min,ProShares S&P 500 ex EnergyEtf_Low_volatility,ProShares S&P 500 ex EnergyEtf_Low_change,ProShares S&P 500 ex EnergyEtf_Close_average,ProShares S&P 500 ex EnergyEtf_Close_max,ProShares S&P 500 ex EnergyEtf_Close_min,ProShares S&P 500 ex EnergyEtf_Close_volatility,ProShares S&P 500 ex EnergyEtf_Close_change
2016-01-03,40.37,40.37,40.37,0.0,0.0,40.47,40.47,40.47,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.8,39.8,39.8,0.0,0.0
2016-01-10,39.02,39.02,39.02,0.0,0.0,39.02,39.02,39.02,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.95,38.95,38.95,0.0,0.0
2016-01-17,39.4,39.4,39.4,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.49,39.49,39.49,0.0,0.0
2016-01-24,39.59,39.59,39.59,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.59,39.59,39.59,0.0,0.0
2016-01-31,39.47,39.47,39.47,0.0,0.0,39.47,39.47,39.47,0.0,0.0,38.83,38.83,38.83,0.0,0.0,38.83,38.83,38.83,0.0,0.0
2016-02-07,38.22,38.22,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0
2016-02-14,39.8,39.8,39.8,0.0,0.0,39.83,39.83,39.83,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2016-02-21,40.22,40.22,40.22,0.0,0.0,40.54,40.54,40.54,0.0,0.0,40.22,40.22,40.22,0.0,0.0,40.54,40.54,40.54,0.0,0.0
2016-02-28,41.46,41.46,41.46,0.0,0.0,41.46,41.46,41.46,0.0,0.0,41.42,41.42,41.42,0.0,0.0,41.42,41.42,41.42,0.0,0.0
2016-03-06,41.73,41.73,41.73,0.0,0.0,41.98,41.98,41.98,0.0,0.0,41.73,41.73,41.73,0.0,0.0,41.84,41.84,41.84,0.0,0.0
