Date,GFI_stock_Open_average,GFI_stock_Open_max,GFI_stock_Open_min,GFI_stock_Open_volatility,GFI_stock_Open_change,GFI_stock_High_average,GFI_stock_High_max,GFI_stock_High_min,GFI_stock_High_volatility,GFI_stock_High_change,GFI_stock_Low_average,GFI_stock_Low_max,GFI_stock_Low_min,GFI_stock_Low_volatility,GFI_stock_Low_change,GFI_stock_Close_average,GFI_stock_Close_max,GFI_stock_Close_min,GFI_stock_Close_volatility,GFI_stock_Close_change,GFI_stock_Volume_average,GFI_stock_Volume_max,GFI_stock_Volume_min,GFI_stock_Volume_volatility,GFI_stock_Volume_change
2016-01-03,2.936,3.13,2.73,0.3999999999999999,0.29000000000000004,3.074,3.23,2.97,0.2599999999999998,0.14000000000000012,2.894,3.03,2.72,0.3099999999999996,0.2599999999999998,2.996,3.12,2.86,0.26000000000000023,0.20000000000000018,5077205,6607507,3269995,3337512,-1147884
2016-01-10,3.14,3.23,3.07,0.16000000000000014,0.020000000000000018,3.188,3.27,3.09,0.18000000000000016,-0.040000000000000036,3.016,3.12,2.89,0.22999999999999998,-0.11000000000000032,3.116,3.17,3.0,0.16999999999999993,-0.020000000000000018,5138398,5610540,4676308,934232,-712148
2016-01-17,3.0525,3.15,2.97,0.17999999999999972,-0.17999999999999972,3.1025,3.18,3.0,0.18000000000000016,-0.1499999999999999,2.89,2.95,2.83,0.1200000000000001,-0.06999999999999984,3.0075,3.13,2.9,0.22999999999999998,-0.03000000000000025,6014965,7001856,5057526,1944330,1698654
2016-01-24,3.322,3.47,3.07,0.40000000000000036,0.18999999999999995,3.43,3.56,3.23,0.33000000000000007,0.16999999999999993,3.266,3.44,3.04,0.3999999999999999,0.1499999999999999,3.38,3.53,3.23,0.2999999999999998,0.16999999999999993,6289230,7727152,4211009,3516143,1948850
2016-01-31,3.626,3.98,3.42,0.56,0.3599999999999999,3.876,4.17,3.63,0.54,0.5299999999999998,3.562,3.84,3.4,0.43999999999999995,0.2799999999999998,3.792,4.17,3.51,0.6600000000000001,0.5899999999999999,7672066,11238757,5499739,5739018,369153
2016-02-07,4.246,4.48,4.0,0.4800000000000004,0.07999999999999918,4.358,4.6,4.07,0.5299999999999994,0.27999999999999936,4.054,4.22,3.74,0.47999999999999954,0.08999999999999986,4.248,4.56,3.98,0.5799999999999996,0.40999999999999925,8168193,10037079,7001568,3035511,1560213
2016-02-14,3.9375,4.22,3.47,0.7499999999999996,-0.2899999999999996,4.21,4.4,4.08,0.3200000000000003,-0.29000000000000004,3.8649999999999998,4.1,3.44,0.6599999999999997,-0.08000000000000007,4.0975,4.24,3.97,0.27,-0.16999999999999948,8071683,10871622,5380704,5490918,-5234288
2016-02-21,3.9979999999999998,4.14,3.74,0.39999999999999947,0.3899999999999997,4.23,4.35,4.11,0.23999999999999932,0.14999999999999947,3.9499999999999997,4.1,3.73,0.36999999999999966,0.2799999999999998,4.104,4.24,4.04,0.20000000000000018,-0.009999999999999787,7436816,8864994,4497015,4367979,-1322101
2016-02-28,4.082,4.2,3.91,0.29000000000000004,0.03000000000000025,4.272,4.43,4.13,0.2999999999999998,0.13999999999999968,3.954,4.06,3.84,0.21999999999999975,0.02999999999999936,4.114,4.27,3.91,0.35999999999999943,-0.16999999999999993,7670947,9327161,5994495,3332666,3332666
2016-03-06,4.124,4.33,3.96,0.3700000000000001,0.020000000000000462,4.27,4.38,4.14,0.2400000000000002,-0.1299999999999999,4.022,4.14,3.86,0.2799999999999998,-0.10999999999999943,4.1419999999999995,4.3,4.06,0.2400000000000002,-0.21999999999999975,6925515,8042433,6300780,1741653,-424525
