Date,ProShares Ultra MSCI EAFEEtf_Open_average,ProShares Ultra MSCI EAFEEtf_Open_max,ProShares Ultra MSCI EAFEEtf_Open_min,ProShares Ultra MSCI EAFEEtf_Open_volatility,ProShares Ultra MSCI EAFEEtf_Open_change,ProShares Ultra MSCI EAFEEtf_High_average,ProShares Ultra MSCI EAFEEtf_High_max,ProShares Ultra MSCI EAFEEtf_High_min,ProShares Ultra MSCI EAFEEtf_High_volatility,ProShares Ultra MSCI EAFEEtf_High_change,ProShares Ultra MSCI EAFEEtf_Low_average,ProShares Ultra MSCI EAFEEtf_Low_max,ProShares Ultra MSCI EAFEEtf_Low_min,ProShares Ultra MSCI EAFEEtf_Low_volatility,ProShares Ultra MSCI EAFEEtf_Low_change,ProShares Ultra MSCI EAFEEtf_Close_average,ProShares Ultra MSCI EAFEEtf_Close_max,ProShares Ultra MSCI EAFEEtf_Close_min,ProShares Ultra MSCI EAFEEtf_Close_volatility,ProShares Ultra MSCI EAFEEtf_Close_change
2016-01-03,26.44,26.44,26.44,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2016-01-10,25.0,25.0,25.0,0.0,0.0,25.05,25.05,25.05,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0
2016-01-17,23.97,23.97,23.97,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.97,23.97,23.97,0.0,0.0,23.97,23.97,23.97,0.0,0.0
2016-01-24,26.18,26.18,26.18,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.02,26.02,26.02,0.0,0.0,26.31,26.31,26.31,0.0,0.0
2016-01-31,25.35,25.35,25.35,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.57,25.57,25.57,0.0,0.0
2016-02-07,22.67,22.67,22.67,0.0,0.0,22.67,22.67,22.67,0.0,0.0,22.57,22.57,22.57,0.0,0.0,22.57,22.57,22.57,0.0,0.0
2016-02-14,24.7,24.7,24.7,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.61,24.61,24.61,0.0,0.0
2016-02-21,24.98,24.98,24.98,0.0,0.0,25.13,25.13,25.13,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.68,24.68,24.68,0.0,0.0
2016-02-28,27.69,27.69,27.69,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2016-03-06,27.86,27.86,27.86,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.86,27.86,27.86,0.0,0.0
2016-03-13,28.39,28.39,28.39,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.39,28.39,28.39,0.0,0.0
