Date,NUSStock_Open_average,NUSStock_Open_max,NUSStock_Open_min,NUSStock_Open_volatility,NUSStock_Open_change,NUSStock_High_average,NUSStock_High_max,NUSStock_High_min,NUSStock_High_volatility,NUSStock_High_change,NUSStock_Low_average,NUSStock_Low_max,NUSStock_Low_min,NUSStock_Low_volatility,NUSStock_Low_change,NUSStock_Close_average,NUSStock_Close_max,NUSStock_Close_min,NUSStock_Close_volatility,NUSStock_Close_change,NUSStock_Volume_average,NUSStock_Volume_max,NUSStock_Volume_min,NUSStock_Volume_volatility,NUSStock_Volume_change
2016-01-03,36.066,37.61,34.14,3.469999999999999,-3.3500000000000014,36.634,38.12,35.19,2.9299999999999997,-2.9299999999999997,35.116,37.03,33.07,3.960000000000001,-3.960000000000001,35.47,37.78,33.21,4.57,-4.57,1297091,1920657,866038,1054619,-330882
2016-01-10,32.838,33.26,31.86,1.3999999999999986,-1.3999999999999986,33.24,33.75,32.08,1.6700000000000017,-1.4100000000000037,31.86,32.39,30.54,1.8500000000000014,-1.3100000000000023,32.504,33.14,31.84,1.3000000000000007,-0.4599999999999973,1090101,1459654,888146,571508,347681
2016-01-17,31.005000000000003,32.03,30.3,1.7300000000000004,-1.5300000000000011,31.9375,32.48,31.37,1.1099999999999959,-0.00999999999999801,30.035,30.5,29.52,0.9800000000000004,0.5599999999999987,30.9625,31.78,30.27,1.5100000000000016,1.1300000000000026,1273936,1373816,1130989,242827,124266
2016-01-24,31.054,31.57,30.7,0.870000000000001,-0.870000000000001,31.646,31.99,31.27,0.7199999999999989,-0.2099999999999973,30.552,30.99,29.86,1.129999999999999,-0.03999999999999915,30.942,31.65,30.26,1.389999999999997,0.7799999999999976,893322,1100772,654185,446587,216939
2016-01-31,31.99,33.39,31.52,1.870000000000001,1.6900000000000013,32.942,34.25,31.89,2.3599999999999994,1.8100000000000023,31.618000000000002,33.27,30.76,2.5100000000000016,1.9300000000000033,32.488,33.72,31.31,2.41,1.8099999999999987,926135,1243169,643148,600021,460214
2016-02-07,31.294,33.29,24.79,8.5,-8.5,32.628,33.64,29.94,3.6999999999999993,-3.609999999999996,30.146,32.52,23.51,9.010000000000002,-8.489999999999998,31.916,33.45,29.14,4.310000000000002,-4.310000000000002,2980228,9942395,779912,9162483,8798149
2016-02-14,29.045,29.62,28.4,1.2200000000000024,-1.2200000000000024,29.4375,29.84,28.75,1.0899999999999999,-1.0500000000000007,27.927500000000002,28.5,27.63,0.870000000000001,0.3100000000000023,28.77,29.36,28.13,1.2300000000000004,-0.8500000000000014,1608410,1795212,1294611,500601,-500601
2016-02-21,29.074,30.44,28.42,2.0199999999999996,2.0199999999999996,30.102,31.71,28.91,2.8000000000000007,2.8000000000000007,28.81,30.38,27.73,2.6499999999999986,2.1099999999999994,29.644000000000002,30.86,28.71,2.1499999999999986,2.1499999999999986,1419111,2024260,1036601,987659,282226
2016-02-28,31.082,32.13,30.5,1.6300000000000026,1.2700000000000031,32.378,34.9,31.16,3.7399999999999984,3.7399999999999984,30.52,32.13,30.06,2.070000000000004,2.0600000000000023,31.508,32.83,30.49,2.34,2.34,1455748,2621714,946741,1674973,1674973
2016-03-06,33.833999999999996,34.8,32.74,2.059999999999995,2.059999999999995,34.754,36.19,34.16,2.030000000000001,1.5300000000000011,33.408,34.66,32.7,1.9599999999999937,1.9599999999999937,34.168,35.23,33.48,1.75,0.8200000000000003,1101959,1828160,707365,1120795,652138
2016-03-13,36.512,37.0,35.54,1.4600000000000009,1.4600000000000009,37.438,38.0,37.14,0.8599999999999994,-0.8599999999999994,36.134,36.66,35.54,1.1199999999999974,0.980000000000004,36.706,37.0,36.29,0.7100000000000009,0.46000000000000085,2378500,6000430,1195467,4804963,4188253
2016-03-20,37.245000000000005,37.64,36.75,0.8900000000000006,0.490000000000002,37.92,38.12,37.47,0.6499999999999986,-0.6200000000000045,36.7875,37.36,36.1,1.259999999999998,-0.46999999999999886,37.4025,37.76,36.82,0.9399999999999977,-0.740000000000002,1011171,1721437,637523,1083914,-1083914
2016-03-27,37.818,38.5,37.04,1.4600000000000009,0.9600000000000009,38.48,39.1,37.49,1.6099999999999994,1.6099999999999994,37.394,38.13,36.63,1.5,1.019999999999996,38.242,38.89,37.39,1.5,1.5,767508,1088324,434815,653509,653509
2016-04-03,37.924,38.7,37.13,1.5700000000000003,-0.20000000000000284,38.466,38.93,37.95,0.9799999999999969,0.0899999999999963,37.288,37.91,36.78,1.1299999999999955,1.1299999999999955,37.876,38.46,37.01,1.4500000000000028,1.3000000000000043,801182,1388192,379764,1008428,-865761
2016-04-10,39.244,39.77,38.65,1.1200000000000045,1.0700000000000003,40.406,42.47,39.35,3.1199999999999974,1.1299999999999955,38.982,39.74,38.5,1.240000000000002,1.240000000000002,39.492,40.18,38.73,1.4500000000000028,1.4500000000000028,880645,1585867,498099,1087768,-105465
2016-04-17,39.882,40.56,38.45,2.1099999999999994,-1.7099999999999937,40.16,40.73,39.26,1.4699999999999989,-0.9699999999999989,39.158,40.11,38.01,2.1000000000000014,-1.5700000000000003,39.518,40.3,38.45,1.8499999999999943,-1.4699999999999989,679537,1032535,356480,676055,524423
2016-04-24,39.004,40.32,38.26,2.0600000000000023,1.8200000000000003,39.816,41.96,38.52,3.4399999999999977,3.240000000000002,38.63,39.83,37.72,2.1099999999999994,1.769999999999996,39.244,40.77,38.26,2.510000000000005,2.510000000000005,1180674,1929041,605227,1323814,1323814
2016-05-01,38.478,40.73,37.26,3.469999999999999,-3.0700000000000003,38.882,40.75,37.99,2.759999999999998,-2.539999999999999,37.612,39.03,37.09,1.9399999999999977,-1.7000000000000028,37.936,39.4,37.11,2.289999999999999,-1.1899999999999977,790727,1255020,457577,797443,-737708
2016-05-08,38.582,39.48,37.6,1.8799999999999955,0.8799999999999955,39.318,40.15,38.6,1.5499999999999972,1.3399999999999963,37.914,38.75,37.28,1.4699999999999989,0.7199999999999989,38.578,39.8,37.35,2.4499999999999957,0.8299999999999983,820268,1360689,496897,863792,277770
2016-05-15,38.444,38.82,38.15,0.6700000000000017,0.14000000000000057,39.12,39.3,38.8,0.5,0.3100000000000023,38.098,38.29,37.82,0.46999999999999886,0.11999999999999744,38.55,38.92,38.13,0.7899999999999991,0.5300000000000011,693292,992433,374955,617478,-617478
2016-05-22,39.154,39.54,38.92,0.6199999999999974,0.35999999999999943,39.674,40.0,39.15,0.8500000000000014,0.46999999999999886,38.886,39.31,38.34,0.9699999999999989,0.5799999999999983,39.242000000000004,39.59,38.59,1.0,1.0,447628,658376,351579,306797,-95055
2016-05-29,39.8875,40.99,39.33,1.6600000000000037,1.4600000000000009,40.745000000000005,41.49,39.99,1.5,1.0600000000000023,39.605000000000004,40.54,38.81,1.7299999999999969,1.1700000000000017,40.5075,41.35,39.45,1.8999999999999986,1.8099999999999952,530162,738822,413616,325206,-132597
