Date,PowerShares S&P SmallCap Materials_etf_Open_average,PowerShares S&P SmallCap Materials_etf_Open_max,PowerShares S&P SmallCap Materials_etf_Open_min,PowerShares S&P SmallCap Materials_etf_Open_volatility,PowerShares S&P SmallCap Materials_etf_Open_change,PowerShares S&P SmallCap Materials_etf_High_average,PowerShares S&P SmallCap Materials_etf_High_max,PowerShares S&P SmallCap Materials_etf_High_min,PowerShares S&P SmallCap Materials_etf_High_volatility,PowerShares S&P SmallCap Materials_etf_High_change,PowerShares S&P SmallCap Materials_etf_Low_average,PowerShares S&P SmallCap Materials_etf_Low_max,PowerShares S&P SmallCap Materials_etf_Low_min,PowerShares S&P SmallCap Materials_etf_Low_volatility,PowerShares S&P SmallCap Materials_etf_Low_change,PowerShares S&P SmallCap Materials_etf_Close_average,PowerShares S&P SmallCap Materials_etf_Close_max,PowerShares S&P SmallCap Materials_etf_Close_min,PowerShares S&P SmallCap Materials_etf_Close_volatility,PowerShares S&P SmallCap Materials_etf_Close_change
2016-01-03,28.67,28.67,28.67,0.0,0.0,28.67,28.67,28.67,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2016-01-10,26.4,26.4,26.4,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2016-01-17,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.43,26.43,26.43,0.0,0.0,26.46,26.46,26.46,0.0,0.0
2016-01-24,27.07,27.07,27.07,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2016-01-31,27.67,27.67,27.67,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.64,27.64,27.64,0.0,0.0
2016-02-07,26.85,26.85,26.85,0.0,0.0,27.1,27.1,27.1,0.0,0.0,26.85,26.85,26.85,0.0,0.0,27.1,27.1,27.1,0.0,0.0
2016-02-14,27.79,27.79,27.79,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.79,27.79,27.79,0.0,0.0
2016-02-21,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,27.98,27.98,27.98,0.0,0.0,27.98,27.98,27.98,0.0,0.0
2016-02-28,30.29,30.29,30.29,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2016-03-06,30.27,30.27,30.27,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2016-03-13,31.5,31.5,31.5,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.83,31.83,31.83,0.0,0.0
2016-03-20,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2016-03-27,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0
2016-04-03,31.87,31.87,31.87,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2016-04-10,33.36,33.36,33.36,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.04,33.04,33.04,0.0,0.0,33.04,33.04,33.04,0.0,0.0
2016-04-17,35.41,35.41,35.41,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.08,35.08,35.08,0.0,0.0
2016-04-24,35.23,35.23,35.23,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.32,35.32,35.32,0.0,0.0
2016-05-01,34.83,34.83,34.83,0.0,0.0,34.98,34.98,34.98,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.93,34.93,34.93,0.0,0.0
2016-05-08,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0
2016-05-15,33.82,33.82,33.82,0.0,0.0,34.09,34.09,34.09,0.0,0.0,32.36,32.36,32.36,0.0,0.0,33.6,33.6,33.6,0.0,0.0
2016-05-22,34.59,34.59,34.59,0.0,0.0,34.59,34.59,34.59,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.29,34.29,34.29,0.0,0.0
2016-05-29,34.74,34.74,34.74,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.74,34.74,34.74,0.0,0.0,35.0,35.0,35.0,0.0,0.0
2016-06-05,35.83,35.83,35.83,0.0,0.0,36.13,36.13,36.13,0.0,0.0,35.69,35.69,35.69,0.0,0.0,35.69,35.69,35.69,0.0,0.0
2016-06-12,34.69,34.69,34.69,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.53,34.53,34.53,0.0,0.0
2016-06-19,35.09,35.09,35.09,0.0,0.0,35.09,35.09,35.09,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.38,34.38,34.38,0.0,0.0
2016-06-26,36.53,36.53,36.53,0.0,0.0,36.53,36.53,36.53,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2016-07-03,35.85,35.85,35.85,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.79,35.79,35.79,0.0,0.0,35.79,35.79,35.79,0.0,0.0
2016-07-10,38.42,38.42,38.42,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.21,38.21,38.21,0.0,0.0
2016-07-17,37.77,37.77,37.77,0.0,0.0,37.77,37.77,37.77,0.0,0.0,37.34,37.34,37.34,0.0,0.0,37.72,37.72,37.72,0.0,0.0
2016-07-24,38.16,38.16,38.16,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.16,38.16,38.16,0.0,0.0,38.23,38.23,38.23,0.0,0.0
2016-07-31,38.55,38.55,38.55,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.52,38.52,38.52,0.0,0.0
2016-08-07,39.44,39.44,39.44,0.0,0.0,39.44,39.44,39.44,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.21,38.21,38.21,0.0,0.0
2016-08-14,38.53,38.53,38.53,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.48,38.48,38.48,0.0,0.0,38.48,38.48,38.48,0.0,0.0
2016-08-21,39.39,39.39,39.39,0.0,0.0,39.39,39.39,39.39,0.0,0.0,38.99,38.99,38.99,0.0,0.0,39.03,39.03,39.03,0.0,0.0
2016-08-28,39.54,39.54,39.54,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.69,39.69,39.69,0.0,0.0
2016-09-04,38.78,38.78,38.78,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.2,38.2,38.2,0.0,0.0
2016-09-11,38.53,38.53,38.53,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.14,38.14,38.14,0.0,0.0
2016-09-18,39.8,39.8,39.8,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.61,39.61,39.61,0.0,0.0,39.65,39.65,39.65,0.0,0.0
