Date,UBS E-TRACS Bloomberg CMCI FoodEtf_Open_average,UBS E-TRACS Bloomberg CMCI FoodEtf_Open_max,UBS E-TRACS Bloomberg CMCI FoodEtf_Open_min,UBS E-TRACS Bloomberg CMCI FoodEtf_Open_volatility,UBS E-TRACS Bloomberg CMCI FoodEtf_Open_change,UBS E-TRACS Bloomberg CMCI FoodEtf_High_average,UBS E-TRACS Bloomberg CMCI FoodEtf_High_max,UBS E-TRACS Bloomberg CMCI FoodEtf_High_min,UBS E-TRACS Bloomberg CMCI FoodEtf_High_volatility,UBS E-TRACS Bloomberg CMCI FoodEtf_High_change,UBS E-TRACS Bloomberg CMCI FoodEtf_Low_average,UBS E-TRACS Bloomberg CMCI FoodEtf_Low_max,UBS E-TRACS Bloomberg CMCI FoodEtf_Low_min,UBS E-TRACS Bloomberg CMCI FoodEtf_Low_volatility,UBS E-TRACS Bloomberg CMCI FoodEtf_Low_change,UBS E-TRACS Bloomberg CMCI FoodEtf_Close_average,UBS E-TRACS Bloomberg CMCI FoodEtf_Close_max,UBS E-TRACS Bloomberg CMCI FoodEtf_Close_min,UBS E-TRACS Bloomberg CMCI FoodEtf_Close_volatility,UBS E-TRACS Bloomberg CMCI FoodEtf_Close_change
2016-01-03,18.36,18.36,18.36,0.0,0.0,18.36,18.36,18.36,0.0,0.0,18.36,18.36,18.36,0.0,0.0,18.36,18.36,18.36,0.0,0.0
2016-01-10,18.32,18.32,18.32,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.32,18.32,18.32,0.0,0.0
2016-01-17,18.41,18.41,18.41,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.41,18.41,18.41,0.0,0.0
2016-01-24,18.5,18.5,18.5,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.45,18.45,18.45,0.0,0.0
2016-01-31,18.29,18.29,18.29,0.0,0.0,18.29,18.29,18.29,0.0,0.0,18.23,18.23,18.23,0.0,0.0,18.23,18.23,18.23,0.0,0.0
2016-02-07,18.0,18.0,18.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0
2016-02-14,18.01,18.01,18.01,0.0,0.0,18.01,18.01,18.01,0.0,0.0,18.01,18.01,18.01,0.0,0.0,18.01,18.01,18.01,0.0,0.0
2016-02-21,18.19,18.19,18.19,0.0,0.0,18.27,18.27,18.27,0.0,0.0,18.19,18.19,18.19,0.0,0.0,18.27,18.27,18.27,0.0,0.0
2016-02-28,18.3,18.3,18.3,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.3,18.3,18.3,0.0,0.0
2016-03-06,19.01,19.01,19.01,0.0,0.0,19.01,19.01,19.01,0.0,0.0,18.89,18.89,18.89,0.0,0.0,18.89,18.89,18.89,0.0,0.0
