Date,iShares Global Utilities_etf_Open_average,iShares Global Utilities_etf_Open_max,iShares Global Utilities_etf_Open_min,iShares Global Utilities_etf_Open_volatility,iShares Global Utilities_etf_Open_change,iShares Global Utilities_etf_High_average,iShares Global Utilities_etf_High_max,iShares Global Utilities_etf_High_min,iShares Global Utilities_etf_High_volatility,iShares Global Utilities_etf_High_change,iShares Global Utilities_etf_Low_average,iShares Global Utilities_etf_Low_max,iShares Global Utilities_etf_Low_min,iShares Global Utilities_etf_Low_volatility,iShares Global Utilities_etf_Low_change,iShares Global Utilities_etf_Close_average,iShares Global Utilities_etf_Close_max,iShares Global Utilities_etf_Close_min,iShares Global Utilities_etf_Close_volatility,iShares Global Utilities_etf_Close_change
2016-01-03,43.59,43.59,43.59,0.0,0.0,43.59,43.59,43.59,0.0,0.0,43.12,43.12,43.12,0.0,0.0,43.17,43.17,43.17,0.0,0.0
2016-01-10,42.94,42.94,42.94,0.0,0.0,43.19,43.19,43.19,0.0,0.0,42.59,42.59,42.59,0.0,0.0,42.92,42.92,42.92,0.0,0.0
2016-01-17,42.71,42.71,42.71,0.0,0.0,43.54,43.54,43.54,0.0,0.0,42.71,42.71,42.71,0.0,0.0,43.54,43.54,43.54,0.0,0.0
2016-01-24,44.48,44.48,44.48,0.0,0.0,45.06,45.06,45.06,0.0,0.0,44.48,44.48,44.48,0.0,0.0,45.01,45.01,45.01,0.0,0.0
2016-01-31,45.47,45.47,45.47,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.26,45.26,45.26,0.0,0.0,45.41,45.41,45.41,0.0,0.0
2016-02-07,44.39,44.39,44.39,0.0,0.0,44.41,44.41,44.41,0.0,0.0,44.05,44.05,44.05,0.0,0.0,44.29,44.29,44.29,0.0,0.0
2016-02-14,45.15,45.15,45.15,0.0,0.0,45.2,45.2,45.2,0.0,0.0,44.99,44.99,44.99,0.0,0.0,45.11,45.11,45.11,0.0,0.0
2016-02-21,45.74,45.74,45.74,0.0,0.0,45.74,45.74,45.74,0.0,0.0,44.83,44.83,44.83,0.0,0.0,44.83,44.83,44.83,0.0,0.0
2016-02-28,45.41,45.41,45.41,0.0,0.0,45.97,45.97,45.97,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.89,45.89,45.89,0.0,0.0
2016-03-06,46.6,46.6,46.6,0.0,0.0,46.83,46.83,46.83,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2016-03-13,47.43,47.43,47.43,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.35,47.35,47.35,0.0,0.0,47.46,47.46,47.46,0.0,0.0
2016-03-20,47.04,47.04,47.04,0.0,0.0,47.28,47.28,47.28,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.19,47.19,47.19,0.0,0.0
2016-03-27,47.7,47.7,47.7,0.0,0.0,48.15,48.15,48.15,0.0,0.0,47.59,47.59,47.59,0.0,0.0,48.08,48.08,48.08,0.0,0.0
