Date,CNMD_stock_Open_average,CNMD_stock_Open_max,CNMD_stock_Open_min,CNMD_stock_Open_volatility,CNMD_stock_Open_change,CNMD_stock_High_average,CNMD_stock_High_max,CNMD_stock_High_min,CNMD_stock_High_volatility,CNMD_stock_High_change,CNMD_stock_Low_average,CNMD_stock_Low_max,CNMD_stock_Low_min,CNMD_stock_Low_volatility,CNMD_stock_Low_change,CNMD_stock_Close_average,CNMD_stock_Close_max,CNMD_stock_Close_min,CNMD_stock_Close_volatility,CNMD_stock_Close_change,CNMD_stock_Volume_average,CNMD_stock_Volume_max,CNMD_stock_Volume_min,CNMD_stock_Volume_volatility,CNMD_stock_Volume_change
2016-01-03,42.368,43.5,41.48,2.020000000000003,-2.020000000000003,42.842,43.54,42.14,1.3999999999999986,-1.3999999999999986,41.586,42.43,40.6,1.8299999999999983,-1.2900000000000063,41.978,42.61,40.84,1.769999999999996,-1.6299999999999955,200995,303647,142023,161624,96662
2016-01-10,40.202,41.06,39.08,1.980000000000004,-1.75,40.734,41.6,39.75,1.8500000000000014,-1.25,39.158,39.71,37.78,1.9299999999999997,-1.5300000000000011,39.928000000000004,40.96,39.06,1.8999999999999986,-0.6599999999999966,259347,568645,107096,461549,461549
2016-01-17,38.5025,39.27,37.32,1.9500000000000028,-0.25,39.1225,39.27,38.78,0.490000000000002,-0.010000000000005116,37.4875,38.22,36.76,1.4600000000000009,0.75,38.4925,39.09,37.85,1.240000000000002,1.240000000000002,233619,257683,211563,46120,593
2016-01-24,38.996,41.75,36.71,5.039999999999999,-2.299999999999997,39.296,42.05,36.97,5.079999999999998,-2.1899999999999977,37.252,38.27,35.53,2.740000000000002,-1.9799999999999969,37.936,39.09,36.78,2.3100000000000023,-1.3500000000000014,251707,470752,121651,349101,152934
2016-01-31,36.984,37.42,36.66,0.7600000000000051,-0.00999999999999801,37.876,38.16,37.57,0.5899999999999963,0.18999999999999773,36.356,36.65,36.01,0.6400000000000006,-0.13999999999999346,36.966,37.41,36.39,1.019999999999996,-1.019999999999996,203322,248584,166101,82483,-73529
2016-02-07,36.38,36.77,35.99,0.7800000000000011,0.17999999999999972,36.99,37.45,36.57,0.8800000000000026,-0.46999999999999886,35.62,35.75,35.51,0.240000000000002,-0.020000000000003126,36.54,36.8,36.16,0.6400000000000006,-0.14999999999999858,135050,178571,96068,82503,-27034
2016-02-14,37.1775,37.59,36.85,0.740000000000002,-0.11999999999999744,37.8275,38.26,37.39,0.8699999999999974,0.5499999999999972,36.3425,36.73,35.72,1.009999999999998,-0.0799999999999983,37.4475,38.19,36.88,1.3099999999999952,0.769999999999996,155451,261012,96691,164321,133544
2016-02-21,38.675,39.46,37.84,1.6199999999999974,0.8200000000000003,39.11,39.58,38.5,1.0799999999999983,0.46999999999999886,38.32833333333333,39.22,37.55,1.6700000000000017,1.6700000000000017,38.833333333333336,39.33,37.96,1.3699999999999974,1.2800000000000011,122724,166361,73047,93314,-72670
2016-02-28,39.774,40.13,39.24,0.8900000000000006,0.8900000000000006,40.49,41.67,39.98,1.6900000000000048,1.5100000000000051,38.994,40.13,37.11,3.020000000000003,3.020000000000003,40.146,41.01,39.74,1.269999999999996,1.269999999999996,215955,291087,118928,172159,25037
2016-03-06,40.906,41.56,40.41,1.1500000000000057,0.07000000000000028,41.608000000000004,41.92,41.19,0.730000000000004,-0.030000000000001137,40.4,40.76,39.95,0.8099999999999952,-0.259999999999998,41.032000000000004,41.63,40.44,1.1900000000000048,0.0,156185,230707,95238,135469,-135469
2016-03-13,40.518,41.55,39.74,1.8099999999999952,-1.8099999999999952,40.896,41.99,39.76,2.230000000000004,-1.3200000000000003,39.694,41.2,38.56,2.6400000000000006,-1.9000000000000057,40.316,41.57,39.49,2.0799999999999983,-1.1600000000000037,178275,301930,116254,185676,185207
2016-03-20,39.905,40.36,39.3,1.0600000000000023,-1.0600000000000023,40.575,41.45,39.63,1.8200000000000003,-1.259999999999998,39.48,40.12,38.48,1.6400000000000006,-1.6400000000000006,39.67,40.24,38.96,1.2800000000000011,-1.2800000000000011,130931,156352,91703,64649,64649
