Date,iShares Intermediate Credit BondEtf_Open_average,iShares Intermediate Credit BondEtf_Open_max,iShares Intermediate Credit BondEtf_Open_min,iShares Intermediate Credit BondEtf_Open_volatility,iShares Intermediate Credit BondEtf_Open_change,iShares Intermediate Credit BondEtf_High_average,iShares Intermediate Credit BondEtf_High_max,iShares Intermediate Credit BondEtf_High_min,iShares Intermediate Credit BondEtf_High_volatility,iShares Intermediate Credit BondEtf_High_change,iShares Intermediate Credit BondEtf_Low_average,iShares Intermediate Credit BondEtf_Low_max,iShares Intermediate Credit BondEtf_Low_min,iShares Intermediate Credit BondEtf_Low_volatility,iShares Intermediate Credit BondEtf_Low_change,iShares Intermediate Credit BondEtf_Close_average,iShares Intermediate Credit BondEtf_Close_max,iShares Intermediate Credit BondEtf_Close_min,iShares Intermediate Credit BondEtf_Close_volatility,iShares Intermediate Credit BondEtf_Close_change
2016-01-03,107.71,107.71,107.71,0.0,0.0,107.91,107.91,107.91,0.0,0.0,107.62,107.62,107.62,0.0,0.0,107.78,107.78,107.78,0.0,0.0
2016-01-10,108.09,108.09,108.09,0.0,0.0,108.09,108.09,108.09,0.0,0.0,107.75,107.75,107.75,0.0,0.0,107.84,107.84,107.84,0.0,0.0
2016-01-17,107.42,107.42,107.42,0.0,0.0,107.57,107.57,107.57,0.0,0.0,107.29,107.29,107.29,0.0,0.0,107.42,107.42,107.42,0.0,0.0
2016-01-24,107.71,107.71,107.71,0.0,0.0,107.96,107.96,107.96,0.0,0.0,107.67,107.67,107.67,0.0,0.0,107.86,107.86,107.86,0.0,0.0
2016-01-31,107.5,107.5,107.5,0.0,0.0,107.93,107.93,107.93,0.0,0.0,107.5,107.5,107.5,0.0,0.0,107.89,107.89,107.89,0.0,0.0
2016-02-07,107.7,107.7,107.7,0.0,0.0,107.93,107.93,107.93,0.0,0.0,107.65,107.65,107.65,0.0,0.0,107.75,107.75,107.75,0.0,0.0
2016-02-14,107.86,107.86,107.86,0.0,0.0,107.99,107.99,107.99,0.0,0.0,107.71,107.71,107.71,0.0,0.0,107.85,107.85,107.85,0.0,0.0
2016-02-21,108.22,108.22,108.22,0.0,0.0,108.31,108.31,108.31,0.0,0.0,108.05,108.05,108.05,0.0,0.0,108.24,108.24,108.24,0.0,0.0
2016-02-28,108.05,108.05,108.05,0.0,0.0,108.05,108.05,108.05,0.0,0.0,107.75,107.75,107.75,0.0,0.0,107.94,107.94,107.94,0.0,0.0
2016-03-06,108.16,108.16,108.16,0.0,0.0,108.18,108.18,108.18,0.0,0.0,107.97,107.97,107.97,0.0,0.0,108.07,108.07,108.07,0.0,0.0
2016-03-13,108.87,108.87,108.87,0.0,0.0,109.06,109.06,109.06,0.0,0.0,108.84,108.84,108.84,0.0,0.0,108.95,108.95,108.95,0.0,0.0
2016-03-20,109.1,109.1,109.1,0.0,0.0,109.13,109.13,109.13,0.0,0.0,108.87,108.87,108.87,0.0,0.0,109.04,109.04,109.04,0.0,0.0
2016-03-27,109.57,109.57,109.57,0.0,0.0,109.6,109.6,109.6,0.0,0.0,109.29,109.29,109.29,0.0,0.0,109.6,109.6,109.6,0.0,0.0
2016-04-03,109.7,109.7,109.7,0.0,0.0,109.78,109.78,109.78,0.0,0.0,109.61,109.61,109.61,0.0,0.0,109.7,109.7,109.7,0.0,0.0
2016-04-10,109.68,109.68,109.68,0.0,0.0,109.99,109.99,109.99,0.0,0.0,109.68,109.68,109.68,0.0,0.0,109.99,109.99,109.99,0.0,0.0
2016-04-17,109.94,109.94,109.94,0.0,0.0,109.99,109.99,109.99,0.0,0.0,109.85,109.85,109.85,0.0,0.0,109.93,109.93,109.93,0.0,0.0
2016-04-24,110.08,110.08,110.08,0.0,0.0,110.17,110.17,110.17,0.0,0.0,109.85,109.85,109.85,0.0,0.0,110.15,110.15,110.15,0.0,0.0
2016-05-01,110.26,110.26,110.26,0.0,0.0,110.26,110.26,110.26,0.0,0.0,110.03,110.03,110.03,0.0,0.0,110.08,110.08,110.08,0.0,0.0
2016-05-08,110.01,110.01,110.01,0.0,0.0,110.18,110.18,110.18,0.0,0.0,110.0,110.0,110.0,0.0,0.0,110.16,110.16,110.16,0.0,0.0
2016-05-15,109.66,109.66,109.66,0.0,0.0,109.68,109.68,109.68,0.0,0.0,109.55,109.55,109.55,0.0,0.0,109.66,109.66,109.66,0.0,0.0
2016-05-22,109.8,109.8,109.8,0.0,0.0,109.85,109.85,109.85,0.0,0.0,109.5,109.5,109.5,0.0,0.0,109.7,109.7,109.7,0.0,0.0
2016-05-29,110.02,110.02,110.02,0.0,0.0,110.2,110.2,110.2,0.0,0.0,110.02,110.02,110.02,0.0,0.0,110.19,110.19,110.19,0.0,0.0
2016-06-05,110.5,110.5,110.5,0.0,0.0,110.57,110.57,110.57,0.0,0.0,110.4,110.4,110.4,0.0,0.0,110.52,110.52,110.52,0.0,0.0
2016-06-12,110.7,110.7,110.7,0.0,0.0,110.7,110.7,110.7,0.0,0.0,110.39,110.39,110.39,0.0,0.0,110.5,110.5,110.5,0.0,0.0
