Date,DLA_stock_Open_average,DLA_stock_Open_max,DLA_stock_Open_min,DLA_stock_Open_volatility,DLA_stock_Open_change,DLA_stock_High_average,DLA_stock_High_max,DLA_stock_High_min,DLA_stock_High_volatility,DLA_stock_High_change,DLA_stock_Low_average,DLA_stock_Low_max,DLA_stock_Low_min,DLA_stock_Low_volatility,DLA_stock_Low_change,DLA_stock_Close_average,DLA_stock_Close_max,DLA_stock_Close_min,DLA_stock_Close_volatility,DLA_stock_Close_change,DLA_stock_Volume_average,DLA_stock_Volume_max,DLA_stock_Volume_min,DLA_stock_Volume_volatility,DLA_stock_Volume_change
2016-01-03,13.77,13.97,13.54,0.4300000000000015,-0.1800000000000015,13.912,14.1,13.77,0.33000000000000007,-0.17999999999999972,13.652,13.78,13.54,0.2400000000000002,-0.17999999999999972,13.75,13.85,13.58,0.2699999999999996,-0.1899999999999995,1820,3174,1057,2117,-2117
2016-01-10,13.698,13.82,13.63,0.1899999999999995,0.11999999999999922,13.862,14.02,13.75,0.2699999999999996,-0.11999999999999922,13.604,13.67,13.44,0.23000000000000043,0.23000000000000043,13.702,13.82,13.65,0.16999999999999993,0.0,1556,3035,485,2550,-1008
2016-01-17,12.965,13.63,12.69,0.9400000000000013,-0.9400000000000013,13.1025,13.63,12.82,0.8100000000000005,-0.5200000000000014,12.795,13.07,12.6,0.47000000000000064,-0.3800000000000008,12.95,13.11,12.8,0.3099999999999987,0.03999999999999915,1052,2227,286,1941,915
2016-01-24,12.69,13.21,11.94,1.2700000000000014,-1.0099999999999998,12.788,13.29,12.13,1.1599999999999984,-0.9100000000000001,12.394,13.02,11.91,1.1099999999999994,-0.9399999999999995,12.46,13.16,12.0,1.1600000000000001,-0.9399999999999995,4314,17163,615,16548,607
2016-01-31,12.092,12.43,11.77,0.6600000000000001,0.33000000000000007,12.296,12.43,12.1,0.33000000000000007,0.33000000000000007,12.05,12.43,11.77,0.6600000000000001,0.4599999999999991,12.266,12.43,12.0,0.4299999999999997,0.4299999999999997,1785,3103,291,2812,-2812
2016-02-07,13.762,14.95,12.31,2.639999999999999,1.8899999999999988,14.052,14.95,12.45,2.5,1.9900000000000002,13.478,14.2,12.1,2.0999999999999996,2.0999999999999996,13.719999999999999,14.44,12.1,2.34,2.34,2133,4500,410,4090,-1586
2016-02-14,15.6175,16.06,14.84,1.2199999999999989,0.9100000000000001,15.9375,16.06,15.76,0.29999999999999893,-0.2900000000000009,15.4125,15.76,14.84,0.9199999999999999,0.47000000000000064,15.7725,16.05,15.31,0.7400000000000002,-0.6699999999999999,2071,3264,1236,2028,-1562
2016-02-21,16.358,16.95,15.73,1.2199999999999989,1.1699999999999982,16.65,16.95,16.0,0.9499999999999993,0.9499999999999993,16.164,16.9,15.59,1.3099999999999987,0.5300000000000011,16.602,16.95,16.0,0.9499999999999993,0.9499999999999993,1363,1890,510,1380,260
2016-02-28,17.742,19.18,16.59,2.59,1.7899999999999991,18.418,19.18,17.0,2.1799999999999997,1.5300000000000011,17.316,18.3,16.59,1.7100000000000009,0.5399999999999991,17.898,18.71,16.88,1.8300000000000018,0.370000000000001,4464,7885,2781,5104,486
2016-03-06,17.616,17.79,17.19,0.5999999999999979,0.03999999999999915,17.75,18.0,17.46,0.5399999999999991,0.19000000000000128,17.451999999999998,17.63,17.19,0.4399999999999977,-0.019999999999999574,17.535999999999998,17.81,17.29,0.5199999999999996,0.17999999999999972,1210,1797,803,994,300
