Date,BHKLY_stock_Open_average,BHKLY_stock_Open_max,BHKLY_stock_Open_min,BHKLY_stock_Open_volatility,BHKLY_stock_Open_change,BHKLY_stock_High_average,BHKLY_stock_High_max,BHKLY_stock_High_min,BHKLY_stock_High_volatility,BHKLY_stock_High_change,BHKLY_stock_Low_average,BHKLY_stock_Low_max,BHKLY_stock_Low_min,BHKLY_stock_Low_volatility,BHKLY_stock_Low_change,BHKLY_stock_Close_average,BHKLY_stock_Close_max,BHKLY_stock_Close_min,BHKLY_stock_Close_volatility,BHKLY_stock_Close_change,BHKLY_stock_Volume_average,BHKLY_stock_Volume_max,BHKLY_stock_Volume_min,BHKLY_stock_Volume_volatility,BHKLY_stock_Volume_change
2016-01-03,58.24,59.29,57.5,1.7899999999999991,-1.7899999999999991,58.568,59.9,57.89,2.009999999999998,-1.9299999999999997,57.85,59.1,57.16,1.9400000000000048,-1.9400000000000048,58.29,59.7,57.23,2.470000000000006,-2.470000000000006,16169,49170,6448,42722,-42010
2016-01-10,56.716,57.79,54.8,2.990000000000002,-2.200000000000003,57.114,58.46,55.14,3.3200000000000003,-2.1099999999999994,56.0,57.52,54.06,3.460000000000001,-2.259999999999998,56.336,57.59,54.07,3.520000000000003,-2.6099999999999994,30561,49379,13902,35477,-6080
2016-01-17,51.525,54.3,49.81,4.489999999999995,-2.539999999999999,52.2575,54.3,50.93,3.3699999999999974,-1.4499999999999957,51.2225,53.12,49.81,3.309999999999995,-1.3599999999999994,51.8725,53.75,50.67,3.0799999999999983,-1.3699999999999974,22227,26733,10346,16387,-15440
2016-01-24,51.602,53.02,50.66,2.3600000000000065,0.2700000000000031,52.036,53.53,50.97,2.5600000000000023,0.480000000000004,51.208,52.37,50.31,2.059999999999995,0.14999999999999858,51.478,52.91,50.34,2.569999999999993,0.5399999999999991,15916,26026,8641,17385,-14940
2016-01-31,50.416,51.12,49.89,1.2299999999999969,-1.2299999999999969,50.746,51.43,50.39,1.0399999999999991,-0.9500000000000028,49.836,50.8,49.45,1.3499999999999943,-1.1499999999999986,50.318,51.2,49.75,1.4500000000000028,-1.4500000000000028,12534,19245,6675,12570,-12570
2016-02-07,48.594,49.09,48.19,0.9000000000000057,-0.5400000000000063,49.112,49.54,48.55,0.990000000000002,-0.10000000000000142,48.354,48.76,47.66,1.1000000000000014,-0.17999999999999972,48.808,49.2,48.15,1.0500000000000043,0.30000000000000426,10388,16155,5794,10361,-3330
2016-02-14,50.042500000000004,50.63,49.33,1.3000000000000043,-1.3000000000000043,50.415,50.63,50.21,0.4200000000000017,-0.07000000000000028,49.5275,50.06,49.32,0.740000000000002,-0.730000000000004,49.995000000000005,50.34,49.43,0.9100000000000037,-0.9100000000000037,10709,14652,7320,7332,-4293
2016-02-21,51.378,52.74,50.25,2.490000000000002,0.01999999999999602,51.676,52.74,50.83,1.9100000000000037,-0.21000000000000085,50.71,51.25,50.09,1.1599999999999966,0.4099999999999966,51.342,51.7,50.83,0.8700000000000045,-0.29000000000000625,9663,13435,7159,6276,1585
2016-02-28,53.25,54.74,52.2,2.539999999999999,2.539999999999999,53.818,55.39,52.89,2.5,2.5,52.92,54.42,51.56,2.8599999999999994,2.8599999999999994,53.572,55.21,52.16,3.0500000000000043,3.0500000000000043,10337,13228,5366,7862,-7862
2016-03-06,54.862,56.29,54.22,2.0700000000000003,2.049999999999997,55.666,56.29,54.89,1.3999999999999986,0.6999999999999957,54.33,54.61,53.93,0.6799999999999997,0.36999999999999744,55.014,56.24,54.46,1.7800000000000011,1.1600000000000037,10116,27766,3068,24698,21729
