Date,iShares US EnergyEtf_Open_average,iShares US EnergyEtf_Open_max,iShares US EnergyEtf_Open_min,iShares US EnergyEtf_Open_volatility,iShares US EnergyEtf_Open_change,iShares US EnergyEtf_High_average,iShares US EnergyEtf_High_max,iShares US EnergyEtf_High_min,iShares US EnergyEtf_High_volatility,iShares US EnergyEtf_High_change,iShares US EnergyEtf_Low_average,iShares US EnergyEtf_Low_max,iShares US EnergyEtf_Low_min,iShares US EnergyEtf_Low_volatility,iShares US EnergyEtf_Low_change,iShares US EnergyEtf_Close_average,iShares US EnergyEtf_Close_max,iShares US EnergyEtf_Close_min,iShares US EnergyEtf_Close_volatility,iShares US EnergyEtf_Close_change
2016-01-03,31.12,31.12,31.12,0.0,0.0,31.18,31.18,31.18,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2016-01-10,29.37,29.37,29.37,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2016-01-17,30.04,30.04,30.04,0.0,0.0,30.48,30.48,30.48,0.0,0.0,29.56,29.56,29.56,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2016-01-24,30.89,30.89,30.89,0.0,0.0,31.62,31.62,31.62,0.0,0.0,30.67,30.67,30.67,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2016-01-31,30.78,30.78,30.78,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2016-02-07,29.86,29.86,29.86,0.0,0.0,30.31,30.31,30.31,0.0,0.0,29.56,29.56,29.56,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2016-02-14,30.7,30.7,30.7,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.97,30.97,30.97,0.0,0.0
2016-02-21,31.57,31.57,31.57,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2016-02-28,33.11,33.11,33.11,0.0,0.0,33.65,33.65,33.65,0.0,0.0,32.67,32.67,32.67,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2016-03-06,33.51,33.51,33.51,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2016-03-13,34.96,34.96,34.96,0.0,0.0,34.96,34.96,34.96,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.64,34.64,34.64,0.0,0.0
2016-03-20,32.9,32.9,32.9,0.0,0.0,33.56,33.56,33.56,0.0,0.0,32.8,32.8,32.8,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2016-03-27,33.07,33.07,33.07,0.0,0.0,33.3,33.3,33.3,0.0,0.0,32.97,32.97,32.97,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2016-04-03,33.79,33.79,33.79,0.0,0.0,34.05,34.05,34.05,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2016-04-10,34.87,34.87,34.87,0.0,0.0,34.89,34.89,34.89,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.55,34.55,34.55,0.0,0.0
2016-04-17,35.96,35.96,35.96,0.0,0.0,36.61,36.61,36.61,0.0,0.0,35.96,35.96,35.96,0.0,0.0,36.54,36.54,36.54,0.0,0.0
2016-04-24,36.89,36.89,36.89,0.0,0.0,37.22,37.22,37.22,0.0,0.0,36.19,36.19,36.19,0.0,0.0,36.74,36.74,36.74,0.0,0.0
2016-05-01,35.26,35.26,35.26,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.43,35.43,35.43,0.0,0.0
2016-05-08,35.6,35.6,35.6,0.0,0.0,35.86,35.86,35.86,0.0,0.0,35.24,35.24,35.24,0.0,0.0,35.3,35.3,35.3,0.0,0.0
2016-05-15,35.86,35.86,35.86,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.91,35.91,35.91,0.0,0.0
2016-05-22,36.35,36.35,36.35,0.0,0.0,36.48,36.48,36.48,0.0,0.0,36.09,36.09,36.09,0.0,0.0,36.48,36.48,36.48,0.0,0.0
2016-05-29,36.27,36.27,36.27,0.0,0.0,36.42,36.42,36.42,0.0,0.0,35.89,35.89,35.89,0.0,0.0,36.14,36.14,36.14,0.0,0.0
2016-06-05,37.1,37.1,37.1,0.0,0.0,37.24,37.24,37.24,0.0,0.0,36.54,36.54,36.54,0.0,0.0,36.62,36.62,36.62,0.0,0.0
2016-06-12,36.44,36.44,36.44,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.6,36.6,36.6,0.0,0.0
2016-06-19,36.11,36.11,36.11,0.0,0.0,36.7,36.7,36.7,0.0,0.0,35.99,35.99,35.99,0.0,0.0,36.09,36.09,36.09,0.0,0.0
2016-06-26,37.08,37.08,37.08,0.0,0.0,37.44,37.44,37.44,0.0,0.0,37.04,37.04,37.04,0.0,0.0,37.35,37.35,37.35,0.0,0.0
2016-07-03,36.74,36.74,36.74,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.84,36.84,36.84,0.0,0.0
2016-07-10,37.94,37.94,37.94,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.64,37.64,37.64,0.0,0.0
2016-07-17,36.99,36.99,36.99,0.0,0.0,37.17,37.17,37.17,0.0,0.0,36.88,36.88,36.88,0.0,0.0,37.11,37.11,37.11,0.0,0.0
2016-07-24,35.61,35.61,35.61,0.0,0.0,36.38,36.38,36.38,0.0,0.0,35.44,35.44,35.44,0.0,0.0,36.34,36.34,36.34,0.0,0.0
2016-07-31,36.12,36.12,36.12,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.01,36.01,36.01,0.0,0.0,36.37,36.37,36.37,0.0,0.0
2016-08-07,36.69,36.69,36.69,0.0,0.0,37.05,37.05,37.05,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.94,36.94,36.94,0.0,0.0
2016-08-14,38.0,38.0,38.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2016-08-21,37.38,37.38,37.38,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.08,37.08,37.08,0.0,0.0,37.23,37.23,37.23,0.0,0.0
2016-08-28,36.98,36.98,36.98,0.0,0.0,37.19,37.19,37.19,0.0,0.0,36.88,36.88,36.88,0.0,0.0,37.09,37.09,37.09,0.0,0.0
2016-09-04,38.09,38.09,38.09,0.0,0.0,38.17,38.17,38.17,0.0,0.0,37.29,37.29,37.29,0.0,0.0,37.29,37.29,37.29,0.0,0.0
2016-09-11,36.07,36.07,36.07,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.02,36.02,36.02,0.0,0.0,36.2,36.2,36.2,0.0,0.0
2016-09-18,36.61,36.61,36.61,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.07,36.07,36.07,0.0,0.0,36.25,36.25,36.25,0.0,0.0
2016-09-25,37.52,37.52,37.52,0.0,0.0,37.98,37.98,37.98,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.76,37.76,37.76,0.0,0.0
2016-10-02,37.97,37.97,37.97,0.0,0.0,38.14,38.14,38.14,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.77,37.77,37.77,0.0,0.0
