Date,JPMorgan Diversified Return Global EquityEtf_Open_average,JPMorgan Diversified Return Global EquityEtf_Open_max,JPMorgan Diversified Return Global EquityEtf_Open_min,JPMorgan Diversified Return Global EquityEtf_Open_volatility,JPMorgan Diversified Return Global EquityEtf_Open_change,JPMorgan Diversified Return Global EquityEtf_High_average,JPMorgan Diversified Return Global EquityEtf_High_max,JPMorgan Diversified Return Global EquityEtf_High_min,JPMorgan Diversified Return Global EquityEtf_High_volatility,JPMorgan Diversified Return Global EquityEtf_High_change,JPMorgan Diversified Return Global EquityEtf_Low_average,JPMorgan Diversified Return Global EquityEtf_Low_max,JPMorgan Diversified Return Global EquityEtf_Low_min,JPMorgan Diversified Return Global EquityEtf_Low_volatility,JPMorgan Diversified Return Global EquityEtf_Low_change,JPMorgan Diversified Return Global EquityEtf_Close_average,JPMorgan Diversified Return Global EquityEtf_Close_max,JPMorgan Diversified Return Global EquityEtf_Close_min,JPMorgan Diversified Return Global EquityEtf_Close_volatility,JPMorgan Diversified Return Global EquityEtf_Close_change
2016-01-03,47.32,47.32,47.32,0.0,0.0,47.32,47.32,47.32,0.0,0.0,46.92,46.92,46.92,0.0,0.0,46.92,46.92,46.92,0.0,0.0
2016-01-10,45.67,45.67,45.67,0.0,0.0,45.67,45.67,45.67,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.53,45.53,45.53,0.0,0.0
2016-01-17,46.16,46.16,46.16,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.16,46.16,46.16,0.0,0.0,46.39,46.39,46.39,0.0,0.0
2016-01-24,47.02,47.02,47.02,0.0,0.0,47.47,47.47,47.47,0.0,0.0,46.96,46.96,46.96,0.0,0.0,47.41,47.41,47.41,0.0,0.0
2016-01-31,47.14,47.14,47.14,0.0,0.0,47.14,47.14,47.14,0.0,0.0,46.53,46.53,46.53,0.0,0.0,46.53,46.53,46.53,0.0,0.0
2016-02-07,45.1,45.1,45.1,0.0,0.0,45.55,45.55,45.55,0.0,0.0,44.99,44.99,44.99,0.0,0.0,45.55,45.55,45.55,0.0,0.0
2016-02-14,46.56,46.56,46.56,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.56,46.56,46.56,0.0,0.0,46.77,46.77,46.77,0.0,0.0
2016-02-21,47.69,47.69,47.69,0.0,0.0,47.69,47.69,47.69,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.32,47.32,47.32,0.0,0.0
2016-02-28,48.83,48.83,48.83,0.0,0.0,49.07,49.07,49.07,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2016-03-06,49.44,49.44,49.44,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.56,49.56,49.56,0.0,0.0
