Date,PowerShares DWA Financial Momentum PortfolioEtf_Open_average,PowerShares DWA Financial Momentum PortfolioEtf_Open_max,PowerShares DWA Financial Momentum PortfolioEtf_Open_min,PowerShares DWA Financial Momentum PortfolioEtf_Open_volatility,PowerShares DWA Financial Momentum PortfolioEtf_Open_change,PowerShares DWA Financial Momentum PortfolioEtf_High_average,PowerShares DWA Financial Momentum PortfolioEtf_High_max,PowerShares DWA Financial Momentum PortfolioEtf_High_min,PowerShares DWA Financial Momentum PortfolioEtf_High_volatility,PowerShares DWA Financial Momentum PortfolioEtf_High_change,PowerShares DWA Financial Momentum PortfolioEtf_Low_average,PowerShares DWA Financial Momentum PortfolioEtf_Low_max,PowerShares DWA Financial Momentum PortfolioEtf_Low_min,PowerShares DWA Financial Momentum PortfolioEtf_Low_volatility,PowerShares DWA Financial Momentum PortfolioEtf_Low_change,PowerShares DWA Financial Momentum PortfolioEtf_Close_average,PowerShares DWA Financial Momentum PortfolioEtf_Close_max,PowerShares DWA Financial Momentum PortfolioEtf_Close_min,PowerShares DWA Financial Momentum PortfolioEtf_Close_volatility,PowerShares DWA Financial Momentum PortfolioEtf_Close_change
2016-01-03,29.4,29.4,29.4,0.0,0.0,29.4,29.4,29.4,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.83,28.83,28.83,0.0,0.0
2016-01-10,27.94,27.94,27.94,0.0,0.0,28.13,28.13,28.13,0.0,0.0,27.6,27.6,27.6,0.0,0.0,28.13,28.13,28.13,0.0,0.0
2016-01-17,27.74,27.74,27.74,0.0,0.0,28.12,28.12,28.12,0.0,0.0,27.74,27.74,27.74,0.0,0.0,28.02,28.02,28.02,0.0,0.0
2016-01-24,27.95,27.95,27.95,0.0,0.0,28.38,28.38,28.38,0.0,0.0,27.83,27.83,27.83,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2016-01-31,27.87,27.87,27.87,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2016-02-07,26.55,26.55,26.55,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.66,26.66,26.66,0.0,0.0
2016-02-14,27.54,27.54,27.54,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.84,27.84,27.84,0.0,0.0
2016-02-21,28.26,28.26,28.26,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.49,28.49,28.49,0.0,0.0
2016-02-28,29.29,29.29,29.29,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2016-03-06,29.13,29.13,29.13,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.13,29.13,29.13,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2016-03-13,30.12,30.12,30.12,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.12,30.12,30.12,0.0,0.0
2016-03-20,29.4,29.4,29.4,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.45,29.45,29.45,0.0,0.0
2016-03-27,30.11,30.11,30.11,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2016-04-03,30.06,30.06,30.06,0.0,0.0,30.06,30.06,30.06,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.85,29.85,29.85,0.0,0.0
2016-04-10,30.02,30.02,30.02,0.0,0.0,30.16,30.16,30.16,0.0,0.0,29.98,29.98,29.98,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2016-04-17,29.74,29.74,29.74,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.84,29.84,29.84,0.0,0.0
2016-04-24,29.54,29.54,29.54,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.45,29.45,29.45,0.0,0.0
2016-05-01,29.98,29.98,29.98,0.0,0.0,30.1,30.1,30.1,0.0,0.0,29.98,29.98,29.98,0.0,0.0,30.03,30.03,30.03,0.0,0.0
2016-05-08,30.24,30.24,30.24,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2016-05-15,29.68,29.68,29.68,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.94,29.94,29.94,0.0,0.0
2016-05-22,30.43,30.43,30.43,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2016-05-29,30.48,30.48,30.48,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2016-06-05,30.32,30.32,30.32,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2016-06-12,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0
2016-06-19,29.46,29.46,29.46,0.0,0.0,30.25,30.25,30.25,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.94,29.94,29.94,0.0,0.0
2016-06-26,31.25,31.25,31.25,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.06,31.06,31.06,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2016-07-03,31.3,31.3,31.3,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.53,31.53,31.53,0.0,0.0
2016-07-10,31.73,31.73,31.73,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.66,31.66,31.66,0.0,0.0
2016-07-17,32.0,32.0,32.0,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2016-07-24,31.94,31.94,31.94,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2016-07-31,31.3,31.3,31.3,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.24,31.24,31.24,0.0,0.0
2016-08-07,30.88,30.88,30.88,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.88,30.88,30.88,0.0,0.0,31.1,31.1,31.1,0.0,0.0
2016-08-14,30.78,30.78,30.78,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2016-08-21,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.1,31.1,31.1,0.0,0.0,31.1,31.1,31.1,0.0,0.0
2016-08-28,31.18,31.18,31.18,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.15,31.15,31.15,0.0,0.0
2016-09-04,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2016-09-11,30.04,30.04,30.04,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.04,30.04,30.04,0.0,0.0,30.11,30.11,30.11,0.0,0.0
2016-09-18,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2016-09-25,30.68,30.68,30.68,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2016-10-02,29.84,29.84,29.84,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2016-10-09,30.1,30.1,30.1,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.1,30.1,30.1,0.0,0.0
