Date,ASUR_stock_Open_average,ASUR_stock_Open_max,ASUR_stock_Open_min,ASUR_stock_Open_volatility,ASUR_stock_Open_change,ASUR_stock_High_average,ASUR_stock_High_max,ASUR_stock_High_min,ASUR_stock_High_volatility,ASUR_stock_High_change,ASUR_stock_Low_average,ASUR_stock_Low_max,ASUR_stock_Low_min,ASUR_stock_Low_volatility,ASUR_stock_Low_change,ASUR_stock_Close_average,ASUR_stock_Close_max,ASUR_stock_Close_min,ASUR_stock_Close_volatility,ASUR_stock_Close_change,ASUR_stock_Volume_average,ASUR_stock_Volume_max,ASUR_stock_Volume_min,ASUR_stock_Volume_volatility,ASUR_stock_Volume_change
2016-01-03,4.445,4.48,4.42,0.0600000000000005,0.05000000000000071,4.48,4.52,4.45,0.0699999999999994,-0.02999999999999936,4.3925,4.45,4.34,0.11000000000000032,0.11000000000000032,4.445,4.52,4.36,0.15999999999999925,-0.0699999999999994,8199,15315,2526,12789,10660
2016-01-10,4.878,5.07,4.5,0.5700000000000003,0.5700000000000003,5.018,5.2,4.63,0.5700000000000003,0.5700000000000003,4.798,5.06,4.41,0.6499999999999995,0.5899999999999999,4.99,5.12,4.63,0.4900000000000002,0.46999999999999975,15796,33500,2034,31466,-17234
2016-01-17,5.1525,5.2,5.13,0.07000000000000028,0.07000000000000028,5.175,5.27,5.14,0.1299999999999999,0.1299999999999999,5.137499999999999,5.17,5.1,0.07000000000000028,0.07000000000000028,5.172499999999999,5.27,5.14,0.1299999999999999,0.1299999999999999,21148,75864,227,75637,68052
2016-01-24,5.392,5.49,5.29,0.20000000000000018,0.20000000000000018,5.448,5.49,5.38,0.11000000000000032,0.040000000000000036,5.346,5.41,5.29,0.1200000000000001,0.07000000000000028,5.398,5.45,5.37,0.08000000000000007,-0.08000000000000007,9133,18468,1618,16850,-2481
2016-01-31,5.4275,5.49,5.36,0.1299999999999999,0.09999999999999964,5.5125,5.59,5.48,0.10999999999999943,0.09999999999999964,5.3775,5.49,5.23,0.2599999999999998,0.0699999999999994,5.4925,5.51,5.48,0.02999999999999936,0.019999999999999574,13692,37097,108,36989,33324
2016-02-07,5.36,5.49,5.23,0.2599999999999998,0.13999999999999968,5.4079999999999995,5.51,5.26,0.25,0.25,5.2540000000000004,5.38,5.21,0.16999999999999993,0.16999999999999993,5.316,5.47,5.21,0.2599999999999998,0.2599999999999998,2018,4875,62,4813,2610
2016-02-14,5.365,5.43,5.29,0.13999999999999968,0.13999999999999968,5.4125000000000005,5.44,5.36,0.08000000000000007,0.08000000000000007,5.2725,5.32,5.25,0.07000000000000028,-0.009999999999999787,5.35,5.44,5.26,0.1800000000000006,0.03000000000000025,7580,19421,1309,18112,-968
2016-02-21,5.368333333333333,5.44,5.23,0.20999999999999996,0.15000000000000036,5.376666666666667,5.44,5.23,0.20999999999999996,0.13000000000000078,5.368333333333333,5.44,5.23,0.20999999999999996,0.15000000000000036,5.375,5.44,5.23,0.20999999999999996,0.14000000000000057,1193,6102,0,6102,-6102
2016-02-28,5.338,5.49,5.24,0.25,0.16000000000000014,5.47,5.6,5.24,0.35999999999999943,0.34999999999999964,5.282,5.36,5.24,0.1200000000000001,0.1200000000000001,5.372,5.6,5.24,0.35999999999999943,0.1200000000000001,6032,15452,214,15238,340
2016-03-06,5.470000000000001,5.49,5.45,0.040000000000000036,-0.040000000000000036,5.48,5.49,5.47,0.020000000000000462,-0.020000000000000462,5.42,5.48,5.36,0.1200000000000001,-0.05000000000000071,5.455,5.49,5.41,0.08000000000000007,-0.040000000000000036,4701,9131,342,8789,8248
