Date,AVIFY_stock_Open_average,AVIFY_stock_Open_max,AVIFY_stock_Open_min,AVIFY_stock_Open_volatility,AVIFY_stock_Open_change,AVIFY_stock_High_average,AVIFY_stock_High_max,AVIFY_stock_High_min,AVIFY_stock_High_volatility,AVIFY_stock_High_change,AVIFY_stock_Low_average,AVIFY_stock_Low_max,AVIFY_stock_Low_min,AVIFY_stock_Low_volatility,AVIFY_stock_Low_change,AVIFY_stock_Close_average,AVIFY_stock_Close_max,AVIFY_stock_Close_min,AVIFY_stock_Close_volatility,AVIFY_stock_Close_change,AVIFY_stock_Volume_average,AVIFY_stock_Volume_max,AVIFY_stock_Volume_min,AVIFY_stock_Volume_volatility,AVIFY_stock_Volume_change
2016-01-03,3.8118,4.0,3.7039999999999997,0.29600000000000026,-0.11500000000000021,3.8646,4.02,3.71,0.3099999999999996,0.0,3.729,3.885,3.57,0.31499999999999995,0.10499999999999998,3.842,4.0,3.68,0.31999999999999984,0.0,5115,10014,1830,8184,998
2016-01-10,4.024,4.12,3.935,0.18500000000000005,-0.004999999999999893,4.0594,4.12,3.99,0.1299999999999999,-0.02999999999999936,3.9572,4.05,3.81,0.23999999999999977,-0.06600000000000028,4.0245999999999995,4.095,3.91,0.1849999999999996,-0.09399999999999942,5898,14077,1495,12582,9478
2016-01-17,4.28625,4.44,4.225,0.21500000000000075,0.21500000000000075,4.343,4.452,4.23,0.22199999999999953,0.1900000000000004,4.26325,4.38,4.2,0.17999999999999972,0.15500000000000025,4.3295,4.4430000000000005,4.22,0.22300000000000075,0.16500000000000004,7118,12424,3830,8594,1980
2016-01-24,4.4686,4.63,4.376,0.25399999999999956,0.25,4.548,4.72,4.42,0.2999999999999998,0.2999999999999998,4.438,4.63,4.33,0.2999999999999998,0.2999999999999998,4.535,4.72,4.4,0.3199999999999994,0.3199999999999994,3994,5622,422,5200,-1612
2016-01-31,4.71,4.75,4.65,0.09999999999999964,-0.01499999999999968,4.7816,4.82,4.75,0.07000000000000028,-0.07000000000000028,4.6930000000000005,4.75,4.65,0.09999999999999964,-0.08999999999999986,4.744,4.82,4.66,0.16000000000000014,-0.16000000000000014,7345,23496,2584,20912,-20132
2016-02-07,4.748,4.82,4.675,0.14500000000000046,0.040000000000000036,4.781000000000001,4.82,4.735,0.08499999999999996,-0.03000000000000025,4.6674,4.715,4.63,0.08499999999999996,0.040000000000000036,4.7017999999999995,4.744,4.648,0.09600000000000009,0.028999999999999915,5268,11087,2463,8624,697
2016-02-14,4.72025,4.745,4.692,0.052999999999999936,0.036000000000000476,4.766500000000001,4.788,4.74,0.04800000000000004,0.04800000000000004,4.6935,4.704,4.68,0.02400000000000002,-0.013999999999999346,4.7305,4.788,4.68,0.10800000000000054,0.08400000000000052,1986,2746,1450,1296,11
2016-02-21,4.8048,4.8919999999999995,4.7,0.19199999999999928,0.07800000000000029,4.851,4.91,4.79,0.1200000000000001,0.055000000000000604,4.7594,4.8,4.7,0.09999999999999964,-0.007000000000000561,4.8326,4.91,4.77,0.14000000000000057,-0.03000000000000025,4580,11132,723,10409,5418
2016-02-28,4.9532,5.1,4.81,0.29000000000000004,0.1639999999999997,5.009,5.115,4.91,0.20500000000000007,0.20500000000000007,4.894,5.075,4.79,0.28500000000000014,0.16500000000000004,4.9558,5.0889999999999995,4.79,0.2989999999999995,0.07000000000000028,3829,10145,1393,8752,-546
2016-03-06,5.106,5.23,4.95,0.28000000000000025,-0.28000000000000025,5.1782,5.32,5.061,0.25900000000000034,-0.16999999999999993,5.09,5.23,4.95,0.28000000000000025,-0.28000000000000025,5.1754,5.32,5.061,0.25900000000000034,-0.18400000000000016,1685,2451,1022,1429,-679
2016-03-13,4.9110000000000005,4.96,4.777,0.18299999999999983,0.0019999999999997797,4.9492,4.9910000000000005,4.905,0.0860000000000003,0.01100000000000012,4.8568,4.945,4.776,0.16900000000000048,-0.028999999999999915,4.905,4.98,4.824,0.15600000000000058,-0.06400000000000006,2431,3359,1291,2068,-2068
2016-03-20,5.18225,5.422999999999999,4.927,0.49599999999999955,0.18300000000000072,5.2675,5.45,5.08,0.3700000000000001,0.08999999999999986,5.15725,5.369,4.9,0.4689999999999994,0.20999999999999996,5.2565,5.45,5.055,0.39500000000000046,0.11500000000000021,3330,5491,2065,3426,149
2016-03-27,5.2638,5.407,5.1770000000000005,0.22999999999999954,-0.02799999999999958,5.3340000000000005,5.48,5.2,0.28000000000000025,-0.1200000000000001,5.2308,5.272,5.1770000000000005,0.09499999999999975,-0.02799999999999958,5.304,5.47,5.2,0.2699999999999996,-0.1200000000000001,6999,12148,428,11720,-5388
2016-04-03,4.669,5.005,4.52,0.4850000000000003,-0.4349999999999996,4.707,5.035,4.52,0.5150000000000006,-0.46499999999999986,4.618,4.93,4.34,0.5899999999999999,-0.35999999999999943,4.6684,4.941,4.421,0.5199999999999996,-0.37099999999999955,3608,6899,576,6323,-3002
2016-04-10,4.46,4.5,4.415,0.08499999999999996,0.04999999999999982,4.4812,4.5,4.45,0.04999999999999982,0.04999999999999982,4.392,4.476,4.34,0.13600000000000012,0.11000000000000032,4.4808,4.5,4.448,0.0519999999999996,0.0519999999999996,10609,37117,1165,35952,-5274
2016-04-17,4.399,4.505,4.36,0.14499999999999957,-0.04999999999999982,4.48,4.52,4.4,0.11999999999999922,0.019999999999999574,4.3834,4.487,4.35,0.13700000000000045,0.010000000000000675,4.4448,4.504,4.36,0.14399999999999924,0.13999999999999968,21587,63405,1884,61521,-61521
2016-04-24,4.449599999999999,4.56,4.374,0.18599999999999994,0.17100000000000026,4.5081999999999995,4.56,4.481,0.07899999999999974,0.05999999999999961,4.3934,4.48,4.36,0.1200000000000001,-0.010999999999999233,4.4762,4.56,4.36,0.1999999999999993,0.05999999999999961,3476,11382,505,10877,388
2016-05-01,4.424,4.57,4.31,0.2600000000000007,-0.08000000000000007,4.477,4.57,4.4,0.16999999999999993,-0.08000000000000007,4.3469999999999995,4.395,4.31,0.08499999999999996,0.024999999999999467,4.392,4.4719999999999995,4.31,0.16199999999999992,0.05999999999999961,2656,6910,522,6388,1761
2016-05-08,4.2656,4.36,4.15,0.20999999999999996,-0.20999999999999996,4.3100000000000005,4.43,4.23,0.1999999999999993,-0.1999999999999993,4.1846000000000005,4.29,4.08,0.20999999999999996,-0.15500000000000025,4.274,4.362,4.15,0.21199999999999974,-0.1899999999999995,3831,6486,571,5915,527
2016-05-15,4.362,4.42,4.24,0.17999999999999972,0.1349999999999998,4.4046,4.4830000000000005,4.24,0.24300000000000033,0.20399999999999974,4.2824,4.42,4.08,0.33999999999999986,0.20999999999999996,4.3442,4.45,4.08,0.3700000000000001,0.3639999999999999,3304,9651,697,8954,1845
