Date,SIEGY_stock_Open_average,SIEGY_stock_Open_max,SIEGY_stock_Open_min,SIEGY_stock_Open_volatility,SIEGY_stock_Open_change,SIEGY_stock_High_average,SIEGY_stock_High_max,SIEGY_stock_High_min,SIEGY_stock_High_volatility,SIEGY_stock_High_change,SIEGY_stock_Low_average,SIEGY_stock_Low_max,SIEGY_stock_Low_min,SIEGY_stock_Low_volatility,SIEGY_stock_Low_change,SIEGY_stock_Close_average,SIEGY_stock_Close_max,SIEGY_stock_Close_min,SIEGY_stock_Close_volatility,SIEGY_stock_Close_change,SIEGY_stock_Volume_average,SIEGY_stock_Volume_max,SIEGY_stock_Volume_min,SIEGY_stock_Volume_volatility,SIEGY_stock_Volume_change
2016-01-03,46.019999999999996,46.76,45.36,1.3999999999999986,-0.6899999999999977,46.312,46.8,45.81,0.9899999999999949,-0.5599999999999952,45.578,46.0,45.13,0.8699999999999974,-0.8699999999999974,45.946,46.79,45.16,1.6300000000000026,-1.6300000000000026,211388,286584,156360,130224,63648
2016-01-10,45.224,45.7,44.29,1.4100000000000037,-1.4100000000000037,45.522,45.88,44.81,1.0700000000000003,-0.9499999999999957,44.722,45.13,44.25,0.8800000000000026,-0.8699999999999974,45.147999999999996,45.76,44.41,1.3500000000000014,-0.970000000000006,215306,335380,147916,187464,19894
2016-01-17,44.2225,44.85,43.8,1.0500000000000043,-1.0500000000000043,44.65,45.0,44.0,1.0,-0.9799999999999969,43.85,44.41,43.5,0.9099999999999966,-0.9099999999999966,44.519999999999996,44.92,43.83,1.0900000000000034,-1.0900000000000034,230852,329682,171910,157772,-33258
2016-01-24,46.796,47.95,43.68,4.270000000000003,3.3400000000000034,47.584,48.34,45.75,2.5900000000000034,2.210000000000001,46.436,47.52,43.29,4.230000000000004,3.730000000000004,47.206,47.96,45.2,2.759999999999998,2.759999999999998,260167,353802,167008,186794,-186794
2016-01-31,47.238,47.65,46.92,0.7299999999999969,0.28000000000000114,47.612,48.02,46.92,1.1000000000000014,-0.11999999999999744,46.836,47.17,46.42,0.75,-0.30000000000000426,47.238,47.75,46.62,1.1300000000000026,-0.7100000000000009,249332,609662,115940,493722,-107932
2016-02-07,45.839999999999996,46.57,45.22,1.3500000000000014,-0.759999999999998,46.147999999999996,46.62,45.48,1.1400000000000006,-0.9500000000000028,45.54,46.06,44.98,1.0800000000000054,-0.7700000000000031,45.94,46.48,45.31,1.1699999999999946,-0.980000000000004,604606,1320776,108018,1212758,-1165130
2016-02-14,46.75,47.27,46.02,1.25,0.8599999999999994,46.985,47.37,46.05,1.3200000000000003,1.1400000000000006,46.52,47.0,45.56,1.4399999999999977,1.1499999999999986,46.8175,47.18,45.95,1.2299999999999969,1.1699999999999946,167971,231552,128712,102840,-30336
2016-02-21,46.949999999999996,47.58,45.72,1.8599999999999994,0.10999999999999943,47.138,47.73,46.22,1.509999999999998,-0.09999999999999432,46.592,47.46,45.41,2.0500000000000043,-0.46999999999999886,46.856,47.6,45.95,1.6499999999999986,-0.3999999999999986,122530,195866,90104,105762,362
2016-02-28,47.44,48.97,46.3,2.6700000000000017,2.6700000000000017,47.892,49.5,46.52,2.979999999999997,2.979999999999997,47.286,48.84,45.95,2.8900000000000006,2.8900000000000006,47.76,49.27,46.3,2.970000000000006,2.970000000000006,137636,187064,69264,117800,-49214
2016-03-06,49.31,49.56,48.77,0.7899999999999991,0.7099999999999937,49.654,50.17,49.35,0.8200000000000003,0.5700000000000003,48.848,49.45,48.17,1.2800000000000011,0.720000000000006,49.14,49.92,48.64,1.2800000000000011,0.8400000000000034,113649,194150,86068,108082,19532
