Date,MCDStock_Open_average,MCDStock_Open_max,MCDStock_Open_min,MCDStock_Open_volatility,MCDStock_Open_change,MCDStock_High_average,MCDStock_High_max,MCDStock_High_min,MCDStock_High_volatility,MCDStock_High_change,MCDStock_Low_average,MCDStock_Low_max,MCDStock_Low_min,MCDStock_Low_volatility,MCDStock_Low_change,MCDStock_Close_average,MCDStock_Close_max,MCDStock_Close_min,MCDStock_Close_volatility,MCDStock_Close_change,MCDStock_Volume_average,MCDStock_Volume_max,MCDStock_Volume_min,MCDStock_Volume_volatility,MCDStock_Volume_change
2016-01-03,117.17,118.0,115.75,2.25,-1.5,118.334,119.27,117.47,1.7999999999999972,-0.2600000000000051,116.364,117.81,115.26,2.549999999999997,-0.6099999999999994,117.264,119.2,115.48,3.719999999999999,-2.0999999999999943,7286817,9995004,6103431,3891573,-3891573
2016-01-10,116.044,117.69,114.26,3.4299999999999926,-1.3900000000000006,117.25,117.87,116.45,1.4200000000000017,-0.6099999999999994,114.80799999999999,116.17,113.0,3.1700000000000017,-1.3700000000000045,116.21000000000001,117.44,115.12,2.319999999999993,-1.509999999999991,7684994,10201938,5639728,4562210,3809118
2016-01-17,117.1375,118.44,116.51,1.9299999999999926,1.8100000000000023,118.225,118.75,117.71,1.0400000000000063,1.0400000000000063,115.875,117.37,114.38,2.990000000000009,1.4100000000000108,117.38,118.4,115.78,2.6200000000000045,0.9000000000000057,9989041,11905195,9016579,2888616,-178693
2016-01-24,121.24,122.77,119.6,3.1700000000000017,0.9200000000000017,122.354,124.35,121.3,3.049999999999997,2.4499999999999886,119.996,122.75,118.2,4.549999999999997,4.549999999999997,121.33200000000001,123.78,119.2,4.579999999999998,4.579999999999998,9777389,15141460,7408976,7732484,-4591513
2016-01-31,122.636,124.36,120.65,3.7099999999999937,-2.4299999999999926,123.128,124.83,120.65,4.179999999999993,-4.179999999999993,120.128,123.1,114.96,8.14,-8.060000000000002,121.218,124.61,115.4,9.209999999999994,-9.209999999999994,8805315,13261695,6189906,7071789,7071789
2016-02-07,116.014,118.02,114.05,3.969999999999999,2.6700000000000017,117.704,118.53,116.36,2.1700000000000017,1.9699999999999989,115.422,117.26,112.71,4.550000000000011,3.3900000000000006,117.052,117.93,116.05,1.8800000000000097,1.8800000000000097,8136996,11311503,5726298,5585205,-2758691
2016-02-14,118.3525,119.18,117.0,2.180000000000007,-1.4200000000000017,118.8475,119.46,117.35,2.1099999999999994,-1.8300000000000125,116.765,117.6,115.81,1.789999999999992,-1.789999999999992,117.88,119.18,116.53,2.6500000000000057,-2.6500000000000057,11016368,12728952,9707053,3021899,-42161
2016-02-21,117.282,117.98,116.32,1.6600000000000108,0.6500000000000057,118.082,118.5,117.33,1.1700000000000017,0.10999999999999943,116.57,117.16,115.8,1.3599999999999994,-0.7000000000000028,117.412,118.37,116.9,1.4699999999999989,-0.6099999999999994,5615484,6223270,5193676,1029594,-1029594
2016-02-28,117.494,118.56,116.72,1.8400000000000034,-0.0799999999999983,118.242,119.19,117.45,1.7399999999999949,-0.9099999999999966,116.672,117.77,115.32,2.450000000000003,-0.8099999999999881,117.678,118.85,116.69,2.1599999999999966,-0.009999999999990905,6091271,9131980,4267748,4864232,-610343
2016-03-06,118.576,120.49,116.21,4.280000000000001,3.4599999999999937,119.944,122.01,117.57,4.440000000000012,4.440000000000012,117.962,120.36,116.12,4.239999999999995,4.239999999999995,119.348,121.55,117.15,4.3999999999999915,4.3999999999999915,6303799,7042293,5640744,1401549,1401549
