Date,iShares Cohen & Steers REIT_etf_Open_average,iShares Cohen & Steers REIT_etf_Open_max,iShares Cohen & Steers REIT_etf_Open_min,iShares Cohen & Steers REIT_etf_Open_volatility,iShares Cohen & Steers REIT_etf_Open_change,iShares Cohen & Steers REIT_etf_High_average,iShares Cohen & Steers REIT_etf_High_max,iShares Cohen & Steers REIT_etf_High_min,iShares Cohen & Steers REIT_etf_High_volatility,iShares Cohen & Steers REIT_etf_High_change,iShares Cohen & Steers REIT_etf_Low_average,iShares Cohen & Steers REIT_etf_Low_max,iShares Cohen & Steers REIT_etf_Low_min,iShares Cohen & Steers REIT_etf_Low_volatility,iShares Cohen & Steers REIT_etf_Low_change,iShares Cohen & Steers REIT_etf_Close_average,iShares Cohen & Steers REIT_etf_Close_max,iShares Cohen & Steers REIT_etf_Close_min,iShares Cohen & Steers REIT_etf_Close_volatility,iShares Cohen & Steers REIT_etf_Close_change
2016-01-03,98.35,98.35,98.35,0.0,0.0,98.53,98.53,98.53,0.0,0.0,96.58,96.58,96.58,0.0,0.0,96.68,96.68,96.68,0.0,0.0
2016-01-10,94.22,94.22,94.22,0.0,0.0,95.28,95.28,95.28,0.0,0.0,93.66,93.66,93.66,0.0,0.0,94.96,94.96,94.96,0.0,0.0
2016-01-17,93.97,93.97,93.97,0.0,0.0,96.01,96.01,96.01,0.0,0.0,93.97,93.97,93.97,0.0,0.0,95.57,95.57,95.57,0.0,0.0
2016-01-24,94.34,94.34,94.34,0.0,0.0,95.78,95.78,95.78,0.0,0.0,93.65,93.65,93.65,0.0,0.0,95.49,95.49,95.49,0.0,0.0
2016-01-31,95.34,95.34,95.34,0.0,0.0,95.34,95.34,95.34,0.0,0.0,93.26,93.26,93.26,0.0,0.0,93.39,93.39,93.39,0.0,0.0
2016-02-07,88.53,88.53,88.53,0.0,0.0,89.23,89.23,89.23,0.0,0.0,88.0,88.0,88.0,0.0,0.0,89.01,89.01,89.01,0.0,0.0
2016-02-14,91.79,91.79,91.79,0.0,0.0,93.53,93.53,93.53,0.0,0.0,91.64,91.64,91.64,0.0,0.0,92.95,92.95,92.95,0.0,0.0
2016-02-21,95.14,95.14,95.14,0.0,0.0,95.4,95.4,95.4,0.0,0.0,94.75,94.75,94.75,0.0,0.0,94.76,94.76,94.76,0.0,0.0
2016-02-28,98.04,98.04,98.04,0.0,0.0,98.19,98.19,98.19,0.0,0.0,97.35,97.35,97.35,0.0,0.0,98.11,98.11,98.11,0.0,0.0
2016-03-06,99.06,99.06,99.06,0.0,0.0,100.23,100.23,100.23,0.0,0.0,98.71,98.71,98.71,0.0,0.0,100.23,100.23,100.23,0.0,0.0
2016-03-13,103.34,103.34,103.34,0.0,0.0,103.34,103.34,103.34,0.0,0.0,102.41,102.41,102.41,0.0,0.0,102.46,102.46,102.46,0.0,0.0
2016-03-20,99.55,99.55,99.55,0.0,0.0,99.95,99.95,99.95,0.0,0.0,99.09,99.09,99.09,0.0,0.0,99.84,99.84,99.84,0.0,0.0
2016-03-27,102.8,102.8,102.8,0.0,0.0,103.42,103.42,103.42,0.0,0.0,102.48,102.48,102.48,0.0,0.0,103.24,103.24,103.24,0.0,0.0
2016-04-03,102.56,102.56,102.56,0.0,0.0,103.1,103.1,103.1,0.0,0.0,102.45,102.45,102.45,0.0,0.0,102.63,102.63,102.63,0.0,0.0
2016-04-10,101.81,101.81,101.81,0.0,0.0,102.56,102.56,102.56,0.0,0.0,101.42,101.42,101.42,0.0,0.0,102.29,102.29,102.29,0.0,0.0
2016-04-17,99.72,99.72,99.72,0.0,0.0,100.61,100.61,100.61,0.0,0.0,99.5,99.5,99.5,0.0,0.0,100.39,100.39,100.39,0.0,0.0
2016-04-24,100.45,100.45,100.45,0.0,0.0,100.54,100.54,100.54,0.0,0.0,99.08,99.08,99.08,0.0,0.0,100.07,100.07,100.07,0.0,0.0
2016-05-01,103.68,103.68,103.68,0.0,0.0,104.72,104.72,104.72,0.0,0.0,103.08,103.08,103.08,0.0,0.0,104.68,104.68,104.68,0.0,0.0
2016-05-08,103.94,103.94,103.94,0.0,0.0,103.94,103.94,103.94,0.0,0.0,102.59,102.59,102.59,0.0,0.0,103.13,103.13,103.13,0.0,0.0
2016-05-15,100.0,100.0,100.0,0.0,0.0,100.52,100.52,100.52,0.0,0.0,99.83,99.83,99.83,0.0,0.0,100.39,100.39,100.39,0.0,0.0
2016-05-22,101.91,101.91,101.91,0.0,0.0,102.75,102.75,102.75,0.0,0.0,101.85,101.85,101.85,0.0,0.0,102.19,102.19,102.19,0.0,0.0
2016-05-29,103.14,103.14,103.14,0.0,0.0,103.52,103.52,103.52,0.0,0.0,102.3,102.3,102.3,0.0,0.0,102.81,102.81,102.81,0.0,0.0
2016-06-05,102.74,102.74,102.74,0.0,0.0,103.15,103.15,103.15,0.0,0.0,102.51,102.51,102.51,0.0,0.0,102.78,102.78,102.78,0.0,0.0
2016-06-12,104.44,104.44,104.44,0.0,0.0,104.44,104.44,104.44,0.0,0.0,103.41,103.41,103.41,0.0,0.0,104.26,104.26,104.26,0.0,0.0
2016-06-19,102.22,102.22,102.22,0.0,0.0,104.41,104.41,104.41,0.0,0.0,101.85,101.85,101.85,0.0,0.0,103.46,103.46,103.46,0.0,0.0
2016-06-26,108.56,108.56,108.56,0.0,0.0,109.07,109.07,109.07,0.0,0.0,107.82,107.82,107.82,0.0,0.0,108.14,108.14,108.14,0.0,0.0
2016-07-03,108.13,108.13,108.13,0.0,0.0,109.51,109.51,109.51,0.0,0.0,108.13,108.13,108.13,0.0,0.0,109.48,109.48,109.48,0.0,0.0
2016-07-10,109.51,109.51,109.51,0.0,0.0,109.56,109.56,109.56,0.0,0.0,108.7,108.7,108.7,0.0,0.0,109.48,109.48,109.48,0.0,0.0
2016-07-17,110.25,110.25,110.25,0.0,0.0,111.65,111.65,111.65,0.0,0.0,110.05,110.05,110.05,0.0,0.0,111.28,111.28,111.28,0.0,0.0
2016-07-24,110.65,110.65,110.65,0.0,0.0,112.45,112.45,112.45,0.0,0.0,110.65,110.65,110.65,0.0,0.0,111.73,111.73,111.73,0.0,0.0
2016-07-31,109.49,109.49,109.49,0.0,0.0,109.77,109.77,109.77,0.0,0.0,109.07,109.07,109.07,0.0,0.0,109.39,109.39,109.39,0.0,0.0
2016-08-07,108.99,108.99,108.99,0.0,0.0,110.25,110.25,110.25,0.0,0.0,108.99,108.99,108.99,0.0,0.0,109.27,109.27,109.27,0.0,0.0
2016-08-14,107.86,107.86,107.86,0.0,0.0,108.01,108.01,108.01,0.0,0.0,106.9,106.9,106.9,0.0,0.0,107.18,107.18,107.18,0.0,0.0
2016-08-21,107.77,107.77,107.77,0.0,0.0,108.46,108.46,108.46,0.0,0.0,105.78,105.78,105.78,0.0,0.0,106.52,106.52,106.52,0.0,0.0
2016-08-28,107.69,107.69,107.69,0.0,0.0,109.26,109.26,109.26,0.0,0.0,107.43,107.43,107.43,0.0,0.0,107.91,107.91,107.91,0.0,0.0
2016-09-04,106.72,106.72,106.72,0.0,0.0,106.87,106.87,106.87,0.0,0.0,103.84,103.84,103.84,0.0,0.0,103.85,103.85,103.85,0.0,0.0
2016-09-11,103.01,103.01,103.01,0.0,0.0,103.55,103.55,103.55,0.0,0.0,102.72,102.72,102.72,0.0,0.0,103.46,103.46,103.46,0.0,0.0
2016-09-18,107.17,107.17,107.17,0.0,0.0,108.21,108.21,108.21,0.0,0.0,106.25,106.25,106.25,0.0,0.0,107.77,107.77,107.77,0.0,0.0
2016-09-25,106.25,106.25,106.25,0.0,0.0,106.69,106.69,106.69,0.0,0.0,104.87,104.87,104.87,0.0,0.0,104.9,104.9,104.9,0.0,0.0
