Date,ETFS Physical Platinum Shares_etf_Open_average,ETFS Physical Platinum Shares_etf_Open_max,ETFS Physical Platinum Shares_etf_Open_min,ETFS Physical Platinum Shares_etf_Open_volatility,ETFS Physical Platinum Shares_etf_Open_change,ETFS Physical Platinum Shares_etf_High_average,ETFS Physical Platinum Shares_etf_High_max,ETFS Physical Platinum Shares_etf_High_min,ETFS Physical Platinum Shares_etf_High_volatility,ETFS Physical Platinum Shares_etf_High_change,ETFS Physical Platinum Shares_etf_Low_average,ETFS Physical Platinum Shares_etf_Low_max,ETFS Physical Platinum Shares_etf_Low_min,ETFS Physical Platinum Shares_etf_Low_volatility,ETFS Physical Platinum Shares_etf_Low_change,ETFS Physical Platinum Shares_etf_Close_average,ETFS Physical Platinum Shares_etf_Close_max,ETFS Physical Platinum Shares_etf_Close_min,ETFS Physical Platinum Shares_etf_Close_volatility,ETFS Physical Platinum Shares_etf_Close_change
2016-01-03,85.05,85.05,85.05,0.0,0.0,85.2,85.2,85.2,0.0,0.0,84.6,84.6,84.6,0.0,0.0,85.0,85.0,85.0,0.0,0.0
2016-01-10,81.0,81.0,81.0,0.0,0.0,81.14,81.14,81.14,0.0,0.0,79.5,79.5,79.5,0.0,0.0,79.97,79.97,79.97,0.0,0.0
2016-01-17,80.65,80.65,80.65,0.0,0.0,81.07,81.07,81.07,0.0,0.0,79.9,79.9,79.9,0.0,0.0,80.2,80.2,80.2,0.0,0.0
2016-01-24,83.4,83.4,83.4,0.0,0.0,84.3,84.3,84.3,0.0,0.0,83.4,83.4,83.4,0.0,0.0,83.97,83.97,83.97,0.0,0.0
2016-01-31,86.74,86.74,86.74,0.0,0.0,88.0,88.0,88.0,0.0,0.0,86.58,86.58,86.58,0.0,0.0,87.92,87.92,87.92,0.0,0.0
2016-02-07,92.13,92.13,92.13,0.0,0.0,92.43,92.43,92.43,0.0,0.0,91.86,91.86,91.86,0.0,0.0,92.15,92.15,92.15,0.0,0.0
2016-02-14,90.8,90.8,90.8,0.0,0.0,91.6,91.6,91.6,0.0,0.0,90.62,90.62,90.62,0.0,0.0,90.84,90.84,90.84,0.0,0.0
2016-02-21,89.4,89.4,89.4,0.0,0.0,89.52,89.52,89.52,0.0,0.0,87.55,87.55,87.55,0.0,0.0,88.02,88.02,88.02,0.0,0.0
2016-02-28,92.7,92.7,92.7,0.0,0.0,95.12,95.12,95.12,0.0,0.0,92.66,92.66,92.66,0.0,0.0,94.5,94.5,94.5,0.0,0.0
2016-03-06,94.2,94.2,94.2,0.0,0.0,94.35,94.35,94.35,0.0,0.0,92.71,92.71,92.71,0.0,0.0,92.71,92.71,92.71,0.0,0.0
2016-03-13,93.75,93.75,93.75,0.0,0.0,93.8,93.8,93.8,0.0,0.0,93.29,93.29,93.29,0.0,0.0,93.59,93.59,93.59,0.0,0.0
2016-03-20,92.35,92.35,92.35,0.0,0.0,92.4,92.4,92.4,0.0,0.0,91.31,91.31,91.31,0.0,0.0,91.46,91.46,91.46,0.0,0.0
2016-03-27,92.05,92.05,92.05,0.0,0.0,92.3,92.3,92.3,0.0,0.0,91.65,91.65,91.65,0.0,0.0,92.26,92.26,92.26,0.0,0.0
2016-04-03,92.51,92.51,92.51,0.0,0.0,93.3,93.3,93.3,0.0,0.0,92.5,92.5,92.5,0.0,0.0,93.14,93.14,93.14,0.0,0.0
2016-04-10,95.05,95.05,95.05,0.0,0.0,95.05,95.05,95.05,0.0,0.0,94.65,94.65,94.65,0.0,0.0,94.71,94.71,94.71,0.0,0.0
2016-04-17,98.95,98.95,98.95,0.0,0.0,99.4,99.4,99.4,0.0,0.0,97.0,97.0,97.0,0.0,0.0,97.39,97.39,97.39,0.0,0.0
2016-04-24,103.04,103.04,103.04,0.0,0.0,104.1,104.1,104.1,0.0,0.0,103.04,103.04,103.04,0.0,0.0,103.65,103.65,103.65,0.0,0.0
2016-05-01,102.95,102.95,102.95,0.0,0.0,104.3,104.3,104.3,0.0,0.0,102.95,102.95,102.95,0.0,0.0,103.94,103.94,103.94,0.0,0.0
2016-05-08,100.52,100.52,100.52,0.0,0.0,101.24,101.24,101.24,0.0,0.0,99.8,99.8,99.8,0.0,0.0,101.19,101.19,101.19,0.0,0.0
2016-05-15,98.7,98.7,98.7,0.0,0.0,98.8,98.8,98.8,0.0,0.0,97.95,97.95,97.95,0.0,0.0,98.44,98.44,98.44,0.0,0.0
2016-05-22,95.0,95.0,95.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,93.76,93.76,93.76,0.0,0.0,94.0,94.0,94.0,0.0,0.0
2016-05-29,94.0,94.0,94.0,0.0,0.0,94.65,94.65,94.65,0.0,0.0,94.0,94.0,94.0,0.0,0.0,94.52,94.52,94.52,0.0,0.0
2016-06-05,95.95,95.95,95.95,0.0,0.0,96.45,96.45,96.45,0.0,0.0,94.91,94.91,94.91,0.0,0.0,95.52,95.52,95.52,0.0,0.0
2016-06-12,93.33,93.33,93.33,0.0,0.0,93.73,93.73,93.73,0.0,0.0,92.75,92.75,92.75,0.0,0.0,93.39,93.39,93.39,0.0,0.0
2016-06-19,95.6,95.6,95.6,0.0,0.0,95.62,95.62,95.62,0.0,0.0,93.87,93.87,93.87,0.0,0.0,94.53,94.53,94.53,0.0,0.0
2016-06-26,100.67,100.67,100.67,0.0,0.0,102.15,102.15,102.15,0.0,0.0,100.6,100.6,100.6,0.0,0.0,101.94,101.94,101.94,0.0,0.0
2016-07-03,104.96,104.96,104.96,0.0,0.0,105.87,105.87,105.87,0.0,0.0,104.11,104.11,104.11,0.0,0.0,105.8,105.8,105.8,0.0,0.0
2016-07-10,104.6,104.6,104.6,0.0,0.0,104.8,104.8,104.8,0.0,0.0,103.85,103.85,103.85,0.0,0.0,104.5,104.5,104.5,0.0,0.0
2016-07-17,104.66,104.66,104.66,0.0,0.0,105.3,105.3,105.3,0.0,0.0,103.8,103.8,103.8,0.0,0.0,103.96,103.96,103.96,0.0,0.0
2016-07-24,109.94,109.94,109.94,0.0,0.0,111.4,111.4,111.4,0.0,0.0,109.5,109.5,109.5,0.0,0.0,110.12,110.12,110.12,0.0,0.0
2016-07-31,110.0,110.0,110.0,0.0,0.0,110.24,110.24,110.24,0.0,0.0,109.35,109.35,109.35,0.0,0.0,110.09,110.09,110.09,0.0,0.0
2016-08-07,110.26,110.26,110.26,0.0,0.0,110.26,110.26,110.26,0.0,0.0,107.72,107.72,107.72,0.0,0.0,108.01,108.01,108.01,0.0,0.0
2016-08-14,107.25,107.25,107.25,0.0,0.0,107.69,107.69,107.69,0.0,0.0,106.95,106.95,106.95,0.0,0.0,107.16,107.16,107.16,0.0,0.0
2016-08-21,103.65,103.65,103.65,0.0,0.0,104.65,104.65,104.65,0.0,0.0,101.43,101.43,101.43,0.0,0.0,103.09,103.09,103.09,0.0,0.0
2016-08-28,101.47,101.47,101.47,0.0,0.0,102.23,102.23,102.23,0.0,0.0,100.98,100.98,100.98,0.0,0.0,102.23,102.23,102.23,0.0,0.0
2016-09-04,103.2,103.2,103.2,0.0,0.0,103.2,103.2,103.2,0.0,0.0,102.02,102.02,102.02,0.0,0.0,102.2,102.2,102.2,0.0,0.0
2016-09-11,97.2,97.2,97.2,0.0,0.0,97.82,97.82,97.82,0.0,0.0,97.05,97.05,97.05,0.0,0.0,97.55,97.55,97.55,0.0,0.0
2016-09-18,101.25,101.25,101.25,0.0,0.0,101.43,101.43,101.43,0.0,0.0,100.85,100.85,100.85,0.0,0.0,101.17,101.17,101.17,0.0,0.0
2016-09-25,99.61,99.61,99.61,0.0,0.0,99.83,99.83,99.83,0.0,0.0,98.69,98.69,98.69,0.0,0.0,98.8,98.8,98.8,0.0,0.0
2016-10-02,93.45,93.45,93.45,0.0,0.0,93.52,93.52,93.52,0.0,0.0,91.18,91.18,91.18,0.0,0.0,92.72,92.72,92.72,0.0,0.0
2016-10-09,89.65,89.65,89.65,0.0,0.0,90.23,90.23,90.23,0.0,0.0,89.23,89.23,89.23,0.0,0.0,89.88,89.88,89.88,0.0,0.0
2016-10-16,89.6,89.6,89.6,0.0,0.0,89.85,89.85,89.85,0.0,0.0,89.32,89.32,89.32,0.0,0.0,89.58,89.58,89.58,0.0,0.0
2016-10-23,93.55,93.55,93.55,0.0,0.0,94.74,94.74,94.74,0.0,0.0,93.55,93.55,93.55,0.0,0.0,94.21,94.21,94.21,0.0,0.0
2016-10-30,96.41,96.41,96.41,0.0,0.0,96.48,96.48,96.48,0.0,0.0,95.75,95.75,95.75,0.0,0.0,95.86,95.86,95.86,0.0,0.0
2016-11-06,92.74,92.74,92.74,0.0,0.0,92.9,92.9,92.9,0.0,0.0,89.77,89.77,89.77,0.0,0.0,90.41,90.41,90.41,0.0,0.0
2016-11-13,88.52,88.52,88.52,0.0,0.0,88.8,88.8,88.8,0.0,0.0,87.77,87.77,87.77,0.0,0.0,88.25,88.25,88.25,0.0,0.0
2016-11-20,87.77,87.77,87.77,0.0,0.0,87.79,87.79,87.79,0.0,0.0,86.86,86.86,86.86,0.0,0.0,87.03,87.03,87.03,0.0,0.0
2016-11-27,88.91,88.91,88.91,0.0,0.0,89.74,89.74,89.74,0.0,0.0,88.83,88.83,88.83,0.0,0.0,89.3,89.3,89.3,0.0,0.0
2016-12-04,88.73,88.73,88.73,0.0,0.0,88.75,88.75,88.75,0.0,0.0,87.58,87.58,87.58,0.0,0.0,87.77,87.77,87.77,0.0,0.0
