Date,Morgan Stanley Market Vectors Double Short Euro_etf_Open_average,Morgan Stanley Market Vectors Double Short Euro_etf_Open_max,Morgan Stanley Market Vectors Double Short Euro_etf_Open_min,Morgan Stanley Market Vectors Double Short Euro_etf_Open_volatility,Morgan Stanley Market Vectors Double Short Euro_etf_Open_change,Morgan Stanley Market Vectors Double Short Euro_etf_High_average,Morgan Stanley Market Vectors Double Short Euro_etf_High_max,Morgan Stanley Market Vectors Double Short Euro_etf_High_min,Morgan Stanley Market Vectors Double Short Euro_etf_High_volatility,Morgan Stanley Market Vectors Double Short Euro_etf_High_change,Morgan Stanley Market Vectors Double Short Euro_etf_Low_average,Morgan Stanley Market Vectors Double Short Euro_etf_Low_max,Morgan Stanley Market Vectors Double Short Euro_etf_Low_min,Morgan Stanley Market Vectors Double Short Euro_etf_Low_volatility,Morgan Stanley Market Vectors Double Short Euro_etf_Low_change,Morgan Stanley Market Vectors Double Short Euro_etf_Close_average,Morgan Stanley Market Vectors Double Short Euro_etf_Close_max,Morgan Stanley Market Vectors Double Short Euro_etf_Close_min,Morgan Stanley Market Vectors Double Short Euro_etf_Close_volatility,Morgan Stanley Market Vectors Double Short Euro_etf_Close_change
2016-01-03,59.53,59.53,59.53,0.0,0.0,59.53,59.53,59.53,0.0,0.0,59.09,59.09,59.09,0.0,0.0,59.5,59.5,59.5,0.0,0.0
2016-01-10,58.82,58.82,58.82,0.0,0.0,59.07,59.07,59.07,0.0,0.0,58.53,58.53,58.53,0.0,0.0,59.0,59.0,59.0,0.0,0.0
2016-01-17,59.92,59.92,59.92,0.0,0.0,60.52,60.52,60.52,0.0,0.0,59.68,59.68,59.68,0.0,0.0,60.51,60.51,60.51,0.0,0.0
2016-01-24,59.88,59.88,59.88,0.0,0.0,60.04,60.04,60.04,0.0,0.0,59.88,59.88,59.88,0.0,0.0,60.0,60.0,60.0,0.0,0.0
2016-01-31,56.43,56.43,56.43,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.16,56.16,56.16,0.0,0.0,56.5,56.5,56.5,0.0,0.0
2016-02-07,55.55,55.55,55.55,0.0,0.0,55.93,55.93,55.93,0.0,0.0,55.34,55.34,55.34,0.0,0.0,55.34,55.34,55.34,0.0,0.0
2016-02-14,56.72,56.72,56.72,0.0,0.0,56.8,56.8,56.8,0.0,0.0,56.72,56.72,56.72,0.0,0.0,56.75,56.75,56.75,0.0,0.0
2016-02-21,58.63,58.63,58.63,0.0,0.0,59.34,59.34,59.34,0.0,0.0,58.33,58.33,58.33,0.0,0.0,58.67,58.67,58.67,0.0,0.0
2016-02-28,58.35,58.35,58.35,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.23,58.23,58.23,0.0,0.0,58.23,58.23,58.23,0.0,0.0
2016-03-06,56.25,56.25,56.25,0.0,0.0,56.25,56.25,56.25,0.0,0.0,56.25,56.25,56.25,0.0,0.0,56.25,56.25,56.25,0.0,0.0
