Date,ProShares UltraShort Yen_etf_Open_average,ProShares UltraShort Yen_etf_Open_max,ProShares UltraShort Yen_etf_Open_min,ProShares UltraShort Yen_etf_Open_volatility,ProShares UltraShort Yen_etf_Open_change,ProShares UltraShort Yen_etf_High_average,ProShares UltraShort Yen_etf_High_max,ProShares UltraShort Yen_etf_High_min,ProShares UltraShort Yen_etf_High_volatility,ProShares UltraShort Yen_etf_High_change,ProShares UltraShort Yen_etf_Low_average,ProShares UltraShort Yen_etf_Low_max,ProShares UltraShort Yen_etf_Low_min,ProShares UltraShort Yen_etf_Low_volatility,ProShares UltraShort Yen_etf_Low_change,ProShares UltraShort Yen_etf_Close_average,ProShares UltraShort Yen_etf_Close_max,ProShares UltraShort Yen_etf_Close_min,ProShares UltraShort Yen_etf_Close_volatility,ProShares UltraShort Yen_etf_Close_change
2016-01-03,84.82,84.82,84.82,0.0,0.0,84.96,84.96,84.96,0.0,0.0,83.98,83.98,83.98,0.0,0.0,83.98,83.98,83.98,0.0,0.0
2016-01-10,82.98,82.98,82.98,0.0,0.0,83.47,83.47,83.47,0.0,0.0,82.56,82.56,82.56,0.0,0.0,83.23,83.23,83.23,0.0,0.0
2016-01-17,85.08,85.08,85.08,0.0,0.0,85.88,85.88,85.88,0.0,0.0,85.0,85.0,85.0,0.0,0.0,85.56,85.56,85.56,0.0,0.0
2016-01-24,89.33,89.33,89.33,0.0,0.0,89.83,89.83,89.83,0.0,0.0,88.66,88.66,88.66,0.0,0.0,88.66,88.66,88.66,0.0,0.0
2016-01-31,83.1,83.1,83.1,0.0,0.0,83.31,83.31,83.31,0.0,0.0,82.75,82.75,82.75,0.0,0.0,82.86,82.86,82.86,0.0,0.0
2016-02-07,77.16,77.16,77.16,0.0,0.0,77.89,77.89,77.89,0.0,0.0,76.71,76.71,76.71,0.0,0.0,77.59,77.59,77.59,0.0,0.0
2016-02-14,77.3,77.3,77.3,0.0,0.0,77.32,77.32,77.32,0.0,0.0,76.37,76.37,76.37,0.0,0.0,76.86,76.86,76.86,0.0,0.0
2016-02-21,78.0,78.0,78.0,0.0,0.0,78.48,78.48,78.48,0.0,0.0,77.83,77.83,77.83,0.0,0.0,78.45,78.45,78.45,0.0,0.0
2016-02-28,78.03,78.03,78.03,0.0,0.0,78.86,78.86,78.86,0.0,0.0,77.35,77.35,77.35,0.0,0.0,78.43,78.43,78.43,0.0,0.0
2016-03-06,78.11,78.11,78.11,0.0,0.0,78.24,78.24,78.24,0.0,0.0,77.7,77.7,77.7,0.0,0.0,78.22,78.22,78.22,0.0,0.0
2016-03-13,75.07,75.07,75.07,0.0,0.0,75.38,75.38,75.38,0.0,0.0,74.84,74.84,74.84,0.0,0.0,75.35,75.35,75.35,0.0,0.0
2016-03-20,76.39,76.39,76.39,0.0,0.0,76.88,76.88,76.88,0.0,0.0,76.33,76.33,76.33,0.0,0.0,76.87,76.87,76.87,0.0,0.0
2016-03-27,75.85,75.85,75.85,0.0,0.0,76.31,76.31,76.31,0.0,0.0,75.22,75.22,75.22,0.0,0.0,75.29,75.29,75.29,0.0,0.0
2016-04-03,71.44,71.44,71.44,0.0,0.0,71.44,71.44,71.44,0.0,0.0,70.64,70.64,70.64,0.0,0.0,70.65,70.65,70.65,0.0,0.0
2016-04-10,71.65,71.65,71.65,0.0,0.0,71.67,71.67,71.67,0.0,0.0,71.22,71.22,71.22,0.0,0.0,71.34,71.34,71.34,0.0,0.0
2016-04-17,74.81,74.81,74.81,0.0,0.0,75.37,75.37,75.37,0.0,0.0,74.64,74.64,74.64,0.0,0.0,75.12,75.12,75.12,0.0,0.0
2016-04-24,69.1,69.1,69.1,0.0,0.0,69.37,69.37,69.37,0.0,0.0,67.89,67.89,67.89,0.0,0.0,68.02,68.02,68.02,0.0,0.0
2016-05-01,68.47,68.47,68.47,0.0,0.0,69.05,69.05,69.05,0.0,0.0,68.26,68.26,68.26,0.0,0.0,68.9,68.9,68.9,0.0,0.0
2016-05-08,71.44,71.44,71.44,0.0,0.0,72.01,72.01,72.01,0.0,0.0,70.76,70.76,70.76,0.0,0.0,70.76,70.76,70.76,0.0,0.0
2016-05-15,73.0,73.0,73.0,0.0,0.0,73.29,73.29,73.29,0.0,0.0,72.69,72.69,72.69,0.0,0.0,72.84,72.84,72.84,0.0,0.0
2016-05-22,72.15,72.15,72.15,0.0,0.0,73.15,73.15,73.15,0.0,0.0,72.15,72.15,72.15,0.0,0.0,73.1,73.1,73.1,0.0,0.0
2016-05-29,69.1,69.1,69.1,0.0,0.0,69.1,69.1,69.1,0.0,0.0,67.99,67.99,67.99,0.0,0.0,68.17,68.17,68.17,0.0,0.0
