Date,Loncar Cancer ImmunotherapyEtf_Open_average,Loncar Cancer ImmunotherapyEtf_Open_max,Loncar Cancer ImmunotherapyEtf_Open_min,Loncar Cancer ImmunotherapyEtf_Open_volatility,Loncar Cancer ImmunotherapyEtf_Open_change,Loncar Cancer ImmunotherapyEtf_High_average,Loncar Cancer ImmunotherapyEtf_High_max,Loncar Cancer ImmunotherapyEtf_High_min,Loncar Cancer ImmunotherapyEtf_High_volatility,Loncar Cancer ImmunotherapyEtf_High_change,Loncar Cancer ImmunotherapyEtf_Low_average,Loncar Cancer ImmunotherapyEtf_Low_max,Loncar Cancer ImmunotherapyEtf_Low_min,Loncar Cancer ImmunotherapyEtf_Low_volatility,Loncar Cancer ImmunotherapyEtf_Low_change,Loncar Cancer ImmunotherapyEtf_Close_average,Loncar Cancer ImmunotherapyEtf_Close_max,Loncar Cancer ImmunotherapyEtf_Close_min,Loncar Cancer ImmunotherapyEtf_Close_volatility,Loncar Cancer ImmunotherapyEtf_Close_change
2016-01-03,26.18,26.18,26.18,0.0,0.0,26.18,26.18,26.18,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.32,24.32,24.32,0.0,0.0
2016-01-10,21.18,21.18,21.18,0.0,0.0,21.9,21.9,21.9,0.0,0.0,21.03,21.03,21.03,0.0,0.0,21.87,21.87,21.87,0.0,0.0
2016-01-17,23.89,23.89,23.89,0.0,0.0,23.89,23.89,23.89,0.0,0.0,22.04,22.04,22.04,0.0,0.0,22.26,22.26,22.26,0.0,0.0
2016-01-24,20.03,20.03,20.03,0.0,0.0,20.77,20.77,20.77,0.0,0.0,20.03,20.03,20.03,0.0,0.0,20.73,20.73,20.73,0.0,0.0
2016-01-31,20.15,20.15,20.15,0.0,0.0,20.15,20.15,20.15,0.0,0.0,19.67,19.67,19.67,0.0,0.0,19.7,19.7,19.7,0.0,0.0
2016-02-07,18.81,18.81,18.81,0.0,0.0,19.2,19.2,19.2,0.0,0.0,18.57,18.57,18.57,0.0,0.0,19.2,19.2,19.2,0.0,0.0
2016-02-14,19.95,19.95,19.95,0.0,0.0,20.52,20.52,20.52,0.0,0.0,19.95,19.95,19.95,0.0,0.0,20.52,20.52,20.52,0.0,0.0
2016-02-21,20.39,20.39,20.39,0.0,0.0,20.69,20.69,20.69,0.0,0.0,20.06,20.06,20.06,0.0,0.0,20.69,20.69,20.69,0.0,0.0
2016-02-28,22.08,22.08,22.08,0.0,0.0,22.54,22.54,22.54,0.0,0.0,21.7,21.7,21.7,0.0,0.0,22.09,22.09,22.09,0.0,0.0
2016-03-06,21.58,21.58,21.58,0.0,0.0,21.58,21.58,21.58,0.0,0.0,20.67,20.67,20.67,0.0,0.0,21.32,21.32,21.32,0.0,0.0
2016-03-13,20.01,20.01,20.01,0.0,0.0,20.85,20.85,20.85,0.0,0.0,20.01,20.01,20.01,0.0,0.0,20.71,20.71,20.71,0.0,0.0
2016-03-20,20.29,20.29,20.29,0.0,0.0,20.99,20.99,20.99,0.0,0.0,20.25,20.25,20.25,0.0,0.0,20.62,20.62,20.62,0.0,0.0
2016-03-27,21.95,21.95,21.95,0.0,0.0,22.29,22.29,22.29,0.0,0.0,21.9,21.9,21.9,0.0,0.0,22.25,22.25,22.25,0.0,0.0
2016-04-03,24.04,24.04,24.04,0.0,0.0,24.04,24.04,24.04,0.0,0.0,23.32,23.32,23.32,0.0,0.0,23.44,23.44,23.44,0.0,0.0
