Date,IQ Global Resources_etf_Open_average,IQ Global Resources_etf_Open_max,IQ Global Resources_etf_Open_min,IQ Global Resources_etf_Open_volatility,IQ Global Resources_etf_Open_change,IQ Global Resources_etf_High_average,IQ Global Resources_etf_High_max,IQ Global Resources_etf_High_min,IQ Global Resources_etf_High_volatility,IQ Global Resources_etf_High_change,IQ Global Resources_etf_Low_average,IQ Global Resources_etf_Low_max,IQ Global Resources_etf_Low_min,IQ Global Resources_etf_Low_volatility,IQ Global Resources_etf_Low_change,IQ Global Resources_etf_Close_average,IQ Global Resources_etf_Close_max,IQ Global Resources_etf_Close_min,IQ Global Resources_etf_Close_volatility,IQ Global Resources_etf_Close_change
2016-01-03,20.24,20.24,20.24,0.0,0.0,20.44,20.44,20.44,0.0,0.0,20.09,20.09,20.09,0.0,0.0,20.1,20.1,20.1,0.0,0.0
2016-01-10,19.77,19.77,19.77,0.0,0.0,19.78,19.78,19.78,0.0,0.0,19.15,19.15,19.15,0.0,0.0,19.54,19.54,19.54,0.0,0.0
2016-01-17,19.98,19.98,19.98,0.0,0.0,19.98,19.98,19.98,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2016-01-24,20.67,20.67,20.67,0.0,0.0,20.75,20.75,20.75,0.0,0.0,20.66,20.66,20.66,0.0,0.0,20.75,20.75,20.75,0.0,0.0
2016-01-31,21.5,21.5,21.5,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.33,21.33,21.33,0.0,0.0,21.33,21.33,21.33,0.0,0.0
2016-02-07,20.92,20.92,20.92,0.0,0.0,21.18,21.18,21.18,0.0,0.0,20.92,20.92,20.92,0.0,0.0,21.13,21.13,21.13,0.0,0.0
2016-02-14,21.74,21.74,21.74,0.0,0.0,21.78,21.78,21.78,0.0,0.0,21.58,21.58,21.58,0.0,0.0,21.78,21.78,21.78,0.0,0.0
2016-02-21,21.73,21.73,21.73,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.62,21.62,21.62,0.0,0.0,21.66,21.66,21.66,0.0,0.0
2016-02-28,23.17,23.17,23.17,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.07,23.07,23.07,0.0,0.0,23.2,23.2,23.2,0.0,0.0
2016-03-06,23.2,23.2,23.2,0.0,0.0,23.43,23.43,23.43,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.32,23.32,23.32,0.0,0.0
2016-03-13,23.79,23.79,23.79,0.0,0.0,23.79,23.79,23.79,0.0,0.0,23.62,23.62,23.62,0.0,0.0,23.69,23.69,23.69,0.0,0.0
2016-03-20,23.14,23.14,23.14,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.03,23.03,23.03,0.0,0.0,23.2,23.2,23.2,0.0,0.0
2016-03-27,23.29,23.29,23.29,0.0,0.0,23.53,23.53,23.53,0.0,0.0,23.29,23.29,23.29,0.0,0.0,23.45,23.45,23.45,0.0,0.0
2016-04-03,23.51,23.51,23.51,0.0,0.0,23.63,23.63,23.63,0.0,0.0,23.45,23.45,23.45,0.0,0.0,23.45,23.45,23.45,0.0,0.0
2016-04-10,24.01,24.01,24.01,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.04,24.04,24.04,0.0,0.0
2016-04-17,23.91,23.91,23.91,0.0,0.0,24.3,24.3,24.3,0.0,0.0,23.91,23.91,23.91,0.0,0.0,24.13,24.13,24.13,0.0,0.0
2016-04-24,24.68,24.68,24.68,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.78,24.78,24.78,0.0,0.0
2016-05-01,24.13,24.13,24.13,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.33,24.33,24.33,0.0,0.0
2016-05-08,24.08,24.08,24.08,0.0,0.0,24.08,24.08,24.08,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.86,23.86,23.86,0.0,0.0
2016-05-15,23.71,23.71,23.71,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.68,23.68,23.68,0.0,0.0
2016-05-22,24.0,24.0,24.0,0.0,0.0,24.12,24.12,24.12,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.12,24.12,24.12,0.0,0.0
2016-05-29,24.44,24.44,24.44,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.38,24.38,24.38,0.0,0.0,24.51,24.51,24.51,0.0,0.0
2016-06-05,24.6,24.6,24.6,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.45,24.45,24.45,0.0,0.0
