Date,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_Open_average,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_Open_max,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_Open_min,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_Open_volatility,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_Open_change,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_High_average,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_High_max,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_High_min,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_High_volatility,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_High_change,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_Low_average,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_Low_max,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_Low_min,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_Low_volatility,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_Low_change,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_Close_average,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_Close_max,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_Close_min,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_Close_volatility,iPath Bloomberg Cocoa Subindex Total Return Exp 24Etf_Close_change
2016-01-03,38.3,38.3,38.3,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.27,38.27,38.27,0.0,0.0,38.51,38.51,38.51,0.0,0.0
2016-01-10,37.03,37.03,37.03,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.03,37.03,37.03,0.0,0.0,37.24,37.24,37.24,0.0,0.0
2016-01-17,36.99,36.99,36.99,0.0,0.0,37.18,37.18,37.18,0.0,0.0,36.68,36.68,36.68,0.0,0.0,36.82,36.82,36.82,0.0,0.0
2016-01-24,35.82,35.82,35.82,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2016-01-31,35.53,35.53,35.53,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.53,35.53,35.53,0.0,0.0,35.72,35.72,35.72,0.0,0.0
2016-02-07,36.1,36.1,36.1,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.08,36.08,36.08,0.0,0.0,36.55,36.55,36.55,0.0,0.0
2016-02-14,36.66,36.66,36.66,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.01,36.01,36.01,0.0,0.0,36.02,36.02,36.02,0.0,0.0
2016-02-21,37.55,37.55,37.55,0.0,0.0,37.55,37.55,37.55,0.0,0.0,36.63,36.63,36.63,0.0,0.0,37.1,37.1,37.1,0.0,0.0
2016-02-28,38.14,38.14,38.14,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.0,38.0,38.0,0.0,0.0,38.09,38.09,38.09,0.0,0.0
2016-03-06,39.18,39.18,39.18,0.0,0.0,39.2,39.2,39.2,0.0,0.0,38.91,38.91,38.91,0.0,0.0,38.91,38.91,38.91,0.0,0.0
