Date,iShares MSCI BRIC_etf_Open_average,iShares MSCI BRIC_etf_Open_max,iShares MSCI BRIC_etf_Open_min,iShares MSCI BRIC_etf_Open_volatility,iShares MSCI BRIC_etf_Open_change,iShares MSCI BRIC_etf_High_average,iShares MSCI BRIC_etf_High_max,iShares MSCI BRIC_etf_High_min,iShares MSCI BRIC_etf_High_volatility,iShares MSCI BRIC_etf_High_change,iShares MSCI BRIC_etf_Low_average,iShares MSCI BRIC_etf_Low_max,iShares MSCI BRIC_etf_Low_min,iShares MSCI BRIC_etf_Low_volatility,iShares MSCI BRIC_etf_Low_change,iShares MSCI BRIC_etf_Close_average,iShares MSCI BRIC_etf_Close_max,iShares MSCI BRIC_etf_Close_min,iShares MSCI BRIC_etf_Close_volatility,iShares MSCI BRIC_etf_Close_change
2016-01-03,27.23,27.23,27.23,0.0,0.0,27.23,27.23,27.23,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0
2016-01-10,25.41,25.41,25.41,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2016-01-17,25.78,25.78,25.78,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2016-01-24,26.24,26.24,26.24,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.57,26.57,26.57,0.0,0.0
2016-01-31,26.11,26.11,26.11,0.0,0.0,26.11,26.11,26.11,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2016-02-07,24.69,24.69,24.69,0.0,0.0,24.89,24.89,24.89,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.89,24.89,24.89,0.0,0.0
2016-02-14,25.88,25.88,25.88,0.0,0.0,26.02,26.02,26.02,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.98,25.98,25.98,0.0,0.0
2016-02-21,26.2,26.2,26.2,0.0,0.0,26.2,26.2,26.2,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2016-02-28,28.29,28.29,28.29,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2016-03-06,28.63,28.63,28.63,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2016-03-13,29.56,29.56,29.56,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2016-03-20,28.8,28.8,28.8,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.99,28.99,28.99,0.0,0.0
2016-03-27,29.17,29.17,29.17,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2016-04-03,29.25,29.25,29.25,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.21,29.21,29.21,0.0,0.0
2016-04-10,30.73,30.73,30.73,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2016-04-17,30.52,30.52,30.52,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.47,30.47,30.47,0.0,0.0
2016-04-24,30.52,30.52,30.52,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2016-05-01,29.24,29.24,29.24,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.32,29.32,29.32,0.0,0.0
2016-05-08,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.79,28.79,28.79,0.0,0.0
2016-05-15,28.79,28.79,28.79,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2016-05-22,29.49,29.49,29.49,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2016-05-29,29.79,29.79,29.79,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.86,29.86,29.86,0.0,0.0
2016-06-05,29.74,29.74,29.74,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2016-06-12,29.39,29.39,29.39,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2016-06-19,29.11,29.11,29.11,0.0,0.0,29.57,29.57,29.57,0.0,0.0,28.94,28.94,28.94,0.0,0.0,29.06,29.06,29.06,0.0,0.0
2016-06-26,30.62,30.62,30.62,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.81,30.81,30.81,0.0,0.0
2016-07-03,30.43,30.43,30.43,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2016-07-10,31.78,31.78,31.78,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2016-07-17,31.88,31.88,31.88,0.0,0.0,32.02,32.02,32.02,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.99,31.99,31.99,0.0,0.0
2016-07-24,31.74,31.74,31.74,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.74,31.74,31.74,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2016-07-31,32.37,32.37,32.37,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.53,32.53,32.53,0.0,0.0
2016-08-07,33.28,33.28,33.28,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.36,33.36,33.36,0.0,0.0
2016-08-14,33.59,33.59,33.59,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2016-08-21,33.56,33.56,33.56,0.0,0.0,33.66,33.66,33.66,0.0,0.0,32.86,32.86,32.86,0.0,0.0,33.04,33.04,33.04,0.0,0.0
2016-08-28,33.95,33.95,33.95,0.0,0.0,34.12,34.12,34.12,0.0,0.0,33.95,33.95,33.95,0.0,0.0,34.1,34.1,34.1,0.0,0.0
2016-09-04,34.51,34.51,34.51,0.0,0.0,34.51,34.51,34.51,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.99,33.99,33.99,0.0,0.0
2016-09-11,33.74,33.74,33.74,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.72,33.72,33.72,0.0,0.0
2016-09-18,34.72,34.72,34.72,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.5,34.5,34.5,0.0,0.0
2016-09-25,34.21,34.21,34.21,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.26,34.26,34.26,0.0,0.0
2016-10-02,34.92,34.92,34.92,0.0,0.0,34.92,34.92,34.92,0.0,0.0,34.59,34.59,34.59,0.0,0.0,34.79,34.79,34.79,0.0,0.0
2016-10-09,34.35,34.35,34.35,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.16,34.16,34.16,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2016-10-16,34.6,34.6,34.6,0.0,0.0,34.76,34.76,34.76,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2016-10-23,34.23,34.23,34.23,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.05,34.05,34.05,0.0,0.0
2016-10-30,33.05,33.05,33.05,0.0,0.0,33.19,33.19,33.19,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.92,32.92,32.92,0.0,0.0
2016-11-06,32.05,32.05,32.05,0.0,0.0,32.15,32.15,32.15,0.0,0.0,31.63,31.63,31.63,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2016-11-13,32.13,32.13,32.13,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.04,32.04,32.04,0.0,0.0
2016-11-20,32.65,32.65,32.65,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.61,32.61,32.61,0.0,0.0
2016-11-27,32.34,32.34,32.34,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.41,32.41,32.41,0.0,0.0
2016-12-04,32.98,32.98,32.98,0.0,0.0,33.17,33.17,33.17,0.0,0.0,32.98,32.98,32.98,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2016-12-11,32.06,32.06,32.06,0.0,0.0,32.19,32.19,32.19,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2016-12-18,31.04,31.04,31.04,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2016-12-25,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.88,31.88,31.88,0.0,0.0
2017-01-01,33.0,33.0,33.0,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.89,32.89,32.89,0.0,0.0
2017-01-08,33.54,33.54,33.54,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2017-01-15,33.54,33.54,33.54,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.53,33.53,33.53,0.0,0.0
2017-01-22,34.51,34.51,34.51,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.49,34.49,34.49,0.0,0.0
2017-01-29,34.71,34.71,34.71,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.77,34.77,34.77,0.0,0.0
2017-02-05,35.36,35.36,35.36,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.54,35.54,35.54,0.0,0.0
2017-02-12,35.74,35.74,35.74,0.0,0.0,35.86,35.86,35.86,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.81,35.81,35.81,0.0,0.0
2017-02-19,35.78,35.78,35.78,0.0,0.0,35.88,35.88,35.88,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.76,35.76,35.76,0.0,0.0
2017-02-26,35.4,35.4,35.4,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.27,35.27,35.27,0.0,0.0,35.6,35.6,35.6,0.0,0.0
2017-03-05,35.21,35.21,35.21,0.0,0.0,35.26,35.26,35.26,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.25,35.25,35.25,0.0,0.0
