Date,CIDM_stock_Open_average,CIDM_stock_Open_max,CIDM_stock_Open_min,CIDM_stock_Open_volatility,CIDM_stock_Open_change,CIDM_stock_High_average,CIDM_stock_High_max,CIDM_stock_High_min,CIDM_stock_High_volatility,CIDM_stock_High_change,CIDM_stock_Low_average,CIDM_stock_Low_max,CIDM_stock_Low_min,CIDM_stock_Low_volatility,CIDM_stock_Low_change,CIDM_stock_Close_average,CIDM_stock_Close_max,CIDM_stock_Close_min,CIDM_stock_Close_volatility,CIDM_stock_Close_change,CIDM_stock_Volume_average,CIDM_stock_Volume_max,CIDM_stock_Volume_min,CIDM_stock_Volume_volatility,CIDM_stock_Volume_change
2016-01-03,2.7942,2.98,2.6,0.3799999999999999,0.2799999999999998,3.0852,3.5,2.852,0.6480000000000001,-0.52,2.5982000000000003,2.7910000000000004,2.45,0.3410000000000002,-0.20000000000000018,2.761,2.9989999999999997,2.6010000000000004,0.39799999999999924,-0.03100000000000014,20996,55391,5535,49856,-45561
2016-01-10,2.5642,2.7,2.201,0.4990000000000001,-0.10000000000000009,2.6956,2.7,2.679,0.02100000000000035,0.0,2.3406,2.5,2.151,0.3490000000000002,-0.24800000000000022,2.5754,2.699,2.498,0.20099999999999962,-0.18000000000000016,9551,14998,3335,11663,-5283
2016-01-17,2.4822499999999996,2.699,2.3,0.399,0.2789999999999999,2.6945,2.7,2.679,0.02100000000000035,0.02100000000000035,2.36225,2.545,2.2030000000000003,0.34199999999999964,0.14400000000000013,2.625,2.7,2.6,0.10000000000000009,0.10000000000000009,2609,6264,659,5605,5315
2016-01-24,2.9718,3.2,2.8,0.40000000000000036,0.40000000000000036,3.11,3.239,3.0,0.23899999999999988,0.20000000000000018,2.6666000000000003,2.801,2.508,0.29300000000000015,0.29300000000000015,2.908,3.1,2.7,0.3999999999999999,0.040000000000000036,18855,55153,4594,50559,-610
2016-01-31,2.868,3.0,2.55,0.4500000000000002,-0.3500000000000001,3.008,3.1,2.88,0.2200000000000002,-0.2200000000000002,2.6022,2.8,2.4,0.3999999999999999,-0.3999999999999999,2.718,3.0,2.48,0.52,-0.52,5483,8149,1513,6636,6636
2016-02-07,2.508,2.6,2.28,0.3200000000000003,0.0,2.614,2.78,2.5,0.2799999999999998,-0.18999999999999995,2.1002,2.4,1.501,0.899,0.899,2.3206,2.401,2.1630000000000003,0.23799999999999955,0.1509999999999998,12515,28299,4310,23989,-15385
2016-02-14,2.39025,2.48,2.33,0.1499999999999999,0.1499999999999999,2.43775,2.5,2.351,0.14900000000000002,0.10000000000000009,2.16875,2.275,2.04,0.23499999999999988,0.23499999999999988,2.2875,2.35,2.15,0.20000000000000018,-0.050000000000000266,18069,30535,11797,18738,14038
2016-02-21,2.608,2.9,2.3,0.6000000000000001,0.3400000000000003,2.7956,3.0,2.4290000000000003,0.5709999999999997,0.5199999999999996,2.3108,2.45,2.1519999999999997,0.2980000000000005,0.1980000000000004,2.4004,2.6,2.1519999999999997,0.4480000000000004,0.20000000000000018,14205,16407,9756,6651,5635
2016-02-28,2.83,2.96,2.65,0.31000000000000005,0.29000000000000004,2.987,3.105,2.9,0.20500000000000007,0.16500000000000004,2.7716,2.9,2.559,0.34099999999999975,0.3399999999999994,2.885,3.02,2.605,0.41500000000000004,0.395,20863,30370,13067,17303,1478
2016-03-06,2.9098,3.2,2.5,0.7000000000000002,-0.7000000000000002,3.1196,3.201,3.0,0.20100000000000007,-0.20100000000000007,2.6324,2.9010000000000002,2.35,0.5510000000000002,-0.01100000000000012,2.8498,3.0,2.35,0.6499999999999999,-0.04899999999999949,12712,18750,4521,14229,2042
2016-03-13,2.94,3.0,2.8,0.20000000000000018,-0.15000000000000036,3.0372,3.2,2.887,0.31300000000000017,-0.31300000000000017,2.5892,2.9,2.4,0.5,-0.5,2.7784,3.0,2.4,0.6000000000000001,-0.6000000000000001,21944,33477,11744,21733,12720
2016-03-20,2.5,2.7,2.37,0.33000000000000007,-0.33000000000000007,2.6115,3.0,2.4,0.6000000000000001,-0.6000000000000001,2.193,2.4,2.02,0.3799999999999999,-0.3799999999999999,2.35275,2.55,2.263,0.2869999999999999,-0.24299999999999988,49729,88155,25689,62466,-50820
