Date,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_Open_average,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_Open_max,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_Open_min,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_Open_volatility,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_Open_change,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_High_average,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_High_max,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_High_min,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_High_volatility,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_High_change,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_Low_average,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_Low_max,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_Low_min,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_Low_volatility,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_Low_change,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_Close_average,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_Close_max,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_Close_min,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_Close_volatility,Vanguard Sht-Term Inflation-Protected SecuritiesEtf_Close_change
2016-01-03,48.31,48.31,48.31,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.23,48.23,48.23,0.0,0.0,48.33,48.33,48.33,0.0,0.0
2016-01-10,48.34,48.34,48.34,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.23,48.23,48.23,0.0,0.0,48.24,48.24,48.24,0.0,0.0
2016-01-17,48.19,48.19,48.19,0.0,0.0,48.31,48.31,48.31,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.29,48.29,48.29,0.0,0.0
2016-01-24,48.47,48.47,48.47,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.49,48.49,48.49,0.0,0.0
2016-01-31,48.4,48.4,48.4,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.4,48.4,48.4,0.0,0.0
2016-02-07,48.36,48.36,48.36,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2016-02-14,48.35,48.35,48.35,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.27,48.27,48.27,0.0,0.0,48.32,48.32,48.32,0.0,0.0
2016-02-21,48.51,48.51,48.51,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.54,48.54,48.54,0.0,0.0
2016-02-28,48.64,48.64,48.64,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2016-03-06,48.54,48.54,48.54,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.56,48.56,48.56,0.0,0.0
