Date,iShares Core S&P Small-CapEtf_Open_average,iShares Core S&P Small-CapEtf_Open_max,iShares Core S&P Small-CapEtf_Open_min,iShares Core S&P Small-CapEtf_Open_volatility,iShares Core S&P Small-CapEtf_Open_change,iShares Core S&P Small-CapEtf_High_average,iShares Core S&P Small-CapEtf_High_max,iShares Core S&P Small-CapEtf_High_min,iShares Core S&P Small-CapEtf_High_volatility,iShares Core S&P Small-CapEtf_High_change,iShares Core S&P Small-CapEtf_Low_average,iShares Core S&P Small-CapEtf_Low_max,iShares Core S&P Small-CapEtf_Low_min,iShares Core S&P Small-CapEtf_Low_volatility,iShares Core S&P Small-CapEtf_Low_change,iShares Core S&P Small-CapEtf_Close_average,iShares Core S&P Small-CapEtf_Close_max,iShares Core S&P Small-CapEtf_Close_min,iShares Core S&P Small-CapEtf_Close_volatility,iShares Core S&P Small-CapEtf_Close_change
2016-01-03,52.14,52.14,52.14,0.0,0.0,52.36,52.36,52.36,0.0,0.0,51.02,51.02,51.02,0.0,0.0,51.09,51.09,51.09,0.0,0.0
2016-01-10,49.24,49.24,49.24,0.0,0.0,49.98,49.98,49.98,0.0,0.0,48.66,48.66,48.66,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2016-01-17,50.08,50.08,50.08,0.0,0.0,50.55,50.55,50.55,0.0,0.0,49.88,49.88,49.88,0.0,0.0,50.41,50.41,50.41,0.0,0.0
2016-01-24,50.24,50.24,50.24,0.0,0.0,51.69,51.69,51.69,0.0,0.0,50.24,50.24,50.24,0.0,0.0,51.66,51.66,51.66,0.0,0.0
2016-01-31,50.62,50.62,50.62,0.0,0.0,50.79,50.79,50.79,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2016-02-07,48.69,48.69,48.69,0.0,0.0,49.2,49.2,49.2,0.0,0.0,48.48,48.48,48.48,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2016-02-14,50.53,50.53,50.53,0.0,0.0,51.02,51.02,51.02,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2016-02-21,52.43,52.43,52.43,0.0,0.0,52.54,52.54,52.54,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.4,52.4,52.4,0.0,0.0
2016-02-28,54.28,54.28,54.28,0.0,0.0,54.88,54.88,54.88,0.0,0.0,54.12,54.12,54.12,0.0,0.0,54.56,54.56,54.56,0.0,0.0
2016-03-06,54.29,54.29,54.29,0.0,0.0,55.05,55.05,55.05,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.99,54.99,54.99,0.0,0.0
2016-03-13,55.41,55.41,55.41,0.0,0.0,55.94,55.94,55.94,0.0,0.0,55.28,55.28,55.28,0.0,0.0,55.83,55.83,55.83,0.0,0.0
