Date,iShares Real Estate 50_etf_Open_average,iShares Real Estate 50_etf_Open_max,iShares Real Estate 50_etf_Open_min,iShares Real Estate 50_etf_Open_volatility,iShares Real Estate 50_etf_Open_change,iShares Real Estate 50_etf_High_average,iShares Real Estate 50_etf_High_max,iShares Real Estate 50_etf_High_min,iShares Real Estate 50_etf_High_volatility,iShares Real Estate 50_etf_High_change,iShares Real Estate 50_etf_Low_average,iShares Real Estate 50_etf_Low_max,iShares Real Estate 50_etf_Low_min,iShares Real Estate 50_etf_Low_volatility,iShares Real Estate 50_etf_Low_change,iShares Real Estate 50_etf_Close_average,iShares Real Estate 50_etf_Close_max,iShares Real Estate 50_etf_Close_min,iShares Real Estate 50_etf_Close_volatility,iShares Real Estate 50_etf_Close_change
2016-01-03,46.37,46.37,46.37,0.0,0.0,46.37,46.37,46.37,0.0,0.0,45.96,45.96,45.96,0.0,0.0,45.96,45.96,45.96,0.0,0.0
2016-01-10,44.46,44.46,44.46,0.0,0.0,44.66,44.66,44.66,0.0,0.0,44.14,44.14,44.14,0.0,0.0,44.43,44.43,44.43,0.0,0.0
2016-01-17,44.67,44.67,44.67,0.0,0.0,44.98,44.98,44.98,0.0,0.0,44.67,44.67,44.67,0.0,0.0,44.96,44.96,44.96,0.0,0.0
2016-01-24,44.61,44.61,44.61,0.0,0.0,45.3,45.3,45.3,0.0,0.0,44.61,44.61,44.61,0.0,0.0,45.27,45.27,45.27,0.0,0.0
2016-01-31,44.96,44.96,44.96,0.0,0.0,44.96,44.96,44.96,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.45,44.45,44.45,0.0,0.0
2016-02-07,42.24,42.24,42.24,0.0,0.0,42.43,42.43,42.43,0.0,0.0,42.04,42.04,42.04,0.0,0.0,42.36,42.36,42.36,0.0,0.0
2016-02-14,44.07,44.07,44.07,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.07,44.07,44.07,0.0,0.0,44.12,44.12,44.12,0.0,0.0
2016-02-21,45.16,45.16,45.16,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2016-02-28,46.46,46.46,46.46,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.34,46.34,46.34,0.0,0.0,46.66,46.66,46.66,0.0,0.0
2016-03-06,46.95,46.95,46.95,0.0,0.0,47.5,47.5,47.5,0.0,0.0,46.94,46.94,46.94,0.0,0.0,47.5,47.5,47.5,0.0,0.0
2016-03-13,48.7,48.7,48.7,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2016-03-20,47.18,47.18,47.18,0.0,0.0,47.48,47.48,47.48,0.0,0.0,47.18,47.18,47.18,0.0,0.0,47.48,47.48,47.48,0.0,0.0
2016-03-27,48.77,48.77,48.77,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.77,48.77,48.77,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2016-04-03,48.91,48.91,48.91,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.91,48.91,48.91,0.0,0.0
2016-04-10,48.6,48.6,48.6,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2016-04-17,47.83,47.83,47.83,0.0,0.0,48.06,48.06,48.06,0.0,0.0,47.75,47.75,47.75,0.0,0.0,48.06,48.06,48.06,0.0,0.0
2016-04-24,48.05,48.05,48.05,0.0,0.0,48.19,48.19,48.19,0.0,0.0,47.73,47.73,47.73,0.0,0.0,47.73,47.73,47.73,0.0,0.0
2016-05-01,49.3,49.3,49.3,0.0,0.0,49.92,49.92,49.92,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.84,49.84,49.84,0.0,0.0
2016-05-08,49.33,49.33,49.33,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2016-05-15,47.94,47.94,47.94,0.0,0.0,48.13,48.13,48.13,0.0,0.0,47.91,47.91,47.91,0.0,0.0,48.07,48.07,48.07,0.0,0.0
2016-05-22,48.88,48.88,48.88,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2016-05-29,49.14,49.14,49.14,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.19,49.19,49.19,0.0,0.0
2016-06-05,49.41,49.41,49.41,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2016-06-12,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2016-06-19,48.85,48.85,48.85,0.0,0.0,49.93,49.93,49.93,0.0,0.0,48.85,48.85,48.85,0.0,0.0,49.41,49.41,49.41,0.0,0.0
2016-06-26,51.71,51.71,51.71,0.0,0.0,52.03,52.03,52.03,0.0,0.0,51.71,51.71,51.71,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2016-07-03,52.09,52.09,52.09,0.0,0.0,52.47,52.47,52.47,0.0,0.0,51.94,51.94,51.94,0.0,0.0,52.47,52.47,52.47,0.0,0.0
2016-07-10,52.35,52.35,52.35,0.0,0.0,52.58,52.58,52.58,0.0,0.0,52.33,52.33,52.33,0.0,0.0,52.43,52.43,52.43,0.0,0.0
2016-07-17,52.83,52.83,52.83,0.0,0.0,53.49,53.49,53.49,0.0,0.0,52.83,52.83,52.83,0.0,0.0,53.45,53.45,53.45,0.0,0.0
2016-07-24,53.08,53.08,53.08,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.08,53.08,53.08,0.0,0.0,53.54,53.54,53.54,0.0,0.0
2016-07-31,52.68,52.68,52.68,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.48,52.48,52.48,0.0,0.0
2016-08-07,52.42,52.42,52.42,0.0,0.0,52.82,52.82,52.82,0.0,0.0,52.35,52.35,52.35,0.0,0.0,52.43,52.43,52.43,0.0,0.0
2016-08-14,51.45,51.45,51.45,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.3,51.3,51.3,0.0,0.0,51.39,51.39,51.39,0.0,0.0
2016-08-21,51.74,51.74,51.74,0.0,0.0,52.0,52.0,52.0,0.0,0.0,50.9,50.9,50.9,0.0,0.0,51.16,51.16,51.16,0.0,0.0
2016-08-28,52.33,52.33,52.33,0.0,0.0,52.4,52.4,52.4,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.9,51.9,51.9,0.0,0.0
2016-09-04,50.84,50.84,50.84,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2016-09-11,49.62,49.62,49.62,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.65,49.65,49.65,0.0,0.0
2016-09-18,51.62,51.62,51.62,0.0,0.0,51.94,51.94,51.94,0.0,0.0,51.62,51.62,51.62,0.0,0.0,51.86,51.86,51.86,0.0,0.0
2016-09-25,51.7,51.7,51.7,0.0,0.0,51.7,51.7,51.7,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.72,50.72,50.72,0.0,0.0
2016-10-02,48.0,48.0,48.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.85,47.85,47.85,0.0,0.0
2016-10-09,48.68,48.68,48.68,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.51,48.51,48.51,0.0,0.0,48.67,48.67,48.67,0.0,0.0
2016-10-16,48.55,48.55,48.55,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2016-10-23,47.18,47.18,47.18,0.0,0.0,47.54,47.54,47.54,0.0,0.0,47.11,47.11,47.11,0.0,0.0,47.28,47.28,47.28,0.0,0.0
2016-10-30,45.78,45.78,45.78,0.0,0.0,46.34,46.34,46.34,0.0,0.0,45.73,45.73,45.73,0.0,0.0,46.28,46.28,46.28,0.0,0.0
2016-11-06,46.16,46.16,46.16,0.0,0.0,46.52,46.52,46.52,0.0,0.0,45.96,45.96,45.96,0.0,0.0,46.12,46.12,46.12,0.0,0.0
2016-11-13,46.71,46.71,46.71,0.0,0.0,46.71,46.71,46.71,0.0,0.0,46.1,46.1,46.1,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2016-11-20,46.79,46.79,46.79,0.0,0.0,47.39,47.39,47.39,0.0,0.0,46.79,46.79,46.79,0.0,0.0,47.1,47.1,47.1,0.0,0.0
2016-11-27,46.89,46.89,46.89,0.0,0.0,47.34,47.34,47.34,0.0,0.0,46.78,46.78,46.78,0.0,0.0,47.06,47.06,47.06,0.0,0.0
2016-12-04,49.0,49.0,49.0,0.0,0.0,49.31,49.31,49.31,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.85,48.85,48.85,0.0,0.0
