Date,SPDR Dow Jones Global Real EstateEtf_Open_average,SPDR Dow Jones Global Real EstateEtf_Open_max,SPDR Dow Jones Global Real EstateEtf_Open_min,SPDR Dow Jones Global Real EstateEtf_Open_volatility,SPDR Dow Jones Global Real EstateEtf_Open_change,SPDR Dow Jones Global Real EstateEtf_High_average,SPDR Dow Jones Global Real EstateEtf_High_max,SPDR Dow Jones Global Real EstateEtf_High_min,SPDR Dow Jones Global Real EstateEtf_High_volatility,SPDR Dow Jones Global Real EstateEtf_High_change,SPDR Dow Jones Global Real EstateEtf_Low_average,SPDR Dow Jones Global Real EstateEtf_Low_max,SPDR Dow Jones Global Real EstateEtf_Low_min,SPDR Dow Jones Global Real EstateEtf_Low_volatility,SPDR Dow Jones Global Real EstateEtf_Low_change,SPDR Dow Jones Global Real EstateEtf_Close_average,SPDR Dow Jones Global Real EstateEtf_Close_max,SPDR Dow Jones Global Real EstateEtf_Close_min,SPDR Dow Jones Global Real EstateEtf_Close_volatility,SPDR Dow Jones Global Real EstateEtf_Close_change
2016-01-03,45.69,45.69,45.69,0.0,0.0,45.69,45.69,45.69,0.0,0.0,44.8,44.8,44.8,0.0,0.0,44.9,44.9,44.9,0.0,0.0
2016-01-10,43.8,43.8,43.8,0.0,0.0,44.03,44.03,44.03,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.9,43.9,43.9,0.0,0.0
2016-01-17,43.64,43.64,43.64,0.0,0.0,44.42,44.42,44.42,0.0,0.0,43.6,43.6,43.6,0.0,0.0,44.25,44.25,44.25,0.0,0.0
2016-01-24,44.37,44.37,44.37,0.0,0.0,45.04,45.04,45.04,0.0,0.0,44.27,44.27,44.27,0.0,0.0,45.02,45.02,45.02,0.0,0.0
2016-01-31,44.93,44.93,44.93,0.0,0.0,44.93,44.93,44.93,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.21,44.21,44.21,0.0,0.0
2016-02-07,42.45,42.45,42.45,0.0,0.0,42.76,42.76,42.76,0.0,0.0,42.31,42.31,42.31,0.0,0.0,42.75,42.75,42.75,0.0,0.0
2016-02-14,44.23,44.23,44.23,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.63,44.63,44.63,0.0,0.0
2016-02-21,45.37,45.37,45.37,0.0,0.0,45.42,45.42,45.42,0.0,0.0,45.03,45.03,45.03,0.0,0.0,45.04,45.04,45.04,0.0,0.0
2016-02-28,46.73,46.73,46.73,0.0,0.0,47.0,47.0,47.0,0.0,0.0,46.61,46.61,46.61,0.0,0.0,46.86,46.86,46.86,0.0,0.0
2016-03-06,47.04,47.04,47.04,0.0,0.0,47.69,47.69,47.69,0.0,0.0,47.04,47.04,47.04,0.0,0.0,47.66,47.66,47.66,0.0,0.0
2016-03-13,48.58,48.58,48.58,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2016-03-20,47.39,47.39,47.39,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.13,47.13,47.13,0.0,0.0,47.46,47.46,47.46,0.0,0.0
2016-03-27,48.52,48.52,48.52,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2016-04-03,48.66,48.66,48.66,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.69,48.69,48.69,0.0,0.0
2016-04-10,48.7,48.7,48.7,0.0,0.0,49.01,49.01,49.01,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.88,48.88,48.88,0.0,0.0
2016-04-17,48.18,48.18,48.18,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.43,48.43,48.43,0.0,0.0
