Date,Direxion Daily Russia Bull 3X Shares_etf_Open_average,Direxion Daily Russia Bull 3X Shares_etf_Open_max,Direxion Daily Russia Bull 3X Shares_etf_Open_min,Direxion Daily Russia Bull 3X Shares_etf_Open_volatility,Direxion Daily Russia Bull 3X Shares_etf_Open_change,Direxion Daily Russia Bull 3X Shares_etf_High_average,Direxion Daily Russia Bull 3X Shares_etf_High_max,Direxion Daily Russia Bull 3X Shares_etf_High_min,Direxion Daily Russia Bull 3X Shares_etf_High_volatility,Direxion Daily Russia Bull 3X Shares_etf_High_change,Direxion Daily Russia Bull 3X Shares_etf_Low_average,Direxion Daily Russia Bull 3X Shares_etf_Low_max,Direxion Daily Russia Bull 3X Shares_etf_Low_min,Direxion Daily Russia Bull 3X Shares_etf_Low_volatility,Direxion Daily Russia Bull 3X Shares_etf_Low_change,Direxion Daily Russia Bull 3X Shares_etf_Close_average,Direxion Daily Russia Bull 3X Shares_etf_Close_max,Direxion Daily Russia Bull 3X Shares_etf_Close_min,Direxion Daily Russia Bull 3X Shares_etf_Close_volatility,Direxion Daily Russia Bull 3X Shares_etf_Close_change
2016-01-03,18.14,18.14,18.14,0.0,0.0,18.4,18.4,18.4,0.0,0.0,16.74,16.74,16.74,0.0,0.0,16.76,16.76,16.76,0.0,0.0
2016-01-10,13.58,13.58,13.58,0.0,0.0,13.86,13.86,13.86,0.0,0.0,12.72,12.72,12.72,0.0,0.0,13.2,13.2,13.2,0.0,0.0
2016-01-17,15.54,15.54,15.54,0.0,0.0,16.2,16.2,16.2,0.0,0.0,15.38,15.38,15.38,0.0,0.0,16.1,16.1,16.1,0.0,0.0
2016-01-24,19.34,19.34,19.34,0.0,0.0,20.06,20.06,20.06,0.0,0.0,18.76,18.76,18.76,0.0,0.0,19.96,19.96,19.96,0.0,0.0
2016-01-31,17.92,17.92,17.92,0.0,0.0,18.0,18.0,18.0,0.0,0.0,17.04,17.04,17.04,0.0,0.0,17.36,17.36,17.36,0.0,0.0
2016-02-07,15.1,15.1,15.1,0.0,0.0,15.86,15.86,15.86,0.0,0.0,14.78,14.78,14.78,0.0,0.0,15.72,15.72,15.72,0.0,0.0
2016-02-14,17.12,17.12,17.12,0.0,0.0,17.72,17.72,17.72,0.0,0.0,16.63,16.63,16.63,0.0,0.0,17.66,17.66,17.66,0.0,0.0
2016-02-21,19.58,19.58,19.58,0.0,0.0,19.64,19.64,19.64,0.0,0.0,17.44,17.44,17.44,0.0,0.0,17.84,17.84,17.84,0.0,0.0
2016-02-28,22.56,22.56,22.56,0.0,0.0,24.6,24.6,24.6,0.0,0.0,22.5,22.5,22.5,0.0,0.0,24.5,24.5,24.5,0.0,0.0
2016-03-06,25.32,25.32,25.32,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.46,25.46,25.46,0.0,0.0
2016-03-13,29.22,29.22,29.22,0.0,0.0,29.4,29.4,29.4,0.0,0.0,26.96,26.96,26.96,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2016-03-20,24.25,24.25,24.25,0.0,0.0,26.41,26.41,26.41,0.0,0.0,23.96,23.96,23.96,0.0,0.0,26.02,26.02,26.02,0.0,0.0
2016-03-27,24.61,24.61,24.61,0.0,0.0,26.55,26.55,26.55,0.0,0.0,24.4,24.4,24.4,0.0,0.0,26.33,26.33,26.33,0.0,0.0
2016-04-03,26.5,26.5,26.5,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2016-04-10,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.15,28.15,28.15,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2016-04-17,31.7,31.7,31.7,0.0,0.0,32.3,32.3,32.3,0.0,0.0,30.55,30.55,30.55,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2016-04-24,33.51,33.51,33.51,0.0,0.0,33.92,33.92,33.92,0.0,0.0,32.18,32.18,32.18,0.0,0.0,33.04,33.04,33.04,0.0,0.0
