Date,iShares MSCI Denmark Capped_etf_Open_average,iShares MSCI Denmark Capped_etf_Open_max,iShares MSCI Denmark Capped_etf_Open_min,iShares MSCI Denmark Capped_etf_Open_volatility,iShares MSCI Denmark Capped_etf_Open_change,iShares MSCI Denmark Capped_etf_High_average,iShares MSCI Denmark Capped_etf_High_max,iShares MSCI Denmark Capped_etf_High_min,iShares MSCI Denmark Capped_etf_High_volatility,iShares MSCI Denmark Capped_etf_High_change,iShares MSCI Denmark Capped_etf_Low_average,iShares MSCI Denmark Capped_etf_Low_max,iShares MSCI Denmark Capped_etf_Low_min,iShares MSCI Denmark Capped_etf_Low_volatility,iShares MSCI Denmark Capped_etf_Low_change,iShares MSCI Denmark Capped_etf_Close_average,iShares MSCI Denmark Capped_etf_Close_max,iShares MSCI Denmark Capped_etf_Close_min,iShares MSCI Denmark Capped_etf_Close_volatility,iShares MSCI Denmark Capped_etf_Close_change
2016-01-03,54.48,54.48,54.48,0.0,0.0,54.48,54.48,54.48,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.72,53.72,53.72,0.0,0.0
2016-01-10,51.31,51.31,51.31,0.0,0.0,51.58,51.58,51.58,0.0,0.0,50.63,50.63,50.63,0.0,0.0,51.05,51.05,51.05,0.0,0.0
2016-01-17,52.18,52.18,52.18,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2016-01-24,53.83,53.83,53.83,0.0,0.0,54.15,54.15,54.15,0.0,0.0,53.63,53.63,53.63,0.0,0.0,54.12,54.12,54.12,0.0,0.0
2016-01-31,52.42,52.42,52.42,0.0,0.0,52.42,52.42,52.42,0.0,0.0,51.76,51.76,51.76,0.0,0.0,51.81,51.81,51.81,0.0,0.0
2016-02-07,50.08,50.08,50.08,0.0,0.0,50.45,50.45,50.45,0.0,0.0,49.97,49.97,49.97,0.0,0.0,50.45,50.45,50.45,0.0,0.0
2016-02-14,52.44,52.44,52.44,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.16,52.16,52.16,0.0,0.0,52.54,52.54,52.54,0.0,0.0
2016-02-21,53.24,53.24,53.24,0.0,0.0,53.3,53.3,53.3,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.95,52.95,52.95,0.0,0.0
2016-02-28,55.08,55.08,55.08,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.05,55.05,55.05,0.0,0.0,55.12,55.12,55.12,0.0,0.0
2016-03-06,55.14,55.14,55.14,0.0,0.0,55.73,55.73,55.73,0.0,0.0,55.14,55.14,55.14,0.0,0.0,55.65,55.65,55.65,0.0,0.0
2016-03-13,55.53,55.53,55.53,0.0,0.0,55.69,55.69,55.69,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.57,55.57,55.57,0.0,0.0
2016-03-20,55.06,55.06,55.06,0.0,0.0,55.06,55.06,55.06,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.95,54.95,54.95,0.0,0.0
2016-03-27,56.42,56.42,56.42,0.0,0.0,56.97,56.97,56.97,0.0,0.0,56.35,56.35,56.35,0.0,0.0,56.89,56.89,56.89,0.0,0.0
