Date,United States OilEtf_Open_average,United States OilEtf_Open_max,United States OilEtf_Open_min,United States OilEtf_Open_volatility,United States OilEtf_Open_change,United States OilEtf_High_average,United States OilEtf_High_max,United States OilEtf_High_min,United States OilEtf_High_volatility,United States OilEtf_High_change,United States OilEtf_Low_average,United States OilEtf_Low_max,United States OilEtf_Low_min,United States OilEtf_Low_volatility,United States OilEtf_Low_change,United States OilEtf_Close_average,United States OilEtf_Close_max,United States OilEtf_Close_min,United States OilEtf_Close_volatility,United States OilEtf_Close_change
2016-01-03,79.6,79.6,79.6,0.0,0.0,80.16,80.16,80.16,0.0,0.0,77.68,77.68,77.68,0.0,0.0,78.4,78.4,78.4,0.0,0.0
2016-01-10,70.32,70.32,70.32,0.0,0.0,71.16,71.16,71.16,0.0,0.0,69.12,69.12,69.12,0.0,0.0,70.32,70.32,70.32,0.0,0.0
2016-01-17,72.72,72.72,72.72,0.0,0.0,74.32,74.32,74.32,0.0,0.0,71.76,71.76,71.76,0.0,0.0,74.16,74.16,74.16,0.0,0.0
2016-01-24,78.16,78.16,78.16,0.0,0.0,79.04,79.04,79.04,0.0,0.0,75.04,75.04,75.04,0.0,0.0,77.2,77.2,77.2,0.0,0.0
2016-01-31,72.32,72.32,72.32,0.0,0.0,73.84,73.84,73.84,0.0,0.0,70.4,70.4,70.4,0.0,0.0,71.28,71.28,71.28,0.0,0.0
2016-02-07,65.28,65.28,65.28,0.0,0.0,68.16,68.16,68.16,0.0,0.0,64.08,64.08,64.08,0.0,0.0,66.64,66.64,66.64,0.0,0.0
2016-02-14,68.4,68.4,68.4,0.0,0.0,68.76,68.76,68.76,0.0,0.0,66.8,66.8,66.8,0.0,0.0,68.4,68.4,68.4,0.0,0.0
2016-02-21,73.12,73.12,73.12,0.0,0.0,73.28,73.28,73.28,0.0,0.0,69.6,69.6,69.6,0.0,0.0,70.24,70.24,70.24,0.0,0.0
2016-02-28,74.32,74.32,74.32,0.0,0.0,77.2,77.2,77.2,0.0,0.0,73.44,73.44,73.44,0.0,0.0,77.2,77.2,77.2,0.0,0.0
2016-03-06,81.68,81.68,81.68,0.0,0.0,82.32,82.32,82.32,0.0,0.0,80.48,80.48,80.48,0.0,0.0,81.52,81.52,81.52,0.0,0.0
2016-03-13,85.68,85.68,85.68,0.0,0.0,86.4,86.4,86.4,0.0,0.0,83.44,83.44,83.44,0.0,0.0,83.84,83.84,83.84,0.0,0.0
2016-03-20,78.24,78.24,78.24,0.0,0.0,80.8,80.8,80.8,0.0,0.0,77.92,77.92,77.92,0.0,0.0,80.48,80.48,80.48,0.0,0.0
2016-03-27,75.28,75.28,75.28,0.0,0.0,75.64,75.64,75.64,0.0,0.0,74.56,74.56,74.56,0.0,0.0,74.63,74.63,74.63,0.0,0.0
2016-04-03,79.8,79.8,79.8,0.0,0.0,80.88,80.88,80.88,0.0,0.0,79.44,79.44,79.44,0.0,0.0,80.24,80.24,80.24,0.0,0.0
2016-04-10,82.24,82.24,82.24,0.0,0.0,82.64,82.64,82.64,0.0,0.0,81.04,81.04,81.04,0.0,0.0,82.0,82.0,82.0,0.0,0.0
2016-04-17,86.0,86.0,86.0,0.0,0.0,87.44,87.44,87.44,0.0,0.0,85.52,85.52,85.52,0.0,0.0,86.08,86.08,86.08,0.0,0.0
2016-04-24,91.36,91.36,91.36,0.0,0.0,92.0,92.0,92.0,0.0,0.0,88.96,88.96,88.96,0.0,0.0,90.4,90.4,90.4,0.0,0.0
2016-05-01,86.48,86.48,86.48,0.0,0.0,89.2,89.2,89.2,0.0,0.0,86.24,86.24,86.24,0.0,0.0,87.68,87.68,87.68,0.0,0.0
2016-05-08,90.8,90.8,90.8,0.0,0.0,91.44,91.44,91.44,0.0,0.0,90.16,90.16,90.16,0.0,0.0,90.96,90.96,90.96,0.0,0.0
2016-05-15,94.32,94.32,94.32,0.0,0.0,94.88,94.88,94.88,0.0,0.0,92.88,92.88,92.88,0.0,0.0,94.0,94.0,94.0,0.0,0.0
2016-05-22,94.72,94.72,94.72,0.0,0.0,95.92,95.92,95.92,0.0,0.0,94.4,94.4,94.4,0.0,0.0,95.84,95.84,95.84,0.0,0.0
2016-05-29,95.12,95.12,95.12,0.0,0.0,95.12,95.12,95.12,0.0,0.0,93.6,93.6,93.6,0.0,0.0,94.56,94.56,94.56,0.0,0.0
2016-06-05,96.16,96.16,96.16,0.0,0.0,96.8,96.8,96.8,0.0,0.0,94.64,94.64,94.64,0.0,0.0,94.96,94.96,94.96,0.0,0.0
2016-06-12,91.6,91.6,91.6,0.0,0.0,93.36,93.36,93.36,0.0,0.0,91.12,91.12,91.12,0.0,0.0,93.28,93.28,93.28,0.0,0.0
2016-06-19,91.04,91.04,91.04,0.0,0.0,92.64,92.64,92.64,0.0,0.0,90.88,90.88,90.88,0.0,0.0,91.2,91.2,91.2,0.0,0.0
2016-06-26,92.16,92.16,92.16,0.0,0.0,94.24,94.24,94.24,0.0,0.0,92.0,92.0,92.0,0.0,0.0,94.24,94.24,94.24,0.0,0.0
2016-07-03,87.28,87.28,87.28,0.0,0.0,87.6,87.6,87.6,0.0,0.0,85.68,85.68,85.68,0.0,0.0,86.64,86.64,86.64,0.0,0.0
2016-07-10,87.92,87.92,87.92,0.0,0.0,88.61,88.61,88.61,0.0,0.0,87.12,87.12,87.12,0.0,0.0,87.92,87.92,87.92,0.0,0.0
2016-07-17,83.92,83.92,83.92,0.0,0.0,84.0,84.0,84.0,0.0,0.0,82.4,82.4,82.4,0.0,0.0,83.36,83.36,83.36,0.0,0.0
2016-07-24,77.04,77.04,77.04,0.0,0.0,78.48,78.48,78.48,0.0,0.0,76.4,76.4,76.4,0.0,0.0,78.08,78.08,78.08,0.0,0.0
2016-07-31,78.64,78.64,78.64,0.0,0.0,78.96,78.96,78.96,0.0,0.0,77.28,77.28,77.28,0.0,0.0,78.88,78.88,78.88,0.0,0.0
2016-08-07,82.4,82.4,82.4,0.0,0.0,84.0,84.0,84.0,0.0,0.0,82.08,82.08,82.08,0.0,0.0,84.0,84.0,84.0,0.0,0.0
2016-08-14,90.72,90.72,90.72,0.0,0.0,91.0,91.0,91.0,0.0,0.0,89.84,89.84,89.84,0.0,0.0,90.72,90.72,90.72,0.0,0.0
2016-08-21,87.52,87.52,87.52,0.0,0.0,89.68,89.68,89.68,0.0,0.0,86.8,86.8,86.8,0.0,0.0,87.6,87.6,87.6,0.0,0.0
2016-08-28,81.6,81.6,81.6,0.0,0.0,82.72,82.72,82.72,0.0,0.0,81.24,81.24,81.24,0.0,0.0,81.92,81.92,81.92,0.0,0.0
2016-09-04,86.24,86.24,86.24,0.0,0.0,86.56,86.56,86.56,0.0,0.0,84.64,84.64,84.64,0.0,0.0,84.72,84.72,84.72,0.0,0.0
2016-09-11,79.44,79.44,79.44,0.0,0.0,80.56,80.56,80.56,0.0,0.0,79.2,79.2,79.2,0.0,0.0,80.0,80.0,80.0,0.0,0.0
2016-09-18,83.92,83.92,83.92,0.0,0.0,84.64,84.64,84.64,0.0,0.0,80.72,80.72,80.72,0.0,0.0,81.52,81.52,81.52,0.0,0.0
2016-09-25,87.76,87.76,87.76,0.0,0.0,88.12,88.12,88.12,0.0,0.0,87.04,87.04,87.04,0.0,0.0,87.44,87.44,87.44,0.0,0.0
2016-10-02,91.92,91.92,91.92,0.0,0.0,92.08,92.08,92.08,0.0,0.0,90.16,90.16,90.16,0.0,0.0,90.64,90.64,90.64,0.0,0.0
2016-10-09,92.0,92.0,92.0,0.0,0.0,92.07,92.07,92.07,0.0,0.0,90.8,90.8,90.8,0.0,0.0,91.52,91.52,91.52,0.0,0.0
2016-10-16,91.2,91.2,91.2,0.0,0.0,92.0,92.0,92.0,0.0,0.0,90.64,90.64,90.64,0.0,0.0,91.84,91.84,91.84,0.0,0.0
2016-10-23,88.8,88.8,88.8,0.0,0.0,89.8,89.8,89.8,0.0,0.0,87.44,87.44,87.44,0.0,0.0,88.08,88.08,88.08,0.0,0.0
2016-10-30,79.76,79.76,79.76,0.0,0.0,80.96,80.96,80.96,0.0,0.0,78.72,78.72,78.72,0.0,0.0,79.84,79.84,79.84,0.0,0.0
2016-11-06,79.04,79.04,79.04,0.0,0.0,79.2,79.2,79.2,0.0,0.0,77.92,77.92,77.92,0.0,0.0,78.16,78.16,78.16,0.0,0.0
2016-11-13,81.92,81.92,81.92,0.0,0.0,82.64,82.64,82.64,0.0,0.0,80.92,80.92,80.92,0.0,0.0,82.56,82.56,82.56,0.0,0.0
2016-11-20,84.0,84.0,84.0,0.0,0.0,84.4,84.4,84.4,0.0,0.0,82.24,82.24,82.24,0.0,0.0,82.64,82.64,82.64,0.0,0.0
2016-11-27,91.2,91.2,91.2,0.0,0.0,92.08,92.08,92.08,0.0,0.0,90.56,90.56,90.56,0.0,0.0,91.84,91.84,91.84,0.0,0.0
2016-12-04,91.44,91.44,91.44,0.0,0.0,91.68,91.68,91.68,0.0,0.0,90.88,90.88,90.88,0.0,0.0,91.52,91.52,91.52,0.0,0.0
2016-12-11,91.52,91.52,91.52,0.0,0.0,92.64,92.64,92.64,0.0,0.0,91.16,91.16,91.16,0.0,0.0,92.4,92.4,92.4,0.0,0.0
