Date,SPDR DJIA_etf_Open_average,SPDR DJIA_etf_Open_max,SPDR DJIA_etf_Open_min,SPDR DJIA_etf_Open_volatility,SPDR DJIA_etf_Open_change,SPDR DJIA_etf_High_average,SPDR DJIA_etf_High_max,SPDR DJIA_etf_High_min,SPDR DJIA_etf_High_volatility,SPDR DJIA_etf_High_change,SPDR DJIA_etf_Low_average,SPDR DJIA_etf_Low_max,SPDR DJIA_etf_Low_min,SPDR DJIA_etf_Low_volatility,SPDR DJIA_etf_Low_change,SPDR DJIA_etf_Close_average,SPDR DJIA_etf_Close_max,SPDR DJIA_etf_Close_min,SPDR DJIA_etf_Close_volatility,SPDR DJIA_etf_Close_change
2016-01-03,165.96,165.96,165.96,0.0,0.0,166.39,166.39,166.39,0.0,0.0,163.0,163.0,163.0,0.0,0.0,163.24,163.24,163.24,0.0,0.0
2016-01-10,159.26,159.26,159.26,0.0,0.0,160.58,160.58,160.58,0.0,0.0,158.23,158.23,158.23,0.0,0.0,159.68,159.68,159.68,0.0,0.0
2016-01-17,160.91,160.91,160.91,0.0,0.0,161.24,161.24,161.24,0.0,0.0,159.62,159.62,159.62,0.0,0.0,160.79,160.79,160.79,0.0,0.0
2016-01-24,161.61,161.61,161.61,0.0,0.0,164.43,164.43,164.43,0.0,0.0,161.33,161.33,161.33,0.0,0.0,164.37,164.37,164.37,0.0,0.0
2016-01-31,163.87,163.87,163.87,0.0,0.0,164.01,164.01,164.01,0.0,0.0,161.22,161.22,161.22,0.0,0.0,161.94,161.94,161.94,0.0,0.0
2016-02-07,158.16,158.16,158.16,0.0,0.0,159.98,159.98,159.98,0.0,0.0,157.66,157.66,157.66,0.0,0.0,159.98,159.98,159.98,0.0,0.0
2016-02-14,163.18,163.18,163.18,0.0,0.0,163.81,163.81,163.81,0.0,0.0,162.59,162.59,162.59,0.0,0.0,163.7,163.7,163.7,0.0,0.0
2016-02-21,167.84,167.84,167.84,0.0,0.0,167.95,167.95,167.95,0.0,0.0,166.12,166.12,166.12,0.0,0.0,166.28,166.28,166.28,0.0,0.0
2016-02-28,169.53,169.53,169.53,0.0,0.0,170.55,170.55,170.55,0.0,0.0,168.92,168.92,168.92,0.0,0.0,170.02,170.02,170.02,0.0,0.0
2016-03-06,171.47,171.47,171.47,0.0,0.0,172.34,172.34,172.34,0.0,0.0,171.42,171.42,171.42,0.0,0.0,172.23,172.23,172.23,0.0,0.0
2016-03-13,175.27,175.27,175.27,0.0,0.0,175.95,175.95,175.95,0.0,0.0,175.04,175.04,175.04,0.0,0.0,175.69,175.69,175.69,0.0,0.0
