Date,MOV_stock_Open_average,MOV_stock_Open_max,MOV_stock_Open_min,MOV_stock_Open_volatility,MOV_stock_Open_change,MOV_stock_High_average,MOV_stock_High_max,MOV_stock_High_min,MOV_stock_High_volatility,MOV_stock_High_change,MOV_stock_Low_average,MOV_stock_Low_max,MOV_stock_Low_min,MOV_stock_Low_volatility,MOV_stock_Low_change,MOV_stock_Close_average,MOV_stock_Close_max,MOV_stock_Close_min,MOV_stock_Close_volatility,MOV_stock_Close_change,MOV_stock_Volume_average,MOV_stock_Volume_max,MOV_stock_Volume_min,MOV_stock_Volume_volatility,MOV_stock_Volume_change
2016-01-03,24.638,25.32,24.08,1.240000000000002,-0.9499999999999993,24.952,25.47,24.35,1.1199999999999974,-1.1199999999999974,23.97,24.66,22.97,1.6900000000000013,-1.6900000000000013,24.336000000000002,25.3,23.07,2.2300000000000004,-2.2300000000000004,199046,266044,146137,119907,93516
2016-01-10,23.008,23.35,22.16,1.1900000000000013,-0.9600000000000009,23.26,23.57,22.71,0.8599999999999994,-0.41000000000000014,22.428,22.97,21.62,1.3499999999999979,-0.6799999999999997,22.922,23.32,22.67,0.6499999999999986,-0.11999999999999744,178515,246145,123982,122163,7109
2016-01-17,22.822499999999998,23.47,22.01,1.4599999999999973,0.75,23.372500000000002,23.85,22.8,1.0500000000000007,1.0500000000000007,22.43,23.21,21.85,1.3599999999999994,1.3300000000000018,22.9725,23.42,22.32,1.1000000000000014,1.1000000000000014,148000,202490,81713,120777,-120777
2016-01-24,23.996,24.84,23.17,1.6699999999999982,1.5399999999999991,24.704,25.71,23.66,2.0500000000000007,2.0500000000000007,23.836000000000002,24.68,23.03,1.6499999999999986,1.6499999999999986,24.418,25.7,23.16,2.539999999999999,2.539999999999999,106164,186795,61111,125684,88380
2016-01-31,25.06,25.36,24.91,0.4499999999999993,-0.4499999999999993,25.53,25.6,25.44,0.16000000000000014,0.0,24.6,24.85,24.33,0.5200000000000031,-0.3200000000000003,24.964,25.28,24.59,0.6900000000000013,-0.35999999999999943,137114,223827,73214,150613,63488
2016-02-07,24.438000000000002,24.67,24.17,0.5,0.00999999999999801,24.928,25.33,24.43,0.8999999999999986,0.22999999999999687,24.194000000000003,24.42,23.87,0.5500000000000007,0.0799999999999983,24.64,25.11,24.16,0.9499999999999993,0.129999999999999,96987,195187,50660,144527,-144527
2016-02-14,26.5225,27.0,25.36,1.6400000000000006,1.6400000000000006,27.3575,27.89,26.66,1.2300000000000004,1.2199999999999989,26.17,26.64,24.98,1.6600000000000001,1.6600000000000001,26.605,26.93,26.23,0.6999999999999993,0.41999999999999815,175703,312796,104163,208633,208633
2016-02-21,27.948,28.95,27.1,1.8499999999999979,1.8499999999999979,28.682,29.83,27.84,1.9899999999999984,1.9899999999999984,27.738,28.69,26.98,1.7100000000000009,1.7100000000000009,28.364,29.3,27.4,1.9000000000000021,1.9000000000000021,143114,280881,67044,213837,-178533
2016-02-28,29.64,30.26,29.3,0.9600000000000009,0.9600000000000009,30.168,30.4,29.8,0.5999999999999979,0.41000000000000014,29.422,29.66,29.08,0.5800000000000018,0.5800000000000018,29.764,30.35,29.21,1.1400000000000006,0.7799999999999976,155741,168618,146810,21808,-7857
2016-03-06,30.198,30.71,29.76,0.9499999999999993,0.7800000000000011,30.59,30.98,30.16,0.8200000000000003,0.4800000000000004,29.828,30.27,29.6,0.6699999999999982,-0.28999999999999915,30.14,30.54,29.7,0.8399999999999999,-0.0799999999999983,144582,173091,109378,63713,7526
