Date,ARAY_stock_Open_average,ARAY_stock_Open_max,ARAY_stock_Open_min,ARAY_stock_Open_volatility,ARAY_stock_Open_change,ARAY_stock_High_average,ARAY_stock_High_max,ARAY_stock_High_min,ARAY_stock_High_volatility,ARAY_stock_High_change,ARAY_stock_Low_average,ARAY_stock_Low_max,ARAY_stock_Low_min,ARAY_stock_Low_volatility,ARAY_stock_Low_change,ARAY_stock_Close_average,ARAY_stock_Close_max,ARAY_stock_Close_min,ARAY_stock_Close_volatility,ARAY_stock_Close_change,ARAY_stock_Volume_average,ARAY_stock_Volume_max,ARAY_stock_Volume_min,ARAY_stock_Volume_volatility,ARAY_stock_Volume_change
2016-01-03,6.316,6.64,6.05,0.5899999999999999,-0.5899999999999999,6.41,6.75,6.14,0.6100000000000003,-0.6100000000000003,6.148,6.3,5.95,0.34999999999999964,-0.33999999999999986,6.2299999999999995,6.39,6.02,0.3700000000000001,-0.3000000000000007,745038,1061381,479024,582357,-328727
2016-01-10,5.862,6.05,5.66,0.3899999999999997,-0.3899999999999997,6.022,6.39,5.74,0.6499999999999995,-0.6499999999999995,5.69,5.79,5.43,0.3600000000000003,-0.3000000000000007,5.7860000000000005,5.89,5.65,0.23999999999999932,-0.1299999999999999,967603,1358462,814966,543496,-32790
2016-01-17,5.755,5.91,5.53,0.3799999999999999,0.16000000000000014,5.96,6.09,5.86,0.22999999999999954,0.22999999999999954,5.6175,5.79,5.36,0.4299999999999997,0.20999999999999996,5.8375,6.04,5.61,0.4299999999999997,0.4299999999999997,1034822,1499387,688776,810611,108729
2016-01-24,5.934,6.11,5.47,0.6400000000000006,-0.5700000000000003,6.11,6.29,5.63,0.6600000000000001,-0.5300000000000002,5.704,5.97,5.14,0.8300000000000001,-0.7600000000000007,5.842,6.1,5.33,0.7699999999999996,-0.5800000000000001,1044326,2262225,484538,1777687,1777687
2016-01-31,5.686,6.05,5.27,0.7800000000000002,0.3100000000000005,5.934,6.18,5.59,0.5899999999999999,-0.5899999999999999,5.498,5.82,5.26,0.5600000000000005,0.04999999999999982,5.726,6.12,5.34,0.7800000000000002,-0.7800000000000002,1216188,3069226,345065,2724161,-2341087
2016-02-07,5.112,5.29,4.93,0.3600000000000003,-0.13999999999999968,5.224,5.29,5.14,0.15000000000000036,-0.08999999999999986,4.894,4.94,4.83,0.11000000000000032,-0.09000000000000075,5.078,5.15,4.96,0.1900000000000004,-0.020000000000000462,1158422,1768703,609504,1159199,169128
2016-02-14,5.265,5.47,5.11,0.35999999999999943,0.1200000000000001,5.4625,5.66,5.3,0.3600000000000003,0.10000000000000053,5.1325,5.2,5.05,0.15000000000000036,0.1200000000000001,5.2825,5.48,5.1,0.3800000000000008,0.14000000000000057,516936,760097,306780,453317,-191330
2016-02-21,5.15,5.3,5.01,0.29000000000000004,-0.1299999999999999,5.246666666666666,5.33,5.17,0.16000000000000014,-0.1299999999999999,5.033333333333333,5.16,4.89,0.27000000000000046,0.16999999999999993,5.128333333333333,5.21,5.03,0.17999999999999972,0.1299999999999999,518681,937550,203032,734518,-429555
2016-02-28,5.216,5.35,5.07,0.27999999999999936,0.16999999999999993,5.41,5.58,5.23,0.34999999999999964,0.3199999999999994,5.138,5.28,5.0,0.28000000000000025,0.2600000000000007,5.28,5.46,5.05,0.41000000000000014,0.41000000000000014,1112928,1891632,560346,1331286,191348
2016-03-06,5.45,5.5,5.42,0.08000000000000007,-0.009999999999999787,5.548,5.58,5.51,0.07000000000000028,-0.020000000000000462,5.292,5.38,5.22,0.16000000000000014,-0.16000000000000014,5.45,5.5,5.4,0.09999999999999964,0.040000000000000036,637941,915879,360837,555042,-294761
