Date,DAC_stock_Open_average,DAC_stock_Open_max,DAC_stock_Open_min,DAC_stock_Open_volatility,DAC_stock_Open_change,DAC_stock_High_average,DAC_stock_High_max,DAC_stock_High_min,DAC_stock_High_volatility,DAC_stock_High_change,DAC_stock_Low_average,DAC_stock_Low_max,DAC_stock_Low_min,DAC_stock_Low_volatility,DAC_stock_Low_change,DAC_stock_Close_average,DAC_stock_Close_max,DAC_stock_Close_min,DAC_stock_Close_volatility,DAC_stock_Close_change,DAC_stock_Volume_average,DAC_stock_Volume_max,DAC_stock_Volume_min,DAC_stock_Volume_volatility,DAC_stock_Volume_change
2016-01-03,5.582,6.02,5.24,0.7799999999999994,-0.75,5.648,6.14,5.24,0.8999999999999995,-0.8999999999999995,5.248,5.84,5.0,0.8399999999999999,-0.8399999999999999,5.358,5.92,5.14,0.7800000000000002,-0.7599999999999998,35204,75771,10188,65583,-63685
2016-01-10,5.198,5.3,5.12,0.17999999999999972,-0.08000000000000007,5.216,5.3,5.12,0.17999999999999972,-0.13999999999999968,4.9879999999999995,5.1,4.81,0.29000000000000004,-0.22000000000000064,5.106,5.23,4.82,0.41000000000000014,-0.41000000000000014,43903,149620,11793,137827,-133782
2016-01-17,4.7025,4.82,4.58,0.2400000000000002,-0.1299999999999999,4.8525,4.96,4.81,0.15000000000000036,0.13999999999999968,4.52,4.64,4.26,0.3799999999999999,0.040000000000000036,4.7125,4.8,4.61,0.1899999999999995,0.0,28881,37378,18910,18468,8778
2016-01-24,4.924,5.26,4.69,0.5699999999999994,0.39999999999999947,5.074,5.35,4.91,0.4399999999999995,0.4399999999999995,4.85,5.16,4.67,0.4900000000000002,0.4900000000000002,4.986,5.23,4.67,0.5600000000000005,0.5600000000000005,24701,37229,14964,22265,-7099
2016-01-31,5.164,5.31,4.95,0.35999999999999943,-0.11999999999999922,5.3500000000000005,5.49,5.28,0.20999999999999996,-0.1200000000000001,5.0280000000000005,5.15,4.95,0.20000000000000018,-0.05000000000000071,5.21,5.42,5.06,0.3600000000000003,-0.1200000000000001,45289,68031,31003,37028,-2588
2016-02-07,5.0120000000000005,5.23,4.67,0.5600000000000005,-0.5600000000000005,5.082,5.44,4.73,0.71,-0.71,4.848,5.12,4.61,0.5099999999999998,-0.5099999999999998,4.904,5.13,4.65,0.47999999999999954,-0.45999999999999996,32998,50202,22391,27811,2803
2016-02-14,4.8325,4.96,4.76,0.20000000000000018,0.0,4.845,4.96,4.76,0.20000000000000018,-0.04999999999999982,4.6425,4.68,4.6,0.08000000000000007,-0.08000000000000007,4.71,4.8,4.64,0.16000000000000014,-0.07000000000000028,29825,51807,20989,30818,-3427
2016-02-21,4.616,4.72,4.58,0.13999999999999968,0.009999999999999787,4.684,4.73,4.6,0.13000000000000078,-0.10000000000000053,4.4959999999999996,4.58,4.37,0.20999999999999996,-0.15000000000000036,4.604,4.69,4.45,0.2400000000000002,-0.13999999999999968,25436,37047,18767,18280,277
2016-02-28,4.342,4.49,4.2,0.29000000000000004,-0.29000000000000004,4.414,4.53,4.25,0.28000000000000025,-0.2599999999999998,4.258,4.4,4.06,0.34000000000000075,-0.34000000000000075,4.308,4.43,4.18,0.25,-0.25,68277,137273,22692,114581,81738
2016-03-06,4.208,4.28,4.12,0.16000000000000014,-0.0600000000000005,4.322,4.62,4.17,0.4500000000000002,-0.4500000000000002,4.09,4.16,4.03,0.1299999999999999,-0.1299999999999999,4.174,4.37,4.07,0.2999999999999998,-0.2999999999999998,67565,151276,35996,115280,-102997
